,POP_2015,active_living,community_space,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
323,98.632,2063,1911,1222,310,5000,6646.0,72.50931496850427,23.245702829937308
324,28.737,2295,2142,1454,722,5000,6646.0,72.51246917022988,23.245702829937304
325,1.771,2295,2142,1454,722,5000,6646.0,72.51352057080507,23.245702829937304
326,0.022,2121,1327,1501,1365,5000,6646.0,72.4764402657442,23.244867500038787
327,2.701,2016,1273,1447,1260,5000,6646.0,72.47749166223889,23.24486750003878
328,32.789,2035,1292,1466,1279,5000,6646.0,72.47854305873356,23.244867500038783
329,0.0,1616,822,996,860,5000,6646.0,72.47959445522824,23.244867500038783
330,7.837,1616,822,996,860,5000,6646.0,72.48064585172291,23.244867500038787
331,44.943,1385,623,797,629,5000,6646.0,72.48169724821759,23.244867500038787
332,69.385,1230,488,661,474,5000,6646.0,72.48274864471227,23.244867500038783
333,85.016,1134,391,565,378,5000,6646.0,72.48380004120695,23.24486750003878
334,35.667,1205,463,637,450,5000,6646.0,72.48485143770162,23.244867500038787
335,49.593,729,502,576,227,5000,6646.0,72.48695423069097,23.244867500038783
336,64.36,689,480,535,227,5000,6646.0,72.48800562718566,23.24486750003878
337,131.088,653,547,540,341,5000,6646.0,72.48905702368032,23.244867500038787
338,38.523,579,474,482,354,5000,6646.0,72.49010842017499,23.24486750003878
339,8.851,342,237,644,310,5000,6646.0,72.49115981666966,23.24486750003878
340,72.89,309,105,740,210,5000,6646.0,72.49221121316435,23.244867500038787
341,100.137,372,168,607,264,5000,6646.0,72.49326260965903,23.244867500038787
342,98.012,416,212,516,238,5000,6646.0,72.49431400615369,23.244867500038787
343,109.48,551,328,349,187,5000,6646.0,72.49536540264837,23.24486750003878
344,83.001,614,261,256,248,5000,6646.0,72.49641679914306,23.24486750003878
345,103.746,494,79,145,244,5000,6646.0,72.49746819563772,23.244867500038787
346,92.632,518,0,197,230,5000,6646.0,72.49851959213241,23.244867500038783
347,100.691,734,443,493,388,5000,6646.0,72.50062238512174,23.244867500038787
