,POP_2015,active_living,community_space,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
618,67.124,2637,2457,2403,679,3370,3117,8294.0,77.7865290837204,9.46249910902246
619,9.802,1763,1583,1713,184,2639,2243,8294.0,77.78753533219664,9.462499109022461
620,22.131,1722,1542,1671,328,2598,2202,8294.0,77.78854158067288,9.462499109022461
621,54.394,1678,1498,1627,408,2553,2158,8294.0,77.78954782914913,9.46249910902246
622,64.998,1522,1342,1472,562,2398,2002,8294.0,77.79055407762539,9.462499109022461
623,74.918,1488,1308,1437,562,2364,1968,8294.0,77.79156032610163,9.46249910902246
624,71.446,1676,1496,1625,750,2551,1945,8294.0,77.79256657457788,9.46249910902246
625,77.611,1716,1536,1623,924,2592,1916,8294.0,77.79357282305412,9.462499109022458
626,68.966,1878,1698,1561,1064,2733,1805,8294.0,77.79457907153036,9.46249910902246
627,46.552,1907,1727,1589,1093,2760,1833,8294.0,77.79558532000664,9.462499109022461
628,55.267,1732,1622,1356,1299,2528,1600,8294.0,77.79659156848287,9.462499109022458
629,59.046,1607,1497,1231,1231,2403,1475,8294.0,77.79759781695913,9.462499109022461
630,70.903,1518,1408,1142,1142,2314,1386,8294.0,77.79860406543538,9.462499109022461
631,33.373,1028,918,652,652,2035,914,8294.0,77.79961031391164,9.462499109022461
632,48.276,1028,918,652,652,2035,914,8294.0,77.80061656238787,9.46249910902246
633,21.186,1132,1023,756,756,2005,674,8294.0,77.80162281086413,9.462499109022456
634,86.468,1248,1138,872,872,2025,694,8294.0,77.80262905934038,9.46249910902246
635,86.586,1363,1254,987,987,2140,809,8294.0,77.80363530781662,9.46249910902246
636,31.106,1419,1310,1044,1044,2086,809,8294.0,77.80464155629286,9.46249910902246
637,7.086,1704,1595,1328,1328,2164,1084,8294.0,77.80564780476912,9.462499109022461
638,86.066,1670,1561,1295,1295,2127,1050,8294.0,77.80665405324537,9.46249910902246
639,97.993,1743,1634,1368,1368,2097,1123,8294.0,77.80766030172161,9.462499109022461
640,26.406,1835,1726,1460,1460,1962,1215,8294.0,77.80866655019786,9.46249910902246
641,16.084,2119,2009,1743,1743,2414,1456,8294.0,77.81269154410288,9.462499109022461
642,74.021,2135,2026,1760,1760,2431,1473,8294.0,77.81369779257912,9.46249910902246
643,104.583,2305,2195,1929,1929,2600,1643,8294.0,77.81470404105535,9.462499109022458
644,27.634,3523,3181,3059,931,4026,4098,8294.0,77.77333431022909,9.461686087615576
645,16.58,3405,3063,2941,1036,3908,3980,8294.0,77.77434055723629,9.461686087615574
646,0.0,3303,2961,2839,988,3806,3878,8294.0,77.77534680424348,9.461686087615572
647,83.444,2500,2158,2036,186,3003,3075,8294.0,77.78037803927951,9.461686087615574
648,53.354,2442,2100,1978,127,2945,3017,8294.0,77.78138428628672,9.461686087615572
649,56.543,2806,2464,2342,236,3309,3381,8294.0,77.7823905332939,9.461686087615574
650,88.074,2452,2110,1988,265,2955,3028,8294.0,77.78339678030113,9.461686087615576
651,65.801,2452,2110,1988,265,2955,3028,8294.0,77.78440302730833,9.461686087615572
652,29.429,2539,2197,2075,352,3042,3115,8294.0,77.78540927431553,9.461686087615576
653,32.617,1763,1583,1713,184,2639,2243,8294.0,77.78742176832993,9.461686087615574
654,68.777,1712,1532,1662,235,2588,2192,8294.0,77.78842801533715,9.461686087615574
655,43.127,1450,1270,1400,497,2326,1930,8294.0,77.78943426234434,9.461686087615574
656,73.17,1416,1236,1365,634,2291,1896,8294.0,77.79044050935154,9.461686087615576
657,71.753,1360,1180,1309,639,2235,1840,8294.0,77.79144675635874,9.461686087615572
658,90.105,1521,1341,1470,803,2396,2001,8294.0,77.79245300336595,9.461686087615576
659,78.39,1594,1414,1543,905,2469,2017,8294.0,77.79345925037315,9.461686087615574
660,66.486,1904,1737,1552,1103,2724,1796,8294.0,77.79446549738034,9.461686087615576
661,28.46,1909,1756,1533,1122,2705,1777,8294.0,77.79547174438756,9.461686087615574
662,63.038,1732,1622,1356,1299,2528,1600,8294.0,77.79647799139477,9.461686087615572
663,100.308,1674,1565,1298,1298,2470,1542,8294.0,77.79748423840196,9.461686087615574
664,70.194,1674,1565,1298,1298,2470,1542,8294.0,77.79849048540916,9.461686087615576
665,91.333,1113,1004,738,738,1986,655,8294.0,77.8015092264308,9.461686087615574
666,76.595,1197,1087,821,821,1932,601,8294.0,77.80251547343796,9.461686087615574
667,85.806,1331,1221,955,955,2066,734,8294.0,77.80352172044519,9.461686087615574
668,63.935,1419,1310,1044,1044,2086,809,8294.0,77.80452796745239,9.461686087615576
669,11.904,1518,1409,1143,1143,1978,898,8294.0,77.80553421445958,9.461686087615574
670,78.343,1557,1448,1182,1182,2017,937,8294.0,77.8065404614668,9.461686087615574
671,114.739,1742,1633,1366,1366,2202,1122,8294.0,77.807546708474,9.461686087615574
672,101.513,1842,1733,1467,1467,2138,1222,8294.0,77.80855295548122,9.461686087615574
673,64.006,1923,1814,1548,1548,2059,1288,8294.0,77.8095592024884,9.461686087615574
674,9.541,1863,1753,1487,1487,2153,1200,8294.0,77.8105654494956,9.461686087615574
675,10.51,1894,1785,1519,1519,2190,1232,8294.0,77.81157169650281,9.461686087615576
676,19.887,2119,2009,1743,1743,2414,1456,8294.0,77.81257794351001,9.461686087615574
677,79.169,2119,2009,1743,1743,2414,1456,8294.0,77.81358419051723,9.461686087615574
678,23.713,3523,3181,3059,938,4026,4098,8294.0,77.77322077714828,9.460873066944439
679,11.408,3403,3062,2939,1056,3906,3979,8294.0,77.77422702268657,9.46087306694444
680,2.74,3303,2961,2839,988,3806,3878,8294.0,77.77523326822484,9.46087306694444
681,59.023,2905,2563,2441,635,3408,3481,8294.0,77.77724575930141,9.460873066944439
682,113.251,2861,2519,2397,590,3364,3436,8294.0,77.77825200483971,9.46087306694444
683,80.941,2727,2386,2263,457,3231,3303,8294.0,77.779258250378,9.46087306694444
684,105.599,2516,2175,2053,246,3020,3092,8294.0,77.78026449591628,9.46087306694444
685,30.846,2457,2115,1993,186,2960,3032,8294.0,77.78127074145459,9.460873066944439
686,68.092,2806,2464,2342,236,3309,3381,8294.0,77.78227698699288,9.46087306694444
687,88.664,2257,1915,1793,69,2760,2832,8294.0,77.78328323253118,9.460873066944439
688,82.665,2407,2065,1943,219,2910,2982,8294.0,77.78428947806945,9.460873066944442
689,41.309,1947,1662,1540,0,2507,2427,8294.0,77.78730821468432,9.46087306694444
690,86.468,1642,1462,1591,305,2517,2121,8294.0,77.7883144602226,9.460873066944439
691,93.6,1518,1338,1467,429,2394,1998,8294.0,77.78932070576091,9.46087306694444
692,26.287,1450,1270,1400,497,2326,1930,8294.0,77.79032695129919,9.460873066944439
693,62.896,1322,1142,1271,625,2197,1802,8294.0,77.79133319683747,9.460873066944442
694,71.989,1483,1303,1433,794,2359,1963,8294.0,77.79233944237578,9.460873066944437
695,96.907,1537,1357,1486,876,2412,2017,8294.0,77.79334568791406,9.460873066944442
696,9.613,743,634,368,368,1750,736,8294.0,77.7993831611438,9.460873066944439
697,32.523,1014,904,638,638,1886,555,8294.0,77.80139565222038,9.460873066944439
698,108.929,1099,989,723,723,1834,503,8294.0,77.80240189775866,9.46087306694444
699,90.53,1230,1120,854,854,1965,633,8294.0,77.80340814329696,9.460873066944439
700,88.144,1299,1190,924,924,1966,689,8294.0,77.80441438883523,9.460873066944439
701,108.409,1454,1344,1078,1078,1913,834,8294.0,77.80542063437352,9.46087306694444
702,59.637,1518,1409,1143,1143,1978,898,8294.0,77.80642687991183,9.46087306694444
703,95.419,1655,1546,1280,1280,2103,1035,8294.0,77.80743312545009,9.46087306694444
704,88.877,1742,1633,1366,1366,2202,1122,8294.0,77.8084393709884,9.460873066944439
705,83.09,1859,1749,1483,1483,2123,1224,8294.0,77.80944561652667,9.46087306694444
706,85.287,1833,1724,1458,1458,2129,1171,8294.0,77.81045186206498,9.460873066944439
707,73.194,1887,1778,1512,1512,2183,1225,8294.0,77.81145810760327,9.46087306694444
708,33.893,3816,3474,3352,1091,4319,4391,8294.0,77.77310725428653,9.460060047008989
709,35.877,3823,3481,3359,1098,4326,4398,8294.0,77.77411349835604,9.460060047008989
710,108.504,2905,2563,2441,635,3408,3481,8294.0,77.77713223056458,9.46006004700899
711,118.305,2870,2528,2406,599,3373,3445,8294.0,77.77813847463409,9.460060047008986
712,82.618,2748,2406,2284,477,3251,3323,8294.0,77.77914471870359,9.460060047008989
713,52.41,2586,2244,2122,315,3089,3161,8294.0,77.78015096277309,9.460060047008989
714,0.921,2534,2192,2070,264,3037,3110,8294.0,77.78115720684261,9.460060047008989
715,45.962,2187,1845,1723,0,2690,2762,8294.0,77.78216345091211,9.460060047008989
716,69.391,2257,1915,1793,69,2760,2832,8294.0,77.78316969498162,9.460060047008989
717,52.906,2126,1784,1662,352,2629,2701,8294.0,77.78518218312061,9.460060047008989
718,80.492,2023,1681,1559,249,2526,2598,8294.0,77.78618842719014,9.460060047008989
719,27.421,1947,1662,1540,0,2507,2427,8294.0,77.78719467125964,9.460060047008986
720,70.454,1271,1091,1220,676,2146,1751,8294.0,77.79021340346819,9.460060047008987
721,58.527,1149,969,1098,798,2024,1628,8294.0,77.79121964753769,9.460060047008987
722,41.899,1433,1253,1382,838,2309,1913,8294.0,77.79222589160719,9.460060047008993
723,48.56,654,544,278,278,1661,672,8294.0,77.79926960009374,9.46006004700899
724,68.305,737,628,361,361,1744,595,8294.0,77.80027584416325,9.460060047008989
725,69.179,896,787,520,520,1801,470,8294.0,77.80128208823278,9.460060047008989
726,63.983,998,889,623,623,1733,402,8294.0,77.80228833230227,9.460060047008989
727,89.16,1118,1008,742,742,1833,502,8294.0,77.80329457637178,9.46006004700899
728,84.838,1234,1124,858,858,1885,611,8294.0,77.80430082044128,9.460060047008987
729,104.158,1375,1266,1000,1000,1848,749,8294.0,77.80530706451079,9.460060047008989
730,83.09,1369,1260,994,994,1823,743,8294.0,77.8063133085803,9.460060047008989
731,72.367,1615,1506,1239,1239,2057,989,8294.0,77.8073195526498,9.460060047008986
732,95.986,1649,1539,1273,1273,1971,1013,8294.0,77.8083257967193,9.46006004700899
733,87.932,1838,1728,1462,1462,2144,1203,8294.0,77.80933204078882,9.460060047008989
734,73.43,1696,1586,1320,1320,1991,1033,8294.0,77.81033828485833,9.460060047008989
735,99.458,1772,1662,1396,1396,2067,1109,8294.0,77.81134452892785,9.460060047008989
736,55.787,3909,3567,3445,1184,4412,4484,8294.0,77.77299374164379,9.45924702780916
737,43.529,3860,3518,3396,1135,4363,4435,8294.0,77.77399998424465,9.45924702780916
738,22.556,4030,3688,3566,1305,4533,4605,8294.0,77.77500622684549,9.45924702780916
739,105.74,2143,1802,1679,617,2646,2719,8294.0,77.78204992505151,9.45924702780916
740,52.48,2059,1717,1595,127,2562,2635,8294.0,77.78305616765238,9.45924702780916
741,80.563,2059,1717,1595,127,2562,2635,8294.0,77.78406241025323,9.459247027809162
742,88.853,2185,1843,1721,411,2688,2760,8294.0,77.78506865285411,9.459247027809162
743,97.781,1952,1610,1488,226,2455,2527,8294.0,77.78607489545495,9.45924702780916
744,51.748,1895,1553,1431,108,2398,2470,8294.0,77.78708113805581,9.45924702780916
745,73.572,1119,939,1068,828,1994,1599,8294.0,77.79110610845925,9.45924702780916
746,87.767,1058,878,1007,889,1934,1538,8294.0,77.79211235106013,9.459247027809162
747,5.338,622,400,529,666,1675,1060,8294.0,77.79613732146353,9.459247027809159
