,POP_2015,community_space,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
91,67.439,861,487,555,1183,1291,3020.0,12.604351935181263,13.321581234494309
92,54.26,787,480,706,1079,1187,3020.0,12.605366655781449,13.321581234494309
93,53.098,760,576,845,893,1000,3020.0,12.60638137638163,13.321581234494307
94,71.207,753,551,956,829,992,3020.0,12.607396096981814,13.321581234494309
95,18.939,733,551,1015,770,933,3020.0,12.608410817581998,13.321581234494309
96,53.248,788,465,1212,573,988,3020.0,12.609425538182185,13.321581234494309
97,74.975,784,555,1247,472,907,3020.0,12.610440258782367,13.321581234494309
98,57.746,824,576,1287,512,951,3020.0,12.61145497938255,13.32158123449431
99,57.298,855,571,1258,543,993,3020.0,12.61246969998273,13.321581234494309
100,57.663,771,638,1157,459,909,3020.0,12.613484420582918,13.321581234494309
101,49.43,685,551,1040,372,879,3020.0,12.614499141183103,13.321581234494307
102,69.232,852,660,1196,538,1046,3020.0,12.615513861783283,13.321581234494309
103,49.397,964,759,1081,651,963,3020.0,12.616528582383468,13.32158123449431
104,46.874,999,797,1043,686,925,3020.0,12.617543302983652,13.321581234494309
105,1.278,1286,1152,1239,973,1121,3020.0,12.620587464784204,13.321581234494307
106,0.0,1428,1294,1244,1115,1126,3020.0,12.621602185384384,13.321581234494307
107,0.0,1428,1294,1244,1115,1126,3020.0,12.622616905984572,13.321581234494309
108,65.746,705,330,399,1230,1143,3020.0,12.603310917559556,13.320763980879542
109,61.68,665,292,561,1177,1103,3020.0,12.60432563604251,13.320763980879537
110,55.256,704,455,751,1033,1095,3020.0,12.60534035452547,13.320763980879539
111,68.817,732,528,798,940,1048,3020.0,12.606355073008427,13.320763980879542
112,70.294,728,546,980,793,933,3020.0,12.607369791491383,13.320763980879539
113,60.999,631,449,1128,722,831,3020.0,12.608384509974336,13.320763980879537
114,61.398,783,470,1206,578,983,3020.0,12.609399228457294,13.320763980879542
115,66.543,757,576,1219,445,881,3020.0,12.610413946940248,13.320763980879539
116,66.211,766,634,1229,454,902,3020.0,12.611428665423205,13.320763980879539
117,58.709,750,618,1197,438,889,3020.0,12.612443383906161,13.320763980879537
118,82.743,637,504,1069,325,775,3020.0,12.613458102389117,13.320763980879537
