,POP_2015,active_living,community_space,health_wellbeing,mobility,ID_HDC_G0,lng,lat
136,74.701,1261,2225,379,929,6623.0,73.72003588148446,27.205454551378555
137,60.386,1937,2522,849,1958,6623.0,73.7307644917112,27.20545455137855
138,75.197,2306,2263,316,2327,6623.0,73.73720165784724,27.20545455137855
139,92.469,2281,2165,415,2425,6623.0,73.7382745188699,27.205454551378555
140,92.813,2281,2165,415,2425,6623.0,73.73934737989259,27.205454551378555
141,44.641,2184,2067,512,2523,6623.0,73.74042024091527,27.205454551378555
142,70.769,1721,2685,421,1389,6623.0,73.71539718708864,27.20460882550697
143,30.002,1590,2553,372,1258,6623.0,73.71647004305744,27.20460882550697
144,26.871,1337,2301,455,1005,6623.0,73.71754289902621,27.204608825506973
145,70.826,1337,2301,455,1005,6623.0,73.71861575499501,27.20460882550697
146,43.839,1211,2175,329,880,6623.0,73.7196886109638,27.204608825506966
147,77.983,965,1928,83,633,6623.0,73.72076146693257,27.20460882550697
148,77.716,965,1928,83,633,6623.0,73.72183432290134,27.204608825506966
149,115.62,799,1383,250,774,6623.0,73.72827145871405,27.20460882550697
150,90.179,768,1352,317,842,6623.0,73.72934431468282,27.20460882550697
151,91.629,1937,2522,849,1958,6623.0,73.7304171706516,27.204608825506973
152,9.543,1631,2595,331,1300,6623.0,73.71504995216573,27.20376310206843
153,14.658,1631,2595,331,1300,6623.0,73.71612280308085,27.203763102068432
154,52.493,1337,2301,455,1005,6623.0,73.71719565399596,27.20376310206843
155,18.352,1225,2189,343,894,6623.0,73.71826850491108,27.203763102068432
156,43.763,1097,2060,215,765,6623.0,73.71934135582622,27.20376310206843
157,66.456,965,1928,83,633,6623.0,73.72041420674132,27.20376310206843
158,74.166,897,1861,15,565,6623.0,73.72148705765643,27.20376310206843
159,100.905,668,1583,0,524,6623.0,73.72577846131689,27.20376310206843
160,104.455,668,1583,0,524,6623.0,73.72685131223201,27.203763102068432
161,94.339,819,1404,179,703,6623.0,73.72792416314712,27.203763102068432
162,106.86,728,1313,320,845,6623.0,73.72899701406223,27.20376310206843
163,122.128,637,1221,412,936,6623.0,73.73006986497735,27.20376310206843
164,63.803,1356,2320,474,1025,6623.0,73.71684842434779,27.20291738106283
165,70.529,1246,2210,364,915,6623.0,73.71792127020947,27.202917381062825
166,79.109,1225,2189,343,894,6623.0,73.71899411607114,27.20291738106283
167,86.782,882,1845,0,550,6623.0,73.72113980779449,27.20291738106283
168,86.285,668,1583,0,524,6623.0,73.72543119124117,27.202917381062825
169,86.075,668,1583,0,524,6623.0,73.72650403710286,27.202917381062825
170,100.58,636,1220,420,945,6623.0,73.72864972882621,27.202917381062825
171,112.738,637,1221,412,936,6623.0,73.72972257468787,27.202917381062825
172,16.757,1427,2391,0,1095,6623.0,73.71650121008113,27.202071662490074
173,40.957,1427,2391,0,1095,6623.0,73.71757405088958,27.202071662490077
174,71.99,1056,2020,174,725,6623.0,73.72079257331497,27.20207166249007
175,86.782,1056,2020,174,725,6623.0,73.72186541412341,27.202071662490077
176,89.225,591,1554,0,259,6623.0,73.72401109574032,27.202071662490074
177,74.529,484,1447,39,336,6623.0,73.72508393654877,27.202071662490074
178,78.728,605,1190,393,918,6623.0,73.72830245897413,27.202071662490074
179,94.645,561,1145,495,982,6623.0,73.72937529978257,27.202071662490066
180,107.127,426,1010,449,847,6623.0,73.73044814059104,27.20207166249007
181,102.833,387,971,410,808,6623.0,73.7315209813995,27.202071662490063
182,88.919,626,1211,650,1047,6623.0,73.7336666630164,27.202071662490063
183,87.812,626,1211,650,1047,6623.0,73.73473950382485,27.202071662490074
184,72.639,1444,1328,318,2712,6623.0,73.74546791190939,27.20207166249007
185,67.563,1453,1337,301,2722,6623.0,73.74654075271785,27.20207166249007
186,70.196,1622,1505,422,2890,6623.0,73.74868643433476,27.202071662490074
187,47.943,2381,2265,1109,3649,6623.0,73.75834200161084,27.202071662490077
188,26.452,2145,3048,845,1813,6623.0,73.71615401119544,27.201225946350057
189,31.281,1427,2391,0,1095,6623.0,73.71722684695091,27.20122594635006
190,2.252,1196,2159,314,864,6623.0,73.71937251846182,27.20122594635006
191,46.282,1196,2159,314,864,6623.0,73.72044535421729,27.20122594635006
192,91.229,1180,2144,298,849,6623.0,73.72151818997274,27.20122594635006
193,74.452,1180,2144,298,849,6623.0,73.7225910257282,27.201225946350064
194,93.442,465,1429,52,321,6623.0,73.72473669723912,27.201225946350064
195,81.247,515,1100,483,936,6623.0,73.72795520450549,27.201225946350057
196,81.151,515,1100,483,936,6623.0,73.72902804026096,27.201225946350064
197,96.343,353,938,377,774,6623.0,73.73010087601642,27.201225946350064
198,92.641,387,971,410,808,6623.0,73.73117371177187,27.20122594635006
199,101.783,626,1211,650,1047,6623.0,73.73331938328279,27.20122594635006
200,93.633,626,1211,650,1047,6623.0,73.73439221903824,27.201225946350064
201,89.912,964,1548,988,1385,6623.0,73.73761072630462,27.201225946350057
202,97.164,1040,1624,1064,1461,6623.0,73.73868356206009,27.201225946350064
203,108.539,1622,1505,422,2890,6623.0,73.74833908385922,27.20122594635006
204,63.402,1771,1654,499,3039,6623.0,73.75155759112559,27.201225946350057
205,52.504,1771,1654,499,3039,6623.0,73.75263042688104,27.20122594635006
206,93.881,2381,2265,1109,3649,6623.0,73.75799460565834,27.201225946350064
207,84.396,425,1384,259,0,6623.0,73.72331664260898,27.20038023264269
208,83.537,408,1367,242,17,6623.0,73.72438947331167,27.20038023264269
209,46.416,287,1248,241,138,6623.0,73.72546230401437,27.20038023264269
210,38.476,165,1124,366,262,6623.0,73.72653513471704,27.200380232642694
211,48.458,0,963,402,425,6623.0,73.72760796541972,27.200380232642694
212,35.976,9,963,402,425,6623.0,73.72868079612242,27.200380232642697
213,67.543,161,805,244,581,6623.0,73.7297536268251,27.200380232642686
214,101.439,262,846,286,683,6623.0,73.7308264575278,27.200380232642694
215,109.36,402,560,0,823,6623.0,73.73189928823048,27.200380232642697
216,116.841,402,560,0,823,6623.0,73.73297211893316,27.200380232642694
217,112.929,1397,1280,197,2665,6623.0,73.74799174877077,27.20038023264269
218,101.058,1397,1280,197,2665,6623.0,73.74906457947348,27.200380232642694
219,98.061,1596,1480,318,2865,6623.0,73.75013741017617,27.20038023264269
220,81.915,1643,1526,371,2911,6623.0,73.75121024087886,27.20038023264269
221,103.004,1771,1654,499,3039,6623.0,73.75228307158153,27.20038023264269
222,46.626,1660,2624,233,1329,6623.0,73.71653248521487,27.199534521367866
