,POP_2015,community_space,education,health_wellbeing,ID_HDC_G0,lng,lat
200,36.838,4007,875,940,3597.0,26.71107020589513,-29.250110256031697
201,37.242,4115,811,1047,3597.0,26.71215591142123,-29.250110256031697
202,84.125,4243,683,1175,3597.0,26.71324161694733,-29.250110256031693
203,55.184,4380,546,1312,3597.0,26.714327322473434,-29.250110256031693
204,55.615,4490,436,1423,3597.0,26.715413027999535,-29.250110256031693
205,46.683,4566,360,1499,3597.0,26.716498733525636,-29.250110256031697
206,30.506,4642,283,1575,3597.0,26.717584439051734,-29.250110256031697
207,23.667,4387,960,1320,3597.0,26.718670144577843,-29.250110256031693
208,25.354,4383,866,1316,3597.0,26.71975585010394,-29.250110256031693
209,12.068,4533,1017,1428,3597.0,26.720841555630045,-29.250110256031693
210,24.48,4533,1017,1428,3597.0,26.72192726115614,-29.250110256031693
211,4.806,4901,1056,1060,3597.0,26.724098672208342,-29.250110256031693
212,50.506,5000,919,1057,3597.0,26.725184377734443,-29.250110256031697
213,63.744,5000,919,1057,3597.0,26.726270083260545,-29.250110256031693
214,61.359,5000,867,967,3597.0,26.727355788786642,-29.250110256031697
215,57.214,5000,702,1085,3597.0,26.728441494312744,-29.250110256031693
216,59.808,5000,702,1085,3597.0,26.72952719983885,-29.250110256031693
217,87.965,4283,3588,1594,3597.0,26.68949421083416,-29.250962145469916
218,44.652,4283,3588,1594,3597.0,26.690579921978706,-29.250962145469913
219,47.361,4377,3682,1688,3597.0,26.69383705541235,-29.25096214546991
220,0.87,4401,3706,1712,3597.0,26.694922766556896,-29.25096214546991
221,0.0,3543,1236,1113,3597.0,26.70686558914692,-29.250962145469916
222,0.182,4007,875,940,3597.0,26.71120843372511,-29.25096214546991
223,11.143,4007,875,940,3597.0,26.712294144869656,-29.250962145469913
224,32.197,3851,719,784,3597.0,26.713379856014203,-29.250962145469913
225,1.745,4901,1056,1060,3597.0,26.724236967459674,-29.250962145469913
226,42.993,4987,951,883,3597.0,26.72640838974877,-29.250962145469913
227,45.154,5000,867,967,3597.0,26.727494100893317,-29.250962145469913
228,56.811,5000,702,1085,3597.0,26.728579812037868,-29.250962145469913
229,55.428,4713,545,609,3597.0,26.729665523182412,-29.250962145469913
230,44.392,4625,345,521,3597.0,26.730751234326956,-29.25096214546991
231,7.437,4664,306,560,3597.0,26.731836945471507,-29.250962145469913
232,70.692,4823,0,718,3597.0,26.732922656616058,-29.250962145469913
233,59.749,4818,181,714,3597.0,26.7340083677606,-29.25096214546991
234,40.815,4973,522,869,3597.0,26.73509407890515,-29.25096214546991
235,36.092,4973,522,869,3597.0,26.736179790049697,-29.250962145469913
236,19.137,5000,715,820,3597.0,26.737265501194244,-29.250962145469913
237,15.411,5000,695,812,3597.0,26.738351212338788,-29.250962145469913
238,0.018,5000,668,881,3597.0,26.73943692348334,-29.250962145469916
239,67.428,4100,3404,1410,3597.0,26.68854661556031,-29.251814037593267
240,95.236,4100,3404,1410,3597.0,26.68963233232354,-29.25181403759326
241,78.273,4196,3501,1507,3597.0,26.690718049086776,-29.25181403759326
242,27.972,4145,3450,1456,3597.0,26.69180376585002,-29.251814037593263
243,112.528,4401,3706,1712,3597.0,26.6939751993765,-29.251814037593267
244,18.357,4395,3700,1706,3597.0,26.695060916139735,-29.251814037593263
245,0.399,3225,1554,1431,3597.0,26.70374665024565,-29.251814037593263
246,16.712,3295,1484,1361,3597.0,26.70483236700889,-29.25181403759327
247,20.508,3467,1778,1751,3597.0,26.70591808377213,-29.251814037593267
248,22.764,3755,622,687,3597.0,26.712432384351562,-29.251814037593263
249,23.756,3742,610,675,3597.0,26.713518101114794,-29.251814037593267
250,20.355,3858,725,790,3597.0,26.71677525140452,-29.251814037593267
251,8.486,3925,793,858,3597.0,26.717860968167756,-29.251814037593267
252,5.283,4115,684,1047,3597.0,26.71894668493099,-29.25181403759326
253,3.058,4136,663,1069,3597.0,26.720032401694233,-29.251814037593267
254,10.211,4837,1024,882,3597.0,26.724375268747195,-29.25181403759326
255,50.998,4815,1003,861,3597.0,26.725460985510434,-29.251814037593267
256,48.557,4866,841,762,3597.0,26.72654670227367,-29.251814037593263
257,61.023,4765,698,660,3597.0,26.727632419036908,-29.25181403759326
258,51.247,4699,624,595,3597.0,26.72871813580015,-29.251814037593267
259,53.107,4713,545,609,3597.0,26.72980385256339,-29.251814037593267
260,62.253,4480,491,375,3597.0,26.730889569326628,-29.251814037593263
261,32.88,4480,491,375,3597.0,26.731975286089863,-29.251814037593263
262,52.899,4673,149,569,3597.0,26.733061002853105,-29.251814037593267
263,49.007,4737,305,633,3597.0,26.73414671961634,-29.251814037593267
264,37.868,4808,376,704,3597.0,26.735232436379583,-29.251814037593267
265,6.192,4924,492,820,3597.0,26.73631815314282,-29.25181403759326
266,0.009,4815,515,619,3597.0,26.73740386990606,-29.251814037593267
267,0.0,4958,657,762,3597.0,26.7384895866693,-29.251814037593267
268,57.723,3965,3270,1276,3597.0,26.685427570312793,-29.25266593240185
269,65.221,3965,3270,1276,3597.0,26.686513292694972,-29.25266593240185
270,62.358,4100,3404,1410,3597.0,26.688684737459322,-29.252665932401847
271,91.103,4101,3406,1412,3597.0,26.69194190460585,-29.25266593240185
272,116.11,4198,3503,1509,3597.0,26.693027626988027,-29.25266593240185
273,120.806,4340,3645,1651,3597.0,26.6941133493702,-29.252665932401847
274,39.656,4315,3620,1626,3597.0,26.69519907175238,-29.252665932401847
275,10.873,3241,1552,1798,3597.0,26.70279912842761,-29.25266593240185
276,40.933,3241,1552,1798,3597.0,26.70388485080979,-29.252665932401847
277,53.981,3410,1721,1808,3597.0,26.704970573191957,-29.25266593240185
278,57.448,3370,1681,1634,3597.0,26.70605629557414,-29.25266593240185
279,2.317,3409,1717,1594,3597.0,26.707142017956315,-29.25266593240185
