,POP_2015,active_living,education,food_choices,ID_HDC_G0,lng,lat
157,68.635,1070,2762,2178,10803.0,116.04319683436499,39.123995283617255
158,31.35,1070,2762,2178,10803.0,116.0443650407468,39.12399528361726
159,57.92,1242,2934,2021,10803.0,116.04553324712862,39.12399528361726
160,61.34,1242,2934,2021,10803.0,116.04670145351042,39.123995283617255
161,65.365,1400,3092,1863,10803.0,116.04786965989223,39.123995283617255
162,101.176,1565,3257,1698,10803.0,116.04903786627406,39.12399528361726
163,83.544,1565,3257,1698,10803.0,116.05020607265587,39.12399528361726
164,55.331,1735,3429,1526,10803.0,116.0513742790377,39.123995283617255
165,20.503,1962,3655,1753,10803.0,116.05371069180134,39.12399528361726
166,0.019,1962,3655,1753,10803.0,116.05487889818315,39.123995283617255
167,89.157,368,332,4782,10803.0,116.0119065326438,39.12310485900392
168,91.519,368,332,4782,10803.0,116.01307472979241,39.12310485900392
169,80.559,453,257,4697,10803.0,116.01424292694102,39.12310485900392
170,74.72,552,353,4598,10803.0,116.01541112408962,39.12310485900391
171,79.164,720,485,4430,10803.0,116.01657932123823,39.12310485900391
172,95.922,1206,1005,3910,10803.0,116.02242030698129,39.123104859003924
173,81.617,1206,1005,3910,10803.0,116.0235885041299,39.12310485900392
174,95.185,1365,1255,3660,10803.0,116.02475670127849,39.12310485900392
175,87.777,1365,1255,3660,10803.0,116.0259248984271,39.12310485900392
176,101.554,1119,1501,3418,10803.0,116.02826129272428,39.12310485900391
177,94.448,1119,1501,3418,10803.0,116.02942948987292,39.12310485900391
178,87.324,927,1693,3226,10803.0,116.03059768702155,39.12310485900392
179,62.228,912,1708,3211,10803.0,116.03176588417014,39.12310485900392
180,43.709,686,1934,2985,10803.0,116.03293408131877,39.12310485900392
181,46.674,684,1937,2984,10803.0,116.03410227846736,39.12310485900392
182,93.938,574,2263,2670,10803.0,116.0364386727646,39.12310485900392
183,63.816,574,2263,2670,10803.0,116.03760686991322,39.12310485900392
184,76.553,1070,2762,2178,10803.0,116.04227965850761,39.12310485900391
185,69.825,1070,2762,2178,10803.0,116.04344785565624,39.12310485900391
186,44.597,1242,2934,2021,10803.0,116.04461605280486,39.123104859003924
187,59.583,1242,2934,2021,10803.0,116.04578424995346,39.12310485900392
188,78.896,1400,3092,1863,10803.0,116.04695244710206,39.12310485900392
189,80.54,1565,3257,1698,10803.0,116.04812064425069,39.12310485900392
190,81.258,1565,3257,1698,10803.0,116.0492888413993,39.12310485900392
191,62.459,1735,3429,1526,10803.0,116.05045703854789,39.12310485900391
192,65.951,1735,3429,1526,10803.0,116.0516252356965,39.12310485900392
193,48.736,1962,3655,1753,10803.0,116.0527934328451,39.12310485900392
194,41.082,1962,3655,1753,10803.0,116.05396162999371,39.12310485900391
195,80.597,1279,1661,3578,10803.0,116.02851245687361,39.12221443860801
196,84.3,1279,1661,3578,10803.0,116.0296806447894,39.12221443860801
197,69.047,1102,1839,3402,10803.0,116.03084883270523,39.12221443860801
198,76.869,1102,1839,3402,10803.0,116.03201702062104,39.12221443860801
199,28.986,848,2095,3148,10803.0,116.03318520853686,39.12221443860801
200,59.318,847,2097,3146,10803.0,116.0343533964527,39.12221443860801
201,45.145,1275,2967,2383,10803.0,116.04369889977926,39.12221443860801
202,74.568,1446,3138,2223,10803.0,116.04603527561086,39.122214438608005
203,83.514,1603,3295,2064,10803.0,116.0472034635267,39.12221443860801
204,78.128,1603,3295,2064,10803.0,116.04837165144251,39.122214438608005
205,72.46,1767,3459,1900,10803.0,116.04953983935835,39.12221443860801
206,41.555,1936,3630,1727,10803.0,116.05187621518996,39.122214438608005
207,101.327,894,1317,4198,10803.0,116.0240909291144,39.12132402242938
