,POP_2015,community_space,education,food_choices,mobility,ID_HDC_G0,lng,lat
122,6.327,2233,1325,2881,419,11606.0,113.15782888511154,28.78452620912343
123,9.515,2233,1325,2881,419,11606.0,113.15891155384055,28.784526209123424
124,23.513,3209,2301,1154,0,11606.0,113.16865557240172,28.78452620912343
125,12.671,3209,2301,1154,0,11606.0,113.16973824113076,28.784526209123424
126,0.286,3395,2487,1019,185,11606.0,113.17082090985976,28.784526209123428
127,0.0,3395,2487,1019,185,11606.0,113.1719035785888,28.784526209123428
128,17.385,4031,973,1589,382,11606.0,113.1096183727585,28.783675774893553
129,25.995,4027,969,1585,378,11606.0,113.11070103600203,28.78367577489355
130,1.14,3677,619,1235,385,11606.0,113.11394902573265,28.78367577489356
131,8.689,3645,588,1204,353,11606.0,113.11503168897615,28.78367577489355
132,22.787,3432,375,991,262,11606.0,113.11611435221967,28.78367577489356
133,20.02,3381,324,940,257,11606.0,113.11719701546323,28.78367577489356
134,18.05,3312,258,874,232,11606.0,113.11827967870674,28.783675774893553
135,1.423,2640,481,1097,5,11606.0,113.12261033168086,28.783675774893556
136,5.072,2453,615,0,0,11606.0,113.12369299492438,28.78367577489356
137,12.971,2457,623,7,7,11606.0,113.12477565816792,28.78367577489355
138,23.182,2341,790,963,0,11606.0,113.12585832141144,28.783675774893553
139,26.594,1992,1150,535,92,11606.0,113.13018897438555,28.78367577489356
140,25.145,1914,1474,1041,342,11606.0,113.13343696411611,28.78367577489355
141,6.302,1207,257,2114,179,11606.0,113.14209827006438,28.78367577489355
142,17.183,1207,257,2114,179,11606.0,113.1431809333079,28.783675774893553
143,9.335,1910,960,2817,564,11606.0,113.14642892303847,28.78367577489355
144,16.612,1848,898,2755,626,11606.0,113.14751158628201,28.783675774893556
145,10.482,2006,1056,2913,656,11606.0,113.14859424952552,28.783675774893556
146,5.526,2422,1472,3329,882,11606.0,113.15075957601258,28.78367577489355
147,2.331,2422,1472,3329,882,11606.0,113.15184223925611,28.783675774893553
148,12.576,2155,1247,2803,341,11606.0,113.15833821871728,28.783675774893553
149,23.859,3395,2487,1019,185,11606.0,113.17024751439611,28.783675774893553
150,0.542,3395,2487,1019,185,11606.0,113.17133017763963,28.783675774893553
151,20.257,4218,1160,1776,569,11606.0,113.10904530956103,28.782825343289705
152,21.495,4273,1215,1831,624,11606.0,113.1101279673193,28.782825343289712
153,1.759,3856,799,1415,564,11606.0,113.11229328283585,28.782825343289705
154,18.736,3645,588,1204,353,11606.0,113.11337594059417,28.782825343289705
155,19.113,3667,610,1226,375,11606.0,113.11445859835243,28.78282534328971
156,31.285,3312,258,874,232,11606.0,113.116623913869,28.78282534328971
157,10.758,3279,291,907,264,11606.0,113.11770657162725,28.78282534328971
158,14.098,2341,790,963,0,11606.0,113.12528517593519,28.782825343289705
159,18.623,2341,790,963,0,11606.0,113.12636783369352,28.782825343289712
160,21.548,1992,1150,535,92,11606.0,113.12961580696835,28.782825343289712
161,27.082,1920,1148,532,9,11606.0,113.1306984647266,28.782825343289705
162,32.174,1685,1245,841,113,11606.0,113.13286378024317,28.782825343289712
163,13.439,1685,1245,841,113,11606.0,113.13394643800146,28.782825343289705
164,1.001,1234,794,1741,285,11606.0,113.13935972679283,28.782825343289705
165,0.184,1234,794,1741,285,11606.0,113.14044238455114,28.782825343289705
166,7.626,1207,257,2114,179,11606.0,113.14152504230942,28.782825343289712
167,9.206,1207,257,2114,179,11606.0,113.14260770006769,28.78282534328971
168,8.582,1749,799,2655,687,11606.0,113.1469383311008,28.78282534328971
169,6.07,1964,1014,2871,721,11606.0,113.14802098885907,28.78282534328971
170,3.37,1937,987,2844,761,11606.0,113.14910364661736,28.782825343289705
171,3.627,2539,1590,3446,1000,11606.0,113.15126896213391,28.782825343289705
172,5.25,3314,391,1007,364,11606.0,113.11605083735425,28.781974914311782
173,3.524,3314,391,1007,364,11606.0,113.11713348962746,28.78197491431178
174,28.044,2920,762,1378,287,11606.0,113.12254675099385,28.781974914311782
175,0.165,1933,1164,548,0,11606.0,113.12904266463345,28.781974914311782
