,POP_2015,active_living,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
207,64.181,1996,844,839,1377,1522,10466.0,106.76425944957887,31.856220993434015
208,64.602,1925,935,929,1305,1438,10466.0,106.765363441094,31.856220993434015
209,19.878,1925,935,929,1305,1438,10466.0,106.76646743260915,31.85622099343401
210,46.251,986,679,1165,514,1473,10466.0,106.76977940715453,31.856220993434015
211,39.662,1074,617,1231,601,1385,10466.0,106.77088339866967,31.856220993434018
212,40.378,948,444,1401,628,1504,10466.0,106.77198739018479,31.856220993434015
213,18.476,921,345,1452,560,1422,10466.0,106.77309138169993,31.856220993434015
214,13.21,921,358,1452,588,1460,10466.0,106.77419537321505,31.856220993434015
215,40.035,1463,232,1426,1131,1988,10466.0,106.7752993647302,31.856220993434015
216,67.531,1463,232,1426,1131,1988,10466.0,106.77640335624532,31.85622099343401
217,29.832,1620,389,1583,1288,2145,10466.0,106.77750734776046,31.85622099343401
218,39.191,3604,575,1762,1474,1645,10466.0,106.74266359281174,31.85536041294828
219,85.155,3604,575,1762,1474,1645,10466.0,106.74376757791435,31.85536041294828
220,83.61,3495,512,1517,1279,1400,10466.0,106.74597554811953,31.85536041294828
221,138.689,3426,446,1198,961,1081,10466.0,106.74707953322216,31.85536041294828
222,65.714,3403,503,1255,1018,1138,10466.0,106.74818351832475,31.85536041294828
223,29.097,3151,184,923,686,806,10466.0,106.75039148852997,31.855360412948283
224,5.819,3016,49,789,552,672,10466.0,106.75259945873515,31.85536041294828
225,28.454,2854,298,627,624,697,10466.0,106.75480742894037,31.855360412948283
226,34.739,2711,247,484,481,553,10466.0,106.75591141404294,31.855360412948286
227,48.915,2663,199,435,472,545,10466.0,106.75701539914559,31.85536041294828
228,53.915,2544,115,345,583,656,10466.0,106.75811938424816,31.855360412948276
229,64.742,2445,317,428,768,841,10466.0,106.75922336935076,31.855360412948286
230,60.988,2342,268,262,881,954,10466.0,106.76032735445335,31.855360412948276
231,63.73,2239,369,363,973,1046,10466.0,106.76143133955597,31.855360412948283
232,70.148,2151,443,422,1057,1130,10466.0,106.76253532465857,31.85536041294828
233,81.675,2034,535,503,1123,1249,10466.0,106.76363930976116,31.85536041294828
234,53.542,1905,789,756,1285,1470,10466.0,106.76474329486378,31.85536041294828
235,63.184,1846,721,688,1226,1435,10466.0,106.76584727996638,31.855360412948283
236,2.726,991,685,1159,519,1467,10466.0,106.76915923527416,31.85536041294828
237,44.117,965,605,1239,588,1547,10466.0,106.77026322037676,31.855360412948276
238,70.459,803,569,1335,517,1649,10466.0,106.77136720547936,31.855360412948283
239,40.503,838,513,1370,573,1604,10466.0,106.77247119058195,31.855360412948283
240,21.872,785,445,1317,594,1548,10466.0,106.77357517568458,31.85536041294828
241,38.914,1042,328,1366,710,1574,10466.0,106.77467916078719,31.855360412948276
242,31.39,2180,1240,1915,1989,2996,10466.0,106.78351104160797,31.855360412948276
243,214.393,2180,1240,1915,1989,2996,10466.0,106.7846150267106,31.855360412948283
244,77.893,3463,441,1708,1333,1590,10466.0,106.7431475803874,31.854499835495613
245,104.107,3463,441,1708,1333,1590,10466.0,106.74425155907777,31.854499835495613
246,107.763,3404,420,1576,1202,1459,10466.0,106.74535553776812,31.854499835495606
247,104.802,3292,614,1366,1029,1249,10466.0,106.74756349514881,31.854499835495613
248,91.026,3174,194,946,709,829,10466.0,106.7497714525295,31.854499835495613
249,72.666,2978,5,751,513,633,10466.0,106.75197940991022,31.854499835495613
250,53.07,2734,268,494,269,366,10466.0,106.75418736729091,31.85449983549562
251,57.826,2722,256,495,258,378,10466.0,106.75529134598125,31.854499835495613
252,60.193,2543,79,316,437,557,10466.0,106.75639532467159,31.854499835495613
253,41.282,2464,0,236,516,637,10466.0,106.75749930336195,31.85449983549562
254,54.99,2535,158,345,626,699,10466.0,106.7586032820523,31.85449983549562
255,57.109,2366,181,176,795,868,10466.0,106.75970726074263,31.85449983549562
256,79.152,2336,242,237,856,929,10466.0,106.76081123943298,31.854499835495616
257,54.772,2192,360,327,1000,1073,10466.0,106.76191521812333,31.854499835495616
258,69.291,2114,428,395,986,1151,10466.0,106.76301919681369,31.854499835495613
259,67.313,2099,443,410,971,1166,10466.0,106.76412317550403,31.854499835495613
260,59.446,1850,717,684,1230,1431,10466.0,106.76522715419439,31.854499835495613
261,46.859,1345,838,805,839,1788,10466.0,106.76633113288474,31.854499835495613
262,5.125,1649,918,885,1029,1632,10466.0,106.76743511157508,31.854499835495613
263,2.773,842,716,1309,370,1617,10466.0,106.76964306895576,31.854499835495613
264,46.765,857,677,1348,409,1656,10466.0,106.77074704764613,31.85449983549562
265,57.857,851,618,1375,496,1686,10466.0,106.77185102633646,31.85449983549562
266,37.745,691,539,1223,500,1642,10466.0,106.7729550050268,31.85449983549562
267,57.171,786,623,1239,595,1756,10466.0,106.77405898371718,31.854499835495616
268,51.688,1231,0,1193,898,1755,10466.0,106.77516296240752,31.854499835495613
269,64.259,1231,0,1193,898,1755,10466.0,106.77626694109786,31.854499835495616
270,207.164,2180,1240,1915,1989,2996,10466.0,106.78399479193031,31.85449983549562
271,95.043,3327,304,1732,1358,1615,10466.0,106.74473555428135,31.853639261075894
272,90.176,3307,285,1712,1338,1595,10466.0,106.74583952655975,31.853639261075898
273,96.356,3210,596,1357,978,1240,10466.0,106.7469434988381,31.85363926107589
274,110.467,3188,636,1405,987,1288,10466.0,106.74804747111648,31.853639261075894
275,93.549,3103,358,1110,822,993,10466.0,106.74915144339485,31.853639261075898
276,102.587,3253,372,1124,886,1007,10466.0,106.75025541567321,31.853639261075894
277,116.595,3253,372,1124,886,1007,10466.0,106.7513593879516,31.853639261075894
278,60.879,2231,80,4,749,869,10466.0,106.75908719390019,31.85363926107589
279,64.322,2229,64,26,773,893,10466.0,106.76019116617856,31.85363926107589
280,60.162,2197,365,332,995,1068,10466.0,106.76129513845693,31.853639261075898
281,60.396,2099,443,410,971,1166,10466.0,106.76239911073529,31.853639261075894
282,68.31,2004,503,470,880,1260,10466.0,106.76350308301369,31.85363926107589
283,49.258,1932,576,543,807,1333,10466.0,106.76460705529205,31.853639261075894
284,49.351,1345,838,805,839,1788,10466.0,106.76571102757045,31.853639261075894
285,58.745,1402,785,752,783,1735,10466.0,106.76681499984882,31.853639261075894
286,9.175,1540,926,893,920,1741,10466.0,106.76791897212716,31.853639261075894
