,POP_2015,health_wellbeing,mobility,ID_HDC_G0,lng,lat
78,116.028,157,1377,7633.0,77.15599648101637,19.72316980151397
79,21.072,794,2235,7633.0,77.13814139510029,19.722342133446542
80,0.0,794,2235,7633.0,77.13917714701061,19.722342133446546
81,112.832,117,1136,7633.0,77.15264192184442,19.722342133446542
82,129.333,0,1220,7633.0,77.1536776737547,19.722342133446542
83,148.882,99,1320,7633.0,77.154713425665,19.722342133446542
84,91.76,204,1423,7633.0,77.15574917757529,19.722342133446542
85,99.49,0,1058,7633.0,77.14514440082456,19.72151446701246
86,146.577,301,1165,7633.0,77.15135889236828,19.72151446701246
87,115.396,301,1165,7633.0,77.15239464095889,19.72151446701246
88,177.35,368,1587,7633.0,77.15550188673075,19.72151446701246
89,8.474,368,1587,7633.0,77.15653763532137,19.721514467012458
90,84.624,136,1577,7633.0,77.14178991995796,19.72068680221164
91,199.351,0,1058,7633.0,77.14489715577132,19.72068680221164
92,198.571,172,1431,7633.0,77.14696864631352,19.72068680221164
93,99.527,172,1431,7633.0,77.14800439158464,19.72068680221164
94,22.485,178,1389,7633.0,77.15007588212687,19.72068680221164
95,14.606,301,1165,7633.0,77.15111162739798,19.72068680221164
96,40.101,301,1165,7633.0,77.15214737266909,19.720686802211638
97,88.117,368,1587,7633.0,77.15525460848244,19.720686802211638
98,40.286,368,1587,7633.0,77.15629035375356,19.72068680221164
99,126.063,95,1536,7633.0,77.14154269745691,19.719859139044008
100,130.262,0,1441,7633.0,77.1425784394087,19.719859139044008
101,182.218,0,1259,7633.0,77.14568566526405,19.71985913904401
102,110.342,0,1259,7633.0,77.14672140721581,19.719859139044008
103,65.038,168,1399,7633.0,77.14982863307115,19.71985913904401
104,37.834,178,1389,7633.0,77.15086437502292,19.719859139044008
105,202.027,85,1526,7633.0,77.14129548754927,19.71903147750949
106,144.162,0,1441,7633.0,77.14233122618188,19.719031477509485
107,186.901,0,1463,7633.0,77.14440270344711,19.71903147750949
108,137.918,0,1463,7633.0,77.14543844207972,19.719031477509482
109,142.341,0,1567,7633.0,77.14854565797754,19.71903147750949
110,159.92,112,1553,7633.0,77.14104829023464,19.718203817607986
111,126.806,112,1553,7633.0,77.14208402554826,19.71820381760799
112,146.726,166,1628,7633.0,77.14311976086186,19.718203817607982
