,POP_2015,active_living,community_space,food_choices,ID_HDC_G0,lng,lat
59,64.236,658,733,733,271.0,-91.45425218753911,15.35179420847089
60,9.24,823,613,884,271.0,-91.46117295648185,15.35097412208656
61,40.41,823,613,884,271.0,-91.46015254320127,15.35097412208656
62,42.979,604,545,679,271.0,-91.45913212992072,15.35097412208656
63,14.067,536,606,611,271.0,-91.45811171664018,15.350974122086566
64,4.542,449,524,524,271.0,-91.45709130335959,15.35097412208656
65,74.15,658,733,733,271.0,-91.45505047679845,15.35097412208656
66,60.213,693,768,768,271.0,-91.4540300635179,15.35097412208656
67,61.329,823,613,884,271.0,-91.46095082848767,15.350154036932864
68,47.101,823,613,884,271.0,-91.45993041768534,15.35015403693286
69,81.789,604,545,679,271.0,-91.45891000688302,15.350154036932862
70,34.96,541,616,616,271.0,-91.4578895960807,15.350154036932862
71,14.015,596,606,904,271.0,-91.45482836367373,15.350154036932864
72,3.322,358,368,1142,271.0,-91.45278754206906,15.350154036932862
73,54.892,748,738,899,271.0,-91.45868789722049,15.349333953009717
74,25.331,748,738,899,271.0,-91.45766748889623,15.349333953009717
75,9.266,596,606,904,271.0,-91.45460626392354,15.349333953009715
76,55.697,358,368,1142,271.0,-91.45256544727505,15.349333953009713
77,106.073,979,875,1146,271.0,-91.46152701847171,15.34851387031705
78,99.974,979,875,1146,271.0,-91.46050661262541,15.348513870317047
79,86.686,833,823,1066,271.0,-91.4594862067791,15.348513870317053
80,50.35,748,738,899,271.0,-91.4584658009328,15.34851387031705
81,1.583,748,738,899,271.0,-91.4574453950865,15.348513870317051
82,29.665,979,875,1146,271.0,-91.46130492812524,15.347693788854787
83,51.44,979,875,1146,271.0,-91.46028452475672,15.347693788854787
84,91.305,833,823,1066,271.0,-91.45926412138822,15.34769378885479
85,114.646,172,161,1448,271.0,-91.45416210454567,15.347693788854789
86,47.272,133,143,1422,271.0,-91.45314170117715,15.34769378885479
87,17.155,930,920,1519,271.0,-91.46210325204443,15.34687370862287
88,15.572,846,835,1434,271.0,-91.46108285115356,15.34687370862287
89,74.539,766,755,1354,271.0,-91.46006245026268,15.346873708622871
90,119.232,656,645,1244,271.0,-91.4590420493718,15.346873708622867
91,63.742,491,481,1156,271.0,-91.45802164848092,15.346873708622867
92,113.652,213,203,1434,271.0,-91.45598084669918,15.346873708622867
93,82.611,213,203,1434,271.0,-91.4549604458083,15.34687370862287
94,74.001,10,17,1511,271.0,-91.45394004491745,15.34687370862287
95,89.472,65,75,1551,271.0,-91.45291964402657,15.34687370862287
96,42.902,127,137,1606,271.0,-91.45189924313568,15.34687370862287
97,36.517,869,859,1458,271.0,-91.46188118596973,15.34605362962121
98,74.202,766,755,1354,271.0,-91.46086078755634,15.34605362962121
99,87.49,698,688,1286,271.0,-91.45984038914295,15.346053629621213
100,93.719,567,557,1205,271.0,-91.45881999072957,15.34605362962121
101,67.687,534,524,1225,271.0,-91.45779959231619,15.346053629621213
102,17.649,49,39,1550,271.0,-91.45473839707603,15.34605362962121
103,71.191,46,36,1547,271.0,-91.45371799866264,15.346053629621212
104,89.696,65,75,1551,271.0,-91.45269760024928,15.346053629621212
105,67.973,127,137,1606,271.0,-91.4516772018359,15.346053629621213
106,73.319,758,748,1448,271.0,-91.4596183413973,15.345233551849747
107,110.2,670,660,1361,271.0,-91.45859794546126,15.345233551849743
108,106.229,758,748,1448,271.0,-91.45939630702541,15.3444134753084
109,73.242,744,662,1435,271.0,-91.45837591356657,15.3444134753084
110,70.075,290,250,1791,271.0,-91.45429433973115,15.344413475308402
111,50.174,290,250,1791,271.0,-91.45327394627232,15.344413475308398
112,45.237,1264,1254,1955,271.0,-91.46427624093607,15.343593399997104
113,61.121,1264,1254,1955,271.0,-91.46325584995427,15.343593399997102
114,132.909,835,571,1526,271.0,-91.45917428602704,15.343593399997104
115,26.706,744,662,1435,271.0,-91.45815389504523,15.3435933999971
116,81.469,356,221,1857,271.0,-91.45407233111798,15.343593399997104
117,104.498,430,295,1931,271.0,-91.45305194013619,15.343593399997104
118,26.395,1264,1254,1955,271.0,-91.46405422092647,15.342773325915779
119,36.128,919,487,1610,271.0,-91.45997266690682,15.342773325915779
120,53.88,919,487,1610,271.0,-91.4589522784019,15.342773325915779
121,30.859,894,278,1818,271.0,-91.45793188989698,15.342773325915777
122,72.8,480,60,1981,271.0,-91.45487072438222,15.342773325915779
123,134.804,430,110,1931,271.0,-91.4538503358773,15.342773325915777
124,106.229,894,278,1818,271.0,-91.45770989812155,15.341953253064363
125,25.461,894,278,1818,271.0,-91.45668951209336,15.34195325306436
126,35.188,615,0,2097,271.0,-91.45566912606519,15.341953253064364
127,56.234,541,0,2042,271.0,-91.45464874003702,15.34195325306436
128,86.686,534,113,2035,271.0,-91.45362835400886,15.341953253064363
129,137.218,615,0,2097,271.0,-91.45544715261548,15.341133181442773
130,105.191,615,0,2097,271.0,-91.45442676906387,15.341133181442775
