,POP_2015,community_space,education,ID_HDC_G0,lng,lat
84,22.379,2754,400,2175.0,3.6304844556038005,6.855320567782614
85,50.538,2829,532,2175.0,3.6314866597323308,6.855320567782612
86,43.066,2949,752,2175.0,3.6334910679893935,6.855320567782613
87,38.448,2850,653,2175.0,3.634493272117925,6.855320567782612
88,54.58,3162,558,2175.0,3.6374998845035176,6.855320567782614
89,59.089,3229,467,2175.0,3.6385020886320487,6.855320567782614
90,50.776,3254,340,2175.0,3.6395042927605803,6.855320567782612
91,36.436,3348,434,2175.0,3.64050649688911,6.855320567782612
92,36.609,3828,298,2175.0,3.6455175175317662,6.855320567782612
93,36.198,3897,109,2175.0,3.6465197216602974,6.855320567782611
94,38.475,3783,324,2175.0,3.6475219257888276,6.855320567782612
95,42.792,3882,408,2175.0,3.6485241299173596,6.855320567782614
