,POP_2015,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
45,99.822,666,68,5000,9553.0,86.50335998513319,21.067024365535026
46,141.606,572,191,5000,9553.0,86.50440134739864,21.067024365535026
47,238.697,572,191,5000,9553.0,86.50544270966411,21.067024365535033
48,196.343,759,153,5000,9553.0,86.50648407192953,21.067024365535026
49,35.56,1084,1084,5000,9553.0,86.51585633231859,21.06702436553503
50,106.49,1028,0,5000,9553.0,86.4999368622706,21.066193943432882
51,173.673,1028,0,5000,9553.0,86.50097822093602,21.066193943432875
52,316.612,833,0,5000,9553.0,86.50201957960142,21.06619394343288
53,211.71,735,0,5000,9553.0,86.50306093826683,21.06619394343288
54,309.31,759,153,5000,9553.0,86.50618501426305,21.06619394343288
55,203.074,912,0,5000,9553.0,86.50722637292843,21.06619394343288
56,159.576,912,0,5000,9553.0,86.50826773159383,21.06619394343288
57,96.203,2088,0,4247,9553.0,86.49443106555853,21.065363523096043
58,163.958,2241,673,4921,9553.0,86.49547242062407,21.065363523096035
59,135.827,1289,0,5000,9553.0,86.49859648582068,21.065363523096043
60,268.035,955,0,5000,9553.0,86.50067919595172,21.065363523096035
61,187.834,931,23,5000,9553.0,86.50172055101726,21.06536352309604
62,240.031,833,0,5000,9553.0,86.5027619060828,21.06536352309604
63,214.504,912,0,5000,9553.0,86.50692732634492,21.06536352309604
64,145.225,912,0,5000,9553.0,86.50796868141046,21.065363523096043
65,18.288,2271,1005,4584,9553.0,86.49413207685399,21.064533104524436
66,29.21,2241,673,4921,9553.0,86.49517342831982,21.06453310452444
67,266.828,1289,0,5000,9553.0,86.49829748271735,21.064533104524436
68,214.948,1013,58,5000,9553.0,86.50038018564902,21.06453310452444
69,239.65,1013,58,5000,9553.0,86.50142153711487,21.06453310452444
70,13.589,1735,1636,5000,9553.0,86.5212072149658,21.064533104524436
71,135.319,2439,21,4993,9553.0,86.48862636349791,21.063702687717974
72,244.857,2439,21,4993,9553.0,86.48966771136425,21.063702687717974
73,127.699,1915,172,4420,9553.0,86.49383310282956,21.063702687717978
74,97.854,2282,838,4636,9553.0,86.49487445069586,21.063702687717974
75,286.831,1120,164,5000,9553.0,86.50008119002749,21.063702687717974
76,273.242,1307,352,5000,9553.0,86.50216388576015,21.063702687717974
77,100.33,1465,1465,5000,9553.0,86.51466006015602,21.063702687717974
78,37.338,1735,1636,5000,9553.0,86.52090814735394,21.063702687717974
79,179.325,2449,10,4996,9553.0,86.48832742214991,21.06287227267658
80,376.62,2439,21,4993,9553.0,86.48936876641687,21.06287227267658
81,144.146,1915,172,4420,9553.0,86.49353414348482,21.06287227267658
82,54.229,2479,1159,5000,9553.0,86.49457548775179,21.06287227267658
83,273.432,1572,283,4763,9553.0,86.49665817628575,21.062872272676582
84,312.675,1547,257,4788,9553.0,86.49769952055274,21.062872272676582
85,163.005,1307,352,5000,9553.0,86.50186489762069,21.06287227267658
86,82.423,1409,454,5000,9553.0,86.50290624188767,21.062872272676582
87,177.229,1469,514,5000,9553.0,86.50394758615464,21.06287227267658
88,131.509,2512,59,5000,9553.0,86.48906983614808,21.062041859400164
89,117.666,3112,1048,4585,9553.0,86.49427653948717,21.062041859400164
90,326.074,1391,436,4986,9553.0,86.49844190215846,21.06204185940016
91,87.059,1391,436,4986,9553.0,86.4994832428263,21.062041859400168
92,37.211,1469,514,5000,9553.0,86.50260726482973,21.06204185940016
93,239.269,1469,514,5000,9553.0,86.50364860549756,21.062041859400164
94,86.741,1319,713,5000,9553.0,86.50781396816885,21.062041859400164
95,82.042,1319,713,5000,9553.0,86.50885530883666,21.062041859400164
96,123.699,2648,195,5000,9553.0,86.48877092055741,21.061211447888645
97,157.417,3515,1369,4806,9553.0,86.4939776059016,21.061211447888645
98,182.309,1530,575,5000,9553.0,86.49814295417696,21.061211447888645
99,85.408,1391,436,4986,9553.0,86.49918429124577,21.06121144788865
100,141.669,1319,713,5000,9553.0,86.50751498779645,21.061211447888653
101,174.181,1319,713,5000,9553.0,86.50855632486525,21.06121144788865
102,327.979,1436,830,5000,9553.0,86.50959766193412,21.061211447888645
103,209.995,2679,417,5000,9553.0,86.49055468658459,21.060381038141948
104,272.67,1565,610,5000,9553.0,86.49784402087475,21.060381038141948
105,194.438,1630,675,5000,9553.0,86.49888535434478,21.060381038141948
106,220.028,1630,675,5000,9553.0,86.49992668781479,21.060381038141948
107,227.267,1688,732,5000,9553.0,86.5009680212848,21.060381038141948
108,207.011,2679,417,5000,9553.0,86.49025579315175,21.059550630159983
109,121.158,2320,580,4869,9553.0,86.49337978276596,21.059550630159983
110,150.432,2262,637,4927,9553.0,86.49442111263733,21.05955063015998
111,123.063,1601,646,5000,9553.0,86.49754510225151,21.05955063015998
112,252.35,1601,646,5000,9553.0,86.49858643212288,21.059550630159983
113,258.573,1688,732,5000,9553.0,86.50066909186567,21.05955063015998
114,141.733,1688,732,5000,9553.0,86.50171042173709,21.05955063015998
115,7.938,1875,920,5000,9553.0,86.50275175160847,21.05955063015998
116,72.327,2483,1528,5000,9553.0,86.50483441135124,21.05955063015998
117,27.559,2483,1528,5000,9553.0,86.50587574122264,21.059550630159983
118,179.96,2320,580,4869,9553.0,86.49308089321501,21.05872022394266
119,198.565,2262,637,4927,9553.0,86.49412221948795,21.05872022394266
120,181.611,1788,833,5000,9553.0,86.49724619830675,21.05872022394266
121,182.309,1875,920,5000,9553.0,86.50245282967141,21.05872022394266
122,247.397,1875,920,5000,9553.0,86.50349415594437,21.05872022394266
123,208.154,2483,1528,5000,9553.0,86.5045354822173,21.05872022394266
124,154.877,2602,1647,5000,9553.0,86.50557680849025,21.05872022394266
125,77.724,2602,1647,5000,9553.0,86.50661813476317,21.05872022394266
126,267.082,1936,1179,5000,9553.0,86.5128660924008,21.05872022394266
