,POP_2015,active_living,health_wellbeing,ID_HDC_G0,lng,lat
89,57.967,181,307,6758.0,73.71038009659941,23.852682947326368
90,61.875,157,441,6758.0,73.71143451042495,23.852682947326375
91,50.15,79,731,6758.0,73.7135433380761,23.852682947326375
92,61.473,133,694,6758.0,73.71459775190164,23.85268294732637
93,52.521,364,491,6758.0,73.7156521657272,23.85268294732637
94,45.207,393,505,6758.0,73.71670657955275,23.85268294732637
95,50.768,207,72,6758.0,73.71776099337832,23.85268294732637
96,44.56,207,72,6758.0,73.71881540720389,23.85268294732637
97,37.864,31,250,6758.0,73.71986982102946,23.85268294732637
98,44.402,401,580,6758.0,73.70692180781275,23.851846149877616
99,58.082,401,580,6758.0,73.70797621741754,23.851846149877616
100,60.783,160,282,6758.0,73.70903062702232,23.851846149877616
