,POP_2015,active_living,community_space,education,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
149,111.769,206,114,121,1807,302,12901.0,119.89530334565288,-0.9814582459840655
150,94.235,127,192,57,1729,380,12901.0,119.89630121337277,-0.9814582459840646
151,65.264,94,247,63,1569,498,12901.0,119.89729908109267,-0.9814582459840665
152,14.325,198,154,154,1465,601,12901.0,119.89829694881256,-0.9814582459840655
153,10.386,329,22,22,1334,733,12901.0,119.89929481653245,-0.9814582459840645
154,5.456,985,593,1023,985,1779,12901.0,119.90528202285174,-0.9814582459840655
155,27.95,985,593,1023,985,1779,12901.0,119.9062798905716,-0.9814582459840665
156,8.315,1067,618,1067,618,1883,12901.0,119.90727775829147,-0.9814582459840655
157,39.765,1067,618,1067,618,1883,12901.0,119.90827562601139,-0.9814582459840656
158,83.061,1188,170,17,84,3028,12901.0,119.91625856777046,-0.9814582459840675
159,37.782,1101,179,152,85,3037,12901.0,119.91725643549034,-0.9814582459840636
160,31.272,2676,2398,2094,4278,2558,12901.0,119.87436601335533,-0.9822670593953954
161,61.081,2646,2368,2064,4248,2528,12901.0,119.87536388122412,-0.9822670593953944
162,90.034,2418,2140,1835,4020,2300,12901.0,119.87636174909295,-0.9822670593953954
163,26.053,1360,1082,778,2962,1242,12901.0,119.8853425599122,-0.9822670593953972
164,59.079,1196,918,614,2798,1078,12901.0,119.88634042778097,-0.9822670593953933
165,0.0,1125,847,543,2727,1007,12901.0,119.88733829564977,-0.9822670593953954
166,4.756,952,674,369,2553,834,12901.0,119.88833616351862,-0.9822670593953944
167,11.291,952,674,369,2553,834,12901.0,119.88933403138739,-0.9822670593953964
168,31.742,757,478,174,2358,638,12901.0,119.89033189925621,-0.9822670593953954
169,69.699,582,304,0,2184,464,12901.0,119.89132976712501,-0.9822670593953944
170,81.194,559,281,22,2161,441,12901.0,119.89232763499379,-0.9822670593953954
171,112.499,434,156,148,2035,316,12901.0,119.89332550286261,-0.9822670593953933
172,114.774,323,44,213,1924,216,12901.0,119.89432337073139,-0.9822670593953955
173,124.81,262,106,152,1864,203,12901.0,119.8953212386002,-0.9822670593953964
