,POP_2015,education,health_wellbeing,ID_HDC_G0,lng,lat
82,57.786,328,257,8227.0,77.83103529724451,11.586372648844167
83,80.439,245,175,8227.0,77.83204583399558,11.586372648844165
84,77.447,368,100,8227.0,77.83305637074662,11.586372648844167
85,104.566,485,5,8227.0,77.83406690749766,11.586372648844165
86,77.96,633,25,8227.0,77.83507744424871,11.586372648844165
87,22.289,1315,110,8227.0,77.83810905450184,11.586372648844165
88,38.189,1271,105,8227.0,77.8391195912529,11.586372648844167
89,28.444,1272,142,8227.0,77.84013012800395,11.586372648844165
90,101.211,1803,314,8227.0,77.84417227500812,11.586372648844165
91,96.98,2024,270,8227.0,77.84619334851021,11.586372648844161
92,95.484,2137,156,8227.0,77.84720388526128,11.586372648844165
93,77.703,392,126,8227.0,77.83190563402566,11.585557482521237
94,104.523,464,5,8227.0,77.8329161689564,11.585557482521235
95,84.307,556,0,8227.0,77.83392670388717,11.585557482521237
96,74.305,626,54,8227.0,77.83493723881793,11.585557482521235
97,57.337,675,118,8227.0,77.83594777374867,11.585557482521235
98,52.016,1377,0,8227.0,77.83796884361017,11.585557482521237
99,116.213,1356,26,8227.0,77.83897937854093,11.585557482521235
100,58.299,1237,107,8227.0,77.83998991347168,11.585557482521239
101,95.462,1406,82,8227.0,77.8420109833332,11.585557482521235
102,115.999,1502,12,8227.0,77.84302151826394,11.585557482521235
103,113.435,1612,123,8227.0,77.84403205319468,11.585557482521235
104,85.995,1747,0,8227.0,77.84504258812542,11.585557482521235
105,103.925,1941,193,8227.0,77.8460531230562,11.585557482521237
106,113.093,2085,96,8227.0,77.84706365798695,11.585557482521235
107,85.589,2044,55,8227.0,77.84807419291772,11.585557482521237
108,51.588,536,183,8227.0,77.83176544462574,11.584742317107594
109,128.052,533,19,8227.0,77.83277597773633,11.584742317107596
110,88.923,603,0,8227.0,77.83378651084693,11.584742317107596
111,83.302,620,64,8227.0,77.83479704395752,11.584742317107592
112,44.208,675,118,8227.0,77.83580757706812,11.584742317107594
113,45.883,797,64,8227.0,77.83681811017871,11.584742317107592
114,69.946,900,0,8227.0,77.83782864328931,11.584742317107594
115,89.265,1070,8,8227.0,77.83883917639992,11.584742317107594
116,68.386,1162,0,8227.0,77.8398497095105,11.584742317107594
117,37.548,1406,82,8227.0,77.84187077573169,11.584742317107594
118,52.294,1692,203,8227.0,77.8428813088423,11.584742317107594
119,126.321,1652,163,8227.0,77.84389184195287,11.584742317107592
120,94.436,1818,74,8227.0,77.84490237506348,11.584742317107594
121,67.168,1856,109,8227.0,77.84591290817409,11.584742317107596
122,74.519,1949,39,8227.0,77.84692344128467,11.584742317107596
123,73.6,1988,0,8227.0,77.84793397439525,11.584742317107594
124,73.237,536,183,8227.0,77.83162526579565,11.583927152603176
