,POP_2015,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
285,48.124,559,1317,1159,1317,1317,3696.0,26.973168366366057,-16.814389570813592
286,65.749,648,1228,1070,1228,1228,3696.0,26.97419343594504,-16.814389570813596
287,66.973,716,1175,1017,1175,1175,3696.0,26.975218505524012,-16.814389570813592
288,79.243,756,984,826,984,984,3696.0,26.976243575102988,-16.814389570813592
289,67.185,647,875,717,875,875,3696.0,26.977268644681967,-16.814389570813596
290,71.211,358,883,727,883,883,3696.0,26.97829371426094,-16.814389570813592
291,24.824,358,883,727,883,883,3696.0,26.97931878383991,-16.814389570813592
292,14.682,414,1243,1087,1243,1243,3696.0,26.981368922997866,-16.814389570813592
293,37.361,427,1257,1100,1257,1257,3696.0,26.982393992576835,-16.814389570813592
294,50.659,613,1442,1286,1442,1442,3696.0,26.983419062155814,-16.814389570813592
295,47.677,613,1442,1286,1442,1442,3696.0,26.98444413173479,-16.814389570813592
296,0.301,832,1437,1589,1912,1912,3696.0,26.98649427089274,-16.814389570813592
297,4.983,793,1463,1615,1938,1938,3696.0,26.98751934047171,-16.814389570813592
298,8.937,914,1325,1477,1803,1803,3696.0,26.988544410050693,-16.814389570813592
299,30.942,914,1325,1477,1803,1803,3696.0,26.989569479629665,-16.814389570813592
300,1.17,836,3051,2893,3051,3051,3696.0,26.959914773326382,-16.815211966139678
301,9.486,792,3008,2850,3008,3008,3696.0,26.960939845654785,-16.815211966139678
302,0.018,668,2976,2818,2976,2976,3696.0,26.96196491798319,-16.815211966139675
303,2.766,521,2399,2241,2399,2399,3696.0,26.96504013496843,-16.815211966139678
304,56.387,126,1932,1774,1932,1932,3696.0,26.96811535195365,-16.815211966139678
305,47.432,189,1793,1634,1793,1793,3696.0,26.96914042428206,-16.815211966139675
306,0.461,203,1674,1516,1674,1674,3696.0,26.970165496610473,-16.815211966139678
307,0.869,359,1518,1360,1518,1518,3696.0,26.97119056893888,-16.815211966139678
308,0.0,380,1497,1339,1497,1497,3696.0,26.972215641267287,-16.815211966139678
309,1.454,447,1430,1272,1430,1430,3696.0,26.973240713595697,-16.815211966139678
310,48.106,716,1175,1017,1175,1175,3696.0,26.974265785924104,-16.815211966139675
311,43.212,786,1154,995,1154,1154,3696.0,26.97529085825251,-16.815211966139675
