,POP_2015,community_space,education,food_choices,health_wellbeing,ID_HDC_G0,lng,lat
112,0.0,1904,1138,4085,4340,3515.0,25.593337309901035,-33.783088144776656
113,0.0,2061,1181,3950,4205,3515.0,25.594456315532927,-33.783088144776656
114,0.0,2388,1259,4029,4283,3515.0,25.596694326796715,-33.783088144776656
115,0.0,2388,1259,4029,4283,3515.0,25.597813332428615,-33.78308814477666
116,0.0,2599,1470,4240,4494,3515.0,25.598932338060514,-33.78308814477666
117,0.0,2599,1470,4240,4494,3515.0,25.60005134369241,-33.783088144776656
118,0.0,2706,1545,4314,4569,3515.0,25.6022893549562,-33.78308814477666
119,0.0,843,1608,3530,3785,3515.0,25.575594666263584,-33.783955800507464
120,161.771,853,1394,3501,3756,3515.0,25.578951704350644,-33.78395580050747
121,20.096,851,1367,3500,3754,3515.0,25.580070717046336,-33.783955800507464
122,40.31,995,1181,3643,3898,3515.0,25.581189729742015,-33.783955800507464
123,73.753,1096,1079,3744,3999,3515.0,25.582308742437707,-33.78395580050747
124,42.677,1282,995,3616,3870,3515.0,25.584546767829075,-33.783955800507464
125,75.334,1284,1035,3618,3873,3515.0,25.585665780524767,-33.78395580050747
126,91.927,1311,1062,3644,3899,3515.0,25.586784793220453,-33.78395580050747
127,77.472,1336,1013,3669,3924,3515.0,25.587903805916138,-33.783955800507464
128,86.468,1404,879,3738,3993,3515.0,25.589022818611827,-33.78395580050747
129,119.667,1435,792,3769,4023,3515.0,25.590141831307513,-33.78395580050747
130,0.087,1904,1138,4085,4340,3515.0,25.592379856698884,-33.78395580050747
131,0.0,1904,1138,4085,4340,3515.0,25.59349886939457,-33.783955800507464
132,0.0,2174,1045,3815,4069,3515.0,25.594617882090258,-33.78395580050747
133,0.0,2174,1045,3815,4069,3515.0,25.595736894785944,-33.78395580050747
134,0.0,2388,1259,4029,4283,3515.0,25.596855907481626,-33.783955800507464
135,0.0,2388,1259,4029,4283,3515.0,25.597974920177318,-33.783955800507464
136,0.001,2496,1335,4104,4359,3515.0,25.600212945568686,-33.78395580050747
137,0.0,2642,1481,4250,4505,3515.0,25.602450970960064,-33.78395580050747
138,0.288,843,1608,3530,3785,3515.0,25.575756119747773,-33.78482345955173
139,38.016,725,1493,3373,3628,3515.0,25.577994159267334,-33.78482345955173
140,150.971,753,1480,3401,3655,3515.0,25.57911317902712,-33.78482345955173
141,27.517,851,1367,3500,3754,3515.0,25.58023219878691,-33.78482345955173
142,23.108,909,978,3557,3812,3515.0,25.582470238306477,-33.78482345955174
143,39.209,959,929,3512,3767,3515.0,25.583589258066258,-33.784823459551724
144,170.778,1150,901,3484,3739,3515.0,25.585827297585833,-33.78482345955174
145,187.632,1176,927,3509,3764,3515.0,25.58694631734561,-33.78482345955173
146,86.985,1228,955,3561,3816,3515.0,25.588065337105398,-33.78482345955173
147,141.729,1326,843,3659,3914,3515.0,25.589184356865193,-33.78482345955174
148,137.189,1423,658,3688,3943,3515.0,25.590303376624966,-33.78482345955173
149,45.871,1373,607,3637,3892,3515.0,25.591422396384747,-33.78482345955173
150,16.752,1415,650,3680,3935,3515.0,25.592541416144538,-33.78482345955174
151,0.01,2040,1179,3948,4203,3515.0,25.593660435904322,-33.78482345955173
152,0.0,2174,1045,3815,4069,3515.0,25.594779455664103,-33.78482345955173
153,0.0,2174,1045,3815,4069,3515.0,25.595898475423887,-33.78482345955173
154,0.0,2283,1123,3892,4147,3515.0,25.59813651494346,-33.78482345955173
155,0.0,2429,1268,4038,4292,3515.0,25.600374554463023,-33.78482345955173
156,0.0,2642,1481,4250,4505,3515.0,25.60261259398259,-33.78482345955173
157,0.0,642,1773,3330,3585,3515.0,25.577036607067768,-33.78569112190962
