,POP_2015,active_living,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
62,114.868,1646,681,728,1049,8553.0,80.17073523024027,16.095307121155827
63,94.31,1716,751,798,1119,8553.0,80.17175795312062,16.095307121155827
64,39.676,1838,872,920,1240,8553.0,80.17278067600097,16.095307121155827
65,1.6,1965,887,1047,1197,8553.0,80.17380339888135,16.095307121155827
66,224.536,163,592,996,1762,8553.0,80.1592803278733,16.094485889984156
67,150.624,119,636,996,1807,8553.0,80.16030304813879,16.094485889984156
68,146.305,497,259,664,1639,8553.0,80.16132576840425,16.094485889984156
69,169.702,623,160,443,1586,8553.0,80.16234848866972,16.094485889984156
70,180.621,730,164,287,1431,8553.0,80.1633712089352,16.09448588998416
71,203.659,808,140,211,1355,8553.0,80.16439392920068,16.094485889984156
72,95.03,929,232,55,1180,8553.0,80.16541664946617,16.094485889984156
73,140.185,1000,174,50,1114,8553.0,80.16643936973166,16.094485889984156
74,166.742,1186,221,268,1134,8553.0,80.16746208999713,16.094485889984156
75,108.309,1252,286,334,1114,8553.0,80.16848481026261,16.094485889984153
76,162.303,1340,375,423,1047,8553.0,80.1695075305281,16.094485889984156
77,154.344,1434,469,516,968,8553.0,80.17053025079358,16.09448588998416
78,102.469,1529,564,611,873,8553.0,80.17155297105904,16.094485889984156
79,51.355,2101,751,1183,1062,8553.0,80.17257569132454,16.09448588998416
80,19.358,2101,751,1183,1062,8553.0,80.17359841159,16.094485889984156
81,153.264,271,484,888,1654,8553.0,80.1590753891133,16.09366466010908
82,187.7,271,484,888,1654,8553.0,80.16009810676405,16.09366466010908
83,167.702,551,203,608,1583,8553.0,80.1611208244148,16.09366466010908
84,201.779,621,134,564,1514,8553.0,80.16214354206554,16.09366466010908
85,186.1,783,49,430,1450,8553.0,80.16316625971626,16.093664660109084
86,217.377,896,19,317,1387,8553.0,80.16418897736703,16.093664660109084
87,128.906,926,164,133,1277,8553.0,80.16521169501777,16.09366466010908
88,156.264,1060,112,119,1046,8553.0,80.16623441266853,16.09366466010908
89,135.186,1175,0,225,939,8553.0,80.16725713031927,16.093664660109084
90,129.066,1404,434,487,983,8553.0,80.16827984797001,16.09366466010908
91,150.344,1427,456,509,963,8553.0,80.16930256562077,16.09366466010908
92,172.662,1519,548,601,883,8553.0,80.17032528327154,16.093664660109084
93,146.305,1598,520,680,804,8553.0,80.17134800092226,16.09366466010908
94,73.752,2089,691,1138,1000,8553.0,80.17237071857302,16.093664660109084
95,60.314,2111,713,1161,1023,8553.0,80.17339343622376,16.09366466010908
96,32.317,2290,534,1339,1067,8553.0,80.17441615387452,16.09366466010908
97,0.08,2290,534,1339,1067,8553.0,80.17543887152526,16.09366466010908
98,144.225,349,562,966,1580,8553.0,80.158870462276,16.092843431530532
99,157.703,338,484,888,1587,8553.0,80.15989317731216,16.092843431530532
100,172.382,402,353,757,1524,8553.0,80.16091589234834,16.092843431530532
101,238.015,738,176,607,1410,8553.0,80.1619386073845,16.092843431530532
102,167.502,818,150,513,1350,8553.0,80.16296132242067,16.092843431530532
103,193.86,889,158,442,1284,8553.0,80.16398403745684,16.092843431530532
104,102.349,1101,66,292,1171,8553.0,80.165006752493,16.092843431530536
105,137.466,1213,0,281,1035,8553.0,80.16602946752917,16.09284343153053
106,137.586,1173,0,230,933,8553.0,80.16705218256534,16.092843431530532
107,159.983,1250,74,299,868,8553.0,80.16807489760151,16.092843431530536
108,159.583,1523,348,572,853,8553.0,80.16909761263767,16.092843431530536
109,171.222,1582,439,664,770,8553.0,80.17012032767386,16.09284343153053
