,POP_2015,active_living,community_space,education,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
65,104.55,222,78,144,228,651,619,6672.0,73.04625616791743,24.03347948366585
66,93.45,281,137,204,272,696,679,6672.0,73.0473114980218,24.033479483665847
67,86.412,243,170,339,172,831,640,6672.0,73.04836682812615,24.03347948366585
68,14.977,537,464,644,283,862,381,6672.0,73.0494221582305,24.03347948366585
69,23.98,707,563,348,297,466,1104,6672.0,73.04173978524409,24.03264224047317
70,81.234,701,546,342,291,472,1098,6672.0,73.04279511108528,24.032642240473166
71,102.107,511,367,153,114,490,909,6672.0,73.0438504369265,24.03264224047317
72,122.661,405,261,74,98,520,802,6672.0,73.04490576276773,24.032642240473166
73,134.638,378,234,122,146,568,775,6672.0,73.04596108860895,24.03264224047317
74,135.673,374,246,256,180,748,769,6672.0,73.04701641445014,24.03264224047317
75,89.307,280,208,387,85,865,638,6672.0,73.04807174029138,24.03264224047317
76,59.166,299,226,405,67,870,619,6672.0,73.0491270661326,24.03264224047317
77,43.897,714,481,434,285,295,1111,6672.0,73.04250005818496,24.031804999353827
78,110.817,572,369,261,143,359,970,6672.0,73.04355537976325,24.031804999353824
79,136.018,522,310,242,93,355,919,6672.0,73.04461070134151,24.031804999353827
80,104.364,492,177,236,72,452,890,6672.0,73.04566602291978,24.03180499935383
81,110.923,500,277,246,171,670,836,6672.0,73.04672134449808,24.031804999353827
82,103.7,418,195,365,51,766,717,6672.0,73.04777666607636,24.031804999353827
83,80.012,362,240,448,59,857,605,6672.0,73.04883198765465,24.031804999353824
84,45.384,771,471,491,342,222,1168,6672.0,73.04220501890298,24.03096776030774
85,118.97,652,431,373,188,269,1050,6672.0,73.04326033621851,24.03096776030774
86,109.171,652,431,373,67,229,1050,6672.0,73.04431565353406,24.03096776030774
87,100.176,564,105,309,32,524,962,6672.0,73.04537097084958,24.030967760307735
88,102.532,572,165,325,72,545,917,6672.0,73.04642628816511,24.030967760307743
89,143.72,547,80,450,17,674,841,6672.0,73.04748160548064,24.030967760307735
90,71.169,492,168,557,104,784,736,6672.0,73.04853692279617,24.03096776030774
91,76.879,574,250,639,186,866,817,6672.0,73.04959224011174,24.03096776030774
92,47.907,791,466,855,403,1082,1034,6672.0,73.05170287474279,24.030967760307732
93,17.527,1117,143,1182,729,1409,1361,6672.0,73.05486882668941,24.030967760307743
