,POP_2015,active_living,community_space,education,health_wellbeing,ID_HDC_G0,lng,lat
43,86.931,0,114,340,204,8607.0,83.04080829133444,24.218561255725557
44,76.901,137,164,544,231,8607.0,83.04186456843011,24.218561255725557
45,95.075,178,218,599,285,8607.0,83.04292084552577,24.218561255725557
46,114.451,312,362,742,428,8607.0,83.04397712262146,24.218561255725557
47,1.6,312,362,742,428,8607.0,83.0450333997171,24.218561255725557
48,115.719,537,491,196,566,8607.0,83.03518834372551,24.217723552099166
49,122.281,537,491,196,566,8607.0,83.0362446165144,24.217723552099162
50,113.622,380,335,40,388,8607.0,83.0373008893033,24.217723552099162
51,130.225,584,365,244,643,8607.0,83.03835716209218,24.217723552099162
52,120.423,0,114,340,204,8607.0,83.03941343488106,24.217723552099162
53,75.014,82,122,257,141,8607.0,83.04046970766994,24.217723552099166
54,84.302,115,24,404,90,8607.0,83.04152598045884,24.217723552099162
55,98.933,37,169,549,235,8607.0,83.04258225324773,24.217723552099166
56,97.047,0,197,577,263,8607.0,83.04363852603662,24.217723552099162
57,21.504,489,885,1169,1092,8607.0,83.0295684547619,24.21688585056617
58,55.247,489,885,1169,1092,8607.0,83.03062472324422,24.21688585056618
59,87.174,199,595,879,802,8607.0,83.03273726020883,24.21688585056618
60,79.501,264,503,208,523,8607.0,83.03590606565577,24.21688585056618
61,113.479,305,462,167,491,8607.0,83.03696233413807,24.21688585056618
62,109.307,254,531,312,478,8607.0,83.03801860262038,24.21688585056618
63,110.536,269,309,354,256,8607.0,83.0390748711027,24.21688585056618
64,117.566,153,148,328,88,8607.0,83.04013113958501,24.216885850566182
65,67.327,222,102,434,35,8607.0,83.04118740806733,24.21688585056618
66,66.499,36,142,523,209,8607.0,83.04224367654963,24.21688585056618
67,57.697,76,274,654,340,8607.0,83.04329994503196,24.21688585056618
68,42.268,396,0,1281,1204,8607.0,83.02817368114387,24.216048151126504
69,11.031,396,0,1281,1204,8607.0,83.02922994531978,24.216048151126508
70,29.749,489,885,1169,1092,8607.0,83.03028620949571,24.216048151126504
71,59.683,126,523,826,750,8607.0,83.03239873784759,24.21604815112651
72,62.405,124,520,760,683,8607.0,83.0334550020235,24.216048151126504
73,75.804,174,498,510,433,8607.0,83.03451126619944,24.216048151126508
74,101.848,171,495,506,430,8607.0,83.03556753037537,24.216048151126508
75,121.852,229,553,337,488,8607.0,83.0366237945513,24.216048151126504
76,81.301,241,542,324,483,8607.0,83.03768005872725,24.216048151126508
77,95.961,309,350,394,297,8607.0,83.03873632290319,24.21604815112651
78,109.593,359,399,444,346,8607.0,83.03979258707912,24.216048151126504
79,93.847,248,137,470,71,8607.0,83.04084885125502,24.216048151126504
80,99.362,158,227,566,168,8607.0,83.04190511543096,24.216048151126508
81,75.586,195,301,676,277,8607.0,83.04296137960691,24.216048151126508
82,59.115,444,127,1408,1332,8607.0,83.0278351915845,24.21521045378006
83,38.318,355,751,1240,1163,8607.0,83.02994771132401,24.21521045378006
84,13.872,0,396,884,808,8607.0,83.03206023106348,24.21521045378006
85,33.634,217,613,666,590,8607.0,83.03311649093324,24.215210453780063
86,97.047,192,517,528,451,8607.0,83.034172750803,24.215210453780053
87,108.221,79,403,415,338,8607.0,83.03522901067277,24.21521045378006
88,45.806,31,355,440,290,8607.0,83.03628527054249,24.21521045378006
89,92.532,333,373,417,320,8607.0,83.03839779028199,24.215210453780063
90,105.963,408,456,428,403,8607.0,83.03945405015173,24.21521045378006
91,102.563,325,502,280,513,8607.0,83.0405103100215,24.21521045378006
92,109.135,568,608,652,555,8607.0,83.04156656989123,24.215210453780063
93,23.338,444,127,1408,1332,8607.0,83.02749671760097,24.214372758526753
94,72.087,347,224,1505,1429,8607.0,83.02855297316476,24.21437275852676
95,61.036,79,475,964,887,8607.0,83.03172173985604,24.21437275852676
96,23.162,79,475,964,887,8607.0,83.03277799541979,24.214372758526757
97,127.653,238,634,645,569,8607.0,83.03383425098357,24.21437275852676
98,105.735,99,423,520,358,8607.0,83.03489050654736,24.21437275852676
99,92.837,0,324,472,258,8607.0,83.03594676211112,24.214372758526757
100,96.822,104,219,574,154,8607.0,83.03700301767488,24.214372758526757
101,106.278,261,116,628,147,8607.0,83.03805927323863,24.214372758526757
102,87.16,351,467,443,402,8607.0,83.0391155288024,24.214372758526753
103,116.622,355,468,310,493,8607.0,83.04017178436617,24.214372758526757
104,118.137,274,549,230,552,8607.0,83.04122803992992,24.21437275852676
105,46.075,77,494,1254,1177,8607.0,83.03032701296677,24.213535065366496
106,43.048,77,494,1254,1177,8607.0,83.03138326422474,24.213535065366496
107,45.705,126,562,1050,973,8607.0,83.03243951548272,24.213535065366493
108,93.589,389,312,288,130,8607.0,83.03455201799869,24.213535065366496
109,56.821,277,257,400,29,8607.0,83.03560826925666,24.213535065366496
110,33.371,156,168,522,102,8607.0,83.03666452051463,24.213535065366496
111,34.321,239,84,606,115,8607.0,83.03772077177261,24.213535065366496
112,55.296,389,243,535,275,8607.0,83.03877702303059,24.213535065366496
113,86.874,491,346,458,377,8607.0,83.03983327428857,24.21353506536649
114,130.682,44,779,0,783,8607.0,83.04088952554656,24.213535065366496
115,25.318,77,494,1254,1177,8607.0,83.02998855721667,24.21269737429918
116,31.152,32,539,1209,1132,8607.0,83.03104480416906,24.21269737429918
117,46.883,61,626,1115,1038,8607.0,83.03210105112147,24.212697374299175
118,58.497,400,323,283,141,8607.0,83.03421354502625,24.21269737429918
