,POP_2015,food_choices,health_wellbeing,ID_HDC_G0,lng,lat
85,39.566,2528,234,8068.0,77.73264227561454,14.423408120263623
86,111.149,2168,1026,8068.0,77.71007633358988,14.422589382127269
87,147.331,2168,911,8068.0,77.71109403399433,14.422589382127263
88,159.883,2134,759,8068.0,77.71211173439879,14.422589382127267
89,169.847,2089,682,8068.0,77.71312943480325,14.422589382127269
90,145.075,2015,588,8068.0,77.71414713520768,14.422589382127263
91,115.227,1817,392,8068.0,77.71516483561216,14.422589382127267
92,17.397,1794,357,8068.0,77.7161825360166,14.422589382127267
93,42.776,2110,697,8068.0,77.71720023642106,14.422589382127265
94,15.878,1642,502,8068.0,77.72127103803888,14.422589382127269
95,50.759,1817,494,8068.0,77.72432413925225,14.422589382127263
96,56.919,2045,365,8068.0,77.7253418396567,14.422589382127269
97,160.693,2045,365,8068.0,77.72635954006117,14.422589382127267
