,POP_2015,community_space,health_wellbeing,ID_HDC_G0,lng,lat
89,110.902,507,35,8203.0,77.34713358715592,9.080459012795139
90,155.536,49,317,8203.0,77.35115587742874,9.080459012795137
91,195.641,434,67,8203.0,77.35316702256515,9.08045901279514
92,167.933,400,33,8203.0,77.35417259513332,9.08045901279514
93,125.391,0,367,8203.0,77.35104764071909,9.079646329977328
94,200.101,367,0,8203.0,77.35305878304132,9.079646329977326
95,171.058,367,0,8203.0,77.35406435420244,9.079646329977328
96,59.876,726,85,8203.0,77.34591156534918,9.078833647864524
97,78.523,726,85,8203.0,77.34691713510337,9.078833647864524
98,129.198,1038,298,8203.0,77.34278665085263,9.078020966456672
99,123.333,1038,298,8203.0,77.34379221919995,9.078020966456672
100,206.492,811,0,8203.0,77.34580335589463,9.078020966456672
101,123.93,811,0,8203.0,77.34680892424196,9.078020966456672
102,113.255,1038,298,8203.0,77.34368402266838,9.077208285753697
103,54.151,811,0,8203.0,77.34569515654968,9.077208285753699
104,12.713,811,0,8203.0,77.34670072349031,9.077208285753697
