,POP_2015,community_space,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
50,5.848,1858,412,2455,693,2505,5169.0,39.43882625953208,15.62249036324305
51,76.888,1908,462,2505,743,2556,5169.0,39.43984750132705,15.62249036324305
52,229.255,1584,1502,2270,1909,2338,5169.0,39.44086874312204,15.62249036324305
53,477.57,1558,1476,2243,1919,2311,5169.0,39.441889984917026,15.62249036324305
54,563.771,1492,1482,2221,1943,2298,5169.0,39.442911226712006,15.622490363243047
55,410.97,1447,1481,2178,1988,2263,5169.0,39.44393246850699,15.62249036324305
56,434.578,1436,1485,2166,1993,2251,5169.0,39.44495371030197,15.622490363243049
57,683.001,1333,1410,2064,2001,2149,5169.0,39.44597495209695,15.62249036324305
58,105.152,1297,1374,2027,2033,2112,5169.0,39.44699619389194,15.622490363243047
59,0.0,785,1651,1331,2803,1742,5169.0,39.452102402866856,15.62249036324305
60,0.0,785,1651,1331,2803,1742,5169.0,39.45312364466182,15.62249036324305
61,250.264,2145,3011,80,4215,3101,5169.0,39.46435730440664,15.62249036324305
62,82.42,2097,2963,127,4262,3054,5169.0,39.46537854620162,15.62249036324305
63,235.146,2121,2987,213,4348,3078,5169.0,39.4663997879966,15.62249036324305
64,346.428,2129,2995,463,4399,3086,5169.0,39.46742102979159,15.62249036324305
65,41.476,2441,3307,1003,4711,3398,5169.0,39.470484755176535,15.622490363243047
66,233.154,2520,3386,1082,4789,3476,5169.0,39.47150599697151,15.622490363243047
67,100.171,2579,3445,1141,4849,3536,5169.0,39.472527238766496,15.62249036324305
68,1.191,2684,3550,1246,4953,3640,5169.0,39.47354848056148,15.62249036324305
69,7.689,5000,5000,5000,5000,5000,5169.0,39.47661220594644,15.62249036324305
70,346.103,5000,5000,5000,5000,5000,5169.0,39.477633447741404,15.62249036324305
71,404.906,5000,5000,5000,5000,5000,5169.0,39.47865468953639,15.62249036324305
72,286.109,5000,5000,5000,5000,5000,5169.0,39.47967593133138,15.62249036324305
73,397.109,2534,605,3131,354,3181,5169.0,39.43055872551485,15.621669866798676
74,667.84,2276,347,2872,96,2923,5169.0,39.43260120404921,15.621669866798676
75,510.274,2253,324,2849,158,2900,5169.0,39.43362244331639,15.621669866798678
76,511.141,2144,216,2741,276,2792,5169.0,39.43464368258356,15.621669866798676
77,282.427,2012,83,2608,360,2659,5169.0,39.43566492185075,15.621669866798676
78,24.041,1837,91,2433,401,2484,5169.0,39.43668616111794,15.621669866798678
79,0.0,1720,257,2316,539,2367,5169.0,39.43770740038512,15.621669866798676
80,0.0,1671,284,2268,583,2318,5169.0,39.438728639652304,15.621669866798676
81,218.101,1440,1358,2126,1764,2194,5169.0,39.44179235745384,15.621669866798676
82,407.505,1482,1423,2190,1865,2258,5169.0,39.442813596721024,15.621669866798676
83,422.232,1345,1351,2076,1837,2161,5169.0,39.443834835988206,15.621669866798676
