,POP_2015,education,food_choices,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
179,243.515,520,259,703,964,714.0,-72.27228528972631,11.713549773953313
180,250.078,449,134,632,893,714.0,-72.2712744673274,11.71354977395332
181,212.936,388,71,535,765,714.0,-72.27026364492846,11.713549773953313
182,228.076,298,142,409,635,714.0,-72.26925282252954,11.713549773953318
183,272.304,177,188,301,527,714.0,-72.26824200013061,11.713549773953313
184,254.628,118,187,189,529,714.0,-72.26723117773167,11.713549773953318
185,331.076,126,227,141,578,714.0,-72.26622035533276,11.713549773953316
186,353.004,42,264,14,630,714.0,-72.26520953293382,11.713549773953316
187,303.107,167,278,202,622,714.0,-72.2641987105349,11.713549773953316
188,170.274,256,377,239,721,714.0,-72.26318788813596,11.713549773953316
189,223.676,328,439,315,784,714.0,-72.26217706573705,11.713549773953316
190,296.693,490,601,467,945,714.0,-72.26116624333812,11.713549773953316
191,220.17,520,883,786,1230,714.0,-72.26015542093918,11.713549773953318
192,76.746,520,883,786,1230,714.0,-72.25914459854026,11.713549773953316
193,52.134,638,1043,901,1387,714.0,-72.25813377614132,11.713549773953316
194,62.948,270,1237,1185,1584,714.0,-72.25712295374241,11.713549773953314
195,7.458,400,1291,1169,1638,714.0,-72.25611213134349,11.713549773953318
196,9.099,437,1291,1169,1638,714.0,-72.25510130894455,11.713549773953318
197,8.428,1135,1301,1317,1578,714.0,-72.27821853217276,11.712734464953677
198,45.869,1135,1301,1317,1578,714.0,-72.27720771161556,11.712734464953677
199,0.0,849,1016,1031,1293,714.0,-72.27518607050118,11.712734464953678
200,0.075,835,1002,1017,1279,714.0,-72.27417524994397,11.712734464953677
201,115.157,662,312,845,1090,714.0,-72.27316442938677,11.712734464953675
202,265.815,612,216,759,994,714.0,-72.27215360882956,11.712734464953678
203,258.208,532,91,644,869,714.0,-72.27114278827239,11.712734464953678
204,335.999,440,0,552,778,714.0,-72.27013196771517,11.712734464953677
205,278.495,357,83,469,694,714.0,-72.26912114715797,11.712734464953677
206,240.979,0,347,348,690,714.0,-72.26811032660078,11.712734464953677
207,271.633,89,258,259,608,714.0,-72.26709950604358,11.712734464953677
208,338.161,192,338,174,688,714.0,-72.26608868548637,11.712734464953675
