,POP_2015,active_living,community_space,education,food_choices,mobility,ID_HDC_G0,lng,lat
25,80.36,1826,121,1862,1239,1567,10360.0,99.60835931529772,21.302936005149853
26,134.892,1951,648,1879,1018,1692,10360.0,99.60940170714885,21.302936005149856
27,105.28,2026,723,1804,943,1742,10360.0,99.610444099,21.30293600514985
28,133.764,2106,713,1645,784,1583,10360.0,99.61148649085116,21.302936005149856
29,151.626,2231,838,1651,694,1589,10360.0,99.61252888270228,21.30293600514985
30,121.832,2385,992,1803,452,1741,10360.0,99.61357127455342,21.302936005149856
31,132.2,2305,912,1720,369,1658,10360.0,99.61461366640454,21.302936005149853
32,43.654,2613,1215,2002,0,1940,10360.0,99.61774084195798,21.30293600514985
33,93.748,1806,79,862,1276,2022,10360.0,99.59550182929296,21.302105078336254
34,122.814,1726,0,782,1196,1942,10360.0,99.59654421749366,21.302105078336254
35,160.066,1641,84,697,1111,1858,10360.0,99.59758660569435,21.302105078336247
36,113.283,1782,254,838,1252,1998,10360.0,99.59862899389505,21.302105078336254
37,0.364,1720,115,1756,1527,1478,10360.0,99.60592571129989,21.30210507833625
38,0.946,1720,115,1756,1527,1478,10360.0,99.60696809950056,21.302105078336254
39,55.441,1625,322,1661,1038,1366,10360.0,99.60801048770128,21.302105078336254
40,124.051,1928,625,1856,995,1669,10360.0,99.60905287590198,21.30210507833625
41,149.334,1954,652,1732,871,1670,10360.0,99.6100952641027,21.30210507833625
42,137.984,2032,639,1571,710,1509,10360.0,99.61113765230336,21.30210507833625
43,135.037,2133,740,1553,596,1491,10360.0,99.61218004050406,21.302105078336254
44,156.974,2075,682,1495,538,1433,10360.0,99.61322242870472,21.302105078336247
45,145.733,2228,835,1640,384,1578,10360.0,99.61426481690542,21.30210507833625
46,145.405,2192,798,1604,421,1542,10360.0,99.6153072051061,21.302105078336254
47,72.321,2306,912,1710,309,1648,10360.0,99.6163495933068,21.30210507833625
48,71.593,2306,912,1710,309,1648,10360.0,99.6173919815075,21.302105078336254
49,55.55,2425,1023,1810,192,1748,10360.0,99.61843436970821,21.30210507833625
50,77.159,1479,247,535,949,1695,10360.0,99.59723783162711,21.301274153311585
51,120.195,1529,296,584,998,1745,10360.0,99.59828021617751,21.30127415331158
52,45.837,1604,0,1640,1434,1362,10360.0,99.6066192925809,21.301274153311585
53,63.99,1625,322,1661,1038,1366,10360.0,99.60766167713133,21.30127415331158
54,99.204,1625,322,1661,1038,1366,10360.0,99.60870406168176,21.30127415331158
55,95.821,1824,521,1757,896,1565,10360.0,99.6097464462322,21.30127415331158
56,119.285,1868,565,1656,795,1594,10360.0,99.61078883078262,21.30127415331158
57,165.704,1944,551,1482,672,1420,10360.0,99.61183121533303,21.301274153311585
58,141.84,1993,600,1407,622,1345,10360.0,99.61287359988344,21.30127415331158
59,126.525,1953,560,1367,662,1305,10360.0,99.61391598443389,21.301274153311585
60,127.289,2150,757,1562,462,1500,10360.0,99.61495836898432,21.301274153311585
61,129.544,2060,666,1472,553,1410,10360.0,99.61600075353473,21.30127415331158
62,121.141,2259,865,1660,358,1598,10360.0,99.61704313808517,21.301274153311585
63,114.92,2364,971,1766,254,1704,10360.0,99.61808552263561,21.301274153311585
64,126.961,1437,303,493,907,1653,10360.0,99.59688907458408,21.300443230075764
65,150.535,1443,393,498,912,1659,10360.0,99.59793145548443,21.300443230075768
66,91.892,1394,441,450,864,1610,10360.0,99.59897383638474,21.300443230075768
67,84.908,1374,569,430,844,1590,10360.0,99.60001621728509,21.300443230075768
68,171.561,1447,157,1483,1276,1205,10360.0,99.60627050268708,21.300443230075768
69,58.715,1447,157,1483,1276,1205,10360.0,99.60731288358743,21.30044323007577
70,3.82,1793,490,1731,870,1533,10360.0,99.60939764538807,21.300443230075768
71,52.167,1868,565,1656,795,1594,10360.0,99.61044002628843,21.30044323007577
72,133.728,1879,486,1418,733,1356,10360.0,99.61148240718876,21.300443230075768
73,145.587,1818,425,1356,795,1294,10360.0,99.61252478808908,21.30044323007577
74,138.202,1886,493,1300,727,1238,10360.0,99.61356716898943,21.30044323007577
75,131.981,2060,666,1472,553,1410,10360.0,99.61460954988974,21.30044323007577
76,142.931,2085,639,1445,580,1383,10360.0,99.61565193079007,21.300443230075768
77,148.643,2308,810,1605,414,1543,10360.0,99.61669431169041,21.300443230075768
78,130.199,2265,759,1553,466,1491,10360.0,99.61773669259074,21.300443230075768
79,48.202,2321,815,1602,400,1540,10360.0,99.6187790734911,21.300443230075768
80,31.504,2321,815,1602,400,1540,10360.0,99.61982145439141,21.30044323007577
81,81.124,1474,467,529,943,1690,10360.0,99.59654033456486,21.299612308628728
82,122.814,1294,431,350,764,1511,10360.0,99.59758271181525,21.299612308628724
83,148.934,1319,501,375,789,1535,10360.0,99.59862508906566,21.299612308628724
84,87.672,1374,569,430,844,1590,10360.0,99.59966746631609,21.299612308628724
85,35.214,1447,157,1483,1276,1205,10360.0,99.60592172981862,21.299612308628728
86,22.737,1447,157,1483,1276,1205,10360.0,99.60696410706905,21.299612308628724
87,19.717,1333,270,1369,1163,1092,10360.0,99.60800648431946,21.299612308628724
88,85.599,1598,247,1302,1015,1240,10360.0,99.61113361607072,21.299612308628728
89,123.469,1745,352,1283,868,1221,10360.0,99.61217599332116,21.299612308628724
90,121.795,1853,359,1228,861,1166,10360.0,99.61321837057159,21.299612308628724
91,116.812,1868,362,1168,857,1106,10360.0,99.61426074782196,21.299612308628724
92,160.284,2067,561,1367,658,1305,10360.0,99.61530312507243,21.299612308628724
93,135.183,1992,486,1292,734,1230,10360.0,99.61634550232283,21.299612308628728
94,127.216,2190,684,1478,541,1416,10360.0,99.61738787957323,21.299612308628724
95,126.306,2321,815,1602,400,1540,10360.0,99.61843025682366,21.299612308628724
96,40.926,2238,732,1519,483,1457,10360.0,99.61947263407407,21.299612308628724
97,109.027,1483,555,559,973,1719,10360.0,99.59619161156887,21.29878138897037
98,156.355,1418,560,474,887,1634,10360.0,99.59723398516955,21.298781388970372
99,130.708,1287,510,343,757,1504,10360.0,99.5982763587702,21.29878138897037
100,100.187,1079,581,135,549,1295,10360.0,99.59931873237093,21.29878138897037
101,86.654,1079,581,135,549,1295,10360.0,99.60036110597159,21.298781388970372
102,73.412,1245,359,1281,1074,1081,10360.0,99.60661534757574,21.29878138897037
103,122.778,1299,314,1335,1129,1048,10360.0,99.60765772117642,21.298781388970376
104,134.601,1584,261,1316,1029,1254,10360.0,99.61078484197844,21.298781388970372
105,152.244,1794,302,1234,917,1172,10360.0,99.61182721557914,21.29878138897037
106,120.195,1678,172,1103,1047,1041,10360.0,99.61286958917984,21.298781388970372
107,141.549,1793,287,1093,932,1031,10360.0,99.6139119627805,21.298781388970372
108,126.088,1992,486,1292,734,1230,10360.0,99.61495433638122,21.29878138897037
109,133.291,1992,486,1292,734,1230,10360.0,99.6159967099819,21.298781388970372
110,85.635,1899,393,1180,822,1118,10360.0,99.61703908358257,21.298781388970372
111,66.355,2097,591,1378,624,1316,10360.0,99.61808145718328,21.298781388970372
112,97.786,2364,857,1426,608,1364,10360.0,99.61912383078396,21.298781388970372
113,121.868,2414,908,1477,659,1415,10360.0,99.62016620438465,21.29878138897037
114,85.999,2465,959,1528,710,1466,10360.0,99.62120857798533,21.298781388970376
115,153.081,1461,668,517,931,1677,10360.0,99.5968852755468,21.29795047110061
116,110.773,1397,618,453,867,1614,10360.0,99.5979276454979,21.29795047110061
117,104.115,1062,598,152,566,1313,10360.0,99.59897001544904,21.297950471100613
118,99.459,1079,581,135,549,1295,10360.0,99.60001238540018,21.29795047110061
