,POP_2015,community_space,education,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
39,210.448,2402,250,1908,3134,2230,8533.0,79.1957592168786,11.975311877856068
40,130.661,2347,203,1853,3079,2174,8533.0,79.19677063759488,11.975311877856068
41,161.468,2177,334,1684,2909,2005,8533.0,79.19778205831118,11.975311877856067
42,148.88,2102,430,1608,2833,1929,8533.0,79.19879347902747,11.975311877856068
43,31.612,2114,462,1620,2845,1941,8533.0,79.19980489974377,11.97531187785607
44,46.614,1703,809,1209,2434,1530,8533.0,79.20182774117634,11.97531187785607
45,13.535,1703,809,1209,2434,1530,8533.0,79.20283916189264,11.975311877856067
46,77.895,1552,0,0,0,2538,8533.0,79.22306757621851,11.975311877856068
47,11.594,2439,356,1945,3171,2266,8533.0,79.1956115398879,11.97449627008656
48,34.452,2279,233,1785,3011,2106,8533.0,79.19662295871821,11.974496270086558
49,10.79,2279,233,1785,3011,2106,8533.0,79.19763437754848,11.974496270086556
50,44.011,2177,334,1684,2909,2005,8533.0,79.19864579637878,11.974496270086558
51,142.586,1552,0,0,0,2538,8533.0,79.22291984830572,11.97449627008656
52,35.966,0,811,664,1552,985,8533.0,79.21135118465206,11.97204945242739
53,10.979,0,811,664,1552,985,8533.0,79.21236259782518,11.972049452427392
54,74.819,622,275,128,2253,449,8533.0,79.2061464643663,11.971233848423898
55,74.629,622,275,128,2253,449,8533.0,79.20715787565396,11.971233848423898
56,134.92,517,294,147,2070,468,8533.0,79.2081692869416,11.971233848423894
57,150.631,340,471,324,1892,645,8533.0,79.20918069822925,11.971233848423896
58,148.312,207,603,456,1760,777,8533.0,79.21019210951691,11.971233848423894
59,72.878,0,811,664,1552,985,8533.0,79.21120352080457,11.971233848423896
60,82.627,0,811,664,1552,985,8533.0,79.21221493209224,11.971233848423896
61,126.496,154,533,190,2604,448,8533.0,79.20296459256772,11.970418245361737
62,89.016,154,533,190,2604,448,8533.0,79.20397600197005,11.970418245361737
63,150.111,549,202,55,2180,376,8533.0,79.20599882077475,11.970418245361737
64,176.375,540,193,46,2180,367,8533.0,79.20701023017709,11.970418245361735
65,266.716,547,269,122,2100,443,8533.0,79.20802163957944,11.970418245361737
66,212.578,340,471,324,1892,645,8533.0,79.20903304898177,11.970418245361737
67,171.738,207,603,456,1760,777,8533.0,79.2100444583841,11.970418245361735
68,140.125,122,698,551,1674,872,8533.0,79.21105586778646,11.970418245361737
69,113.435,127,712,565,1679,886,8533.0,79.21206727718881,11.970418245361737
70,111.353,154,533,190,2604,448,8533.0,79.20281696546022,11.969602643240846
71,94.221,154,533,190,2604,448,8533.0,79.20382837297738,11.969602643240846
72,143.864,493,147,0,2217,321,8533.0,79.20686259552888,11.969602643240846
73,147.886,577,244,97,2129,418,8533.0,79.20787400304603,11.969602643240844
74,165.822,428,427,280,1981,601,8533.0,79.20888541056321,11.969602643240846
75,132.317,299,557,410,1852,731,8533.0,79.20989681808037,11.969602643240844
76,154.512,257,600,453,1809,774,8533.0,79.21090822559755,11.969602643240846
77,163.929,214,643,496,1766,817,8533.0,79.2119196331147,11.969602643240846
78,129.714,0,389,35,2758,293,8533.0,79.20266934918062,11.968787042061145
79,185.935,35,425,0,2794,258,8533.0,79.20368075481275,11.968787042061148
80,57.289,346,0,0,2364,174,8533.0,79.20570356607699,11.968787042061148
81,123.42,346,0,0,2364,174,8533.0,79.20671497170913,11.968787042061148
82,167.005,532,185,185,2550,359,8533.0,79.20772637734126,11.968787042061148
83,200.7,653,306,306,2670,480,8533.0,79.20873778297337,11.968787042061148
84,224.267,0,389,35,2758,293,8533.0,79.20252174372874,11.96797144182258
85,145.52,35,425,0,2794,258,8533.0,79.20353314747598,11.967971441822579
86,164.686,172,174,16,2538,0,8533.0,79.20555595497044,11.96797144182258
87,205.621,469,123,123,2487,297,8533.0,79.20656735871766,11.96797144182258
88,183.71,469,123,123,2487,297,8533.0,79.2075787624649,11.967971441822579
89,156.357,610,263,263,2628,437,8533.0,79.20859016621215,11.967971441822579
90,88.401,771,424,424,2789,598,8533.0,79.20960156995936,11.967971441822579
91,13.014,807,494,494,2858,668,8533.0,79.21061297370659,11.967971441822579
92,152.004,0,668,314,3037,573,8533.0,79.20136274724199,11.967155842525077
93,129.43,146,540,183,2911,436,8533.0,79.20237414910446,11.967155842525075
94,204.154,177,575,215,2948,462,8533.0,79.20338555096693,11.967155842525077
95,197.529,146,200,10,2564,26,8533.0,79.20540835469188,11.967155842525075
96,178.316,386,460,41,2824,0,8533.0,79.20641975655435,11.967155842525075
97,204.817,407,482,63,2846,21,8533.0,79.20743115841682,11.967155842525077
98,202.356,565,316,316,2680,490,8533.0,79.20844256027928,11.967155842525074
99,222.043,699,375,375,2740,549,8533.0,79.20945396214177,11.967155842525077
100,82.958,782,469,469,2834,643,8533.0,79.21046536400424,11.967155842525075
101,129.807,172,0,305,3148,683,8533.0,79.20020376535187,11.966340244168565
102,203.492,261,498,55,3108,622,8533.0,79.20121516532971,11.966340244168567
103,138.28,166,515,150,3013,528,8533.0,79.20222656530754,11.966340244168567
104,214.707,177,575,215,2948,462,8533.0,79.2032379652854,11.966340244168567
105,197.008,3,350,3,2714,176,8533.0,79.20526076524109,11.966340244168567
106,203.444,298,372,45,2737,87,8533.0,79.20627216521895,11.966340244168567
107,174.388,397,425,193,2789,235,8533.0,79.2072835651968,11.966340244168567
108,191.897,413,468,350,2833,392,8533.0,79.20829496517464,11.966340244168565
109,187.307,629,451,451,2815,602,8533.0,79.2093063651525,11.966340244168567
110,98.386,706,584,584,2948,684,8533.0,79.21031776513034,11.966340244168569
111,137.996,172,0,305,3148,683,8533.0,79.20005619615115,11.96552464675298
112,227.201,206,379,63,3227,741,8533.0,79.20106759424452,11.96552464675298
113,182.054,245,443,126,3092,606,8533.0,79.20207899233786,11.96552464675298
114,199.233,188,489,128,3034,549,8533.0,79.20309039043123,11.965524646752979
115,187.402,201,548,71,2912,374,8533.0,79.20410178852461,11.96552464675298
116,201.977,129,476,0,2840,302,8533.0,79.20511318661796,11.965524646752979
117,41.361,153,500,153,2865,314,8533.0,79.20612458471133,11.965524646752979
118,144.337,235,518,191,2882,232,8533.0,79.2071359828047,11.965524646752979
119,193.033,394,549,331,2913,373,8533.0,79.20814738089805,11.96552464675298
120,239.505,545,564,482,2929,524,8533.0,79.20915877899142,11.96552464675298
