,POP_2015,education,food_choices,health_wellbeing,ID_HDC_G0,lng,lat
156,46.35,684,465,428,4252.0,30.699513267084733,3.1341701889044367
157,51.795,722,495,606,4252.0,30.700511966258986,3.134170188904436
158,53.092,722,495,606,4252.0,30.701510665433247,3.134170188904438
159,46.635,481,270,826,4252.0,30.702509364607508,3.134170188904436
160,14.365,366,385,711,4252.0,30.703508063781758,3.134170188904436
161,0.259,333,518,679,4252.0,30.70450676295602,3.1341701889044367
162,25.385,1045,1138,540,4252.0,30.69450512907492,3.133360957163743
163,46.907,975,1041,483,4252.0,30.69550382777277,3.133360957163743
164,57.798,820,886,467,4252.0,30.696502526470617,3.1333609571637426
165,54.894,708,774,345,4252.0,30.697501225168466,3.133360957163743
166,40.93,729,586,301,4252.0,30.698499923866315,3.133360957163743
167,45.248,795,505,395,4252.0,30.699498622564168,3.1333609571637426
168,44.301,756,572,528,4252.0,30.700497321262024,3.133360957163743
169,37.702,643,449,694,4252.0,30.701496019959865,3.133360957163742
170,37.534,563,445,726,4252.0,30.702494718657714,3.1333609571637426
171,2.386,263,488,609,4252.0,30.70349341735557,3.133360957163743
172,4.032,257,494,602,4252.0,30.70449211605342,3.1333609571637426
173,0.0,184,1112,779,4252.0,30.709485609542664,3.133360957163742
174,0.0,184,1112,779,4252.0,30.710484308240517,3.1333609571637426
175,0.648,0,1296,594,4252.0,30.71148300693837,3.1333609571637426
176,36.263,1238,1303,491,4252.0,30.693491792515363,3.1325517256627413
177,38.48,1132,1198,392,4252.0,30.69449049073692,3.132551725662741
178,58.731,1020,1085,432,4252.0,30.695489188958486,3.1325517256627404
179,47.011,950,1013,295,4252.0,30.696487887180055,3.1325517256627404
180,59.483,708,774,345,4252.0,30.69748658540162,3.132551725662741
181,32.451,794,693,194,4252.0,30.69848528362319,3.132551725662741
182,42.862,694,648,251,4252.0,30.699483981844757,3.132551725662741
183,42.992,746,582,518,4252.0,30.700482680066322,3.132551725662741
184,44.159,643,449,694,4252.0,30.70148137828789,3.1325517256627404
185,28.328,643,449,694,4252.0,30.70248007650946,3.1325517256627413
186,0.026,184,1112,779,4252.0,30.70947096406042,3.132551725662741
187,0.0,184,1112,779,4252.0,30.710469662281994,3.132551725662741
188,0.0,0,1296,594,4252.0,30.71146836050356,3.132551725662741
189,1.919,1631,1909,646,4252.0,30.68948236747242,3.13174249440137
190,45.572,1533,1811,548,4252.0,30.69048106521783,3.1317424944013696
191,8.622,1387,1453,428,4252.0,30.692478460708635,3.13174249440137
192,43.886,1318,1384,395,4252.0,30.69347715845404,3.1317424944013696
193,45.196,1220,1286,302,4252.0,30.694475856199446,3.1317424944013696
194,47.115,1147,1201,191,4252.0,30.695474553944855,3.13174249440137
195,60.676,950,1013,295,4252.0,30.696473251690264,3.13174249440137
196,47.543,860,919,201,4252.0,30.69747194943567,3.1317424944013696
197,38.312,861,802,85,4252.0,30.69847064718107,3.13174249440137
198,54.816,694,648,251,4252.0,30.699469344926484,3.13174249440137
199,38.324,584,744,356,4252.0,30.700468042671893,3.131742494401369
200,27.927,465,863,399,4252.0,30.7014667404173,3.13174249440137
201,37.702,346,982,296,4252.0,30.702465438162704,3.131742494401369
202,22.313,273,1025,224,4252.0,30.70346413590811,3.1317424944013696
203,9.542,0,751,345,4252.0,30.704462833653515,3.13174249440137
204,9.413,0,751,345,4252.0,30.705461531398925,3.1317424944013696
205,13.898,1631,1909,646,4252.0,30.68946773911563,3.130933263379567
206,32.996,1533,1811,548,4252.0,30.690466436385,3.130933263379567
207,18.514,1403,1681,418,4252.0,30.691465133654376,3.1309332633795672
208,13.989,1294,1572,309,4252.0,30.692463830923742,3.1309332633795663
209,44.444,1256,1322,338,4252.0,30.693462528193116,3.1309332633795672
210,46.454,1185,1251,267,4252.0,30.694461225462483,3.130933263379567
211,59.73,1147,1201,191,4252.0,30.695459922731857,3.1309332633795663
212,52.327,1046,1100,212,4252.0,30.696458620001227,3.1309332633795672
213,36.172,954,1005,117,4252.0,30.697457317270594,3.130933263379567
214,37.365,923,882,5,4252.0,30.69845601453996,3.1309332633795663
215,47.283,811,801,123,4252.0,30.699454711809338,3.130933263379567
216,45.948,720,886,214,4252.0,30.700453409078715,3.1309332633795672
217,40.477,426,902,367,4252.0,30.70145210634808,3.130933263379567
218,45.442,346,982,296,4252.0,30.702450803617452,3.1309332633795672
219,44.366,237,989,190,4252.0,30.703449500886823,3.130933263379567
220,32.166,123,875,225,4252.0,30.704448198156186,3.1309332633795663
221,44.924,56,808,295,4252.0,30.705446895425556,3.1309332633795672
222,19.772,1294,1572,309,4252.0,30.69244920493909,3.1301240325972683
223,51.899,1171,1534,186,4252.0,30.693447901732554,3.130124032597268
224,41.216,1079,1444,94,4252.0,30.694446598526014,3.130124032597269
225,54.803,984,1376,0,4252.0,30.695445295319466,3.130124032597269
226,54.427,912,1294,81,4252.0,30.69644399211292,3.1301240325972675
227,44.133,736,915,238,4252.0,30.69844138569984,3.130124032597269
228,54.194,736,915,238,4252.0,30.69944008249329,3.130124032597269
229,36.73,640,961,294,4252.0,30.700438779286756,3.1301240325972683
230,48.774,565,1041,228,4252.0,30.70143747608021,3.130124032597269
231,42.512,454,1143,109,4252.0,30.702436172873675,3.1301240325972683
232,56.851,345,1097,0,4252.0,30.703434869667124,3.130124032597269
233,48.243,159,911,209,4252.0,30.704433566460587,3.130124032597269
234,40.347,165,917,308,4252.0,30.705432263254043,3.1301240325972683
235,47.076,270,1022,412,4252.0,30.706430960047502,3.130124032597269
236,59.393,373,1125,516,4252.0,30.707429656840958,3.130124032597269
237,32.685,446,1198,587,4252.0,30.708428353634417,3.1301240325972675
238,20.122,490,1418,908,4252.0,30.70942705042787,3.130124032597268
239,28.821,553,1481,971,4252.0,30.710425747221333,3.1301240325972675
240,30.934,629,1557,1036,4252.0,30.711424444014792,3.130124032597269
241,27.421,1145,1509,161,4252.0,30.693433279072334,3.129314802054414
242,39.128,1079,1444,94,4252.0,30.694431975390003,3.129314802054414
243,51.484,948,1335,40,4252.0,30.69543067170767,3.1293148020544135
244,44.262,813,1211,180,4252.0,30.696429368025345,3.1293148020544144
245,41.28,699,1110,222,4252.0,30.69742806434301,3.129314802054414
246,49.526,736,915,238,4252.0,30.698426760660677,3.129314802054414
