,POP_2015,active_living,education,health_wellbeing,mobility,ID_HDC_G0,lng,lat
221,14.458,2677,3975,2865,3657,6586.0,74.27925386623419,29.63288030687265
222,4.346,2677,3975,2865,3657,6586.0,74.28034211925213,29.63288030687265
223,39.847,3181,3789,2707,2968,6586.0,74.28469513132389,29.632880306872647
224,2.018,3169,3777,2676,2937,6586.0,74.28578338434185,29.632880306872654
225,16.475,3383,3450,2474,3131,6586.0,74.28904814339568,29.63288030687265
226,2.284,3383,3450,2474,3131,6586.0,74.29013639641363,29.63288030687265
227,2.262,3494,3254,2213,3243,6586.0,74.29122464943157,29.632880306872647
228,50.69,3465,3297,2123,3208,6586.0,74.29231290244952,29.632880306872654
229,59.515,3606,3121,1935,3342,6586.0,74.29340115546746,29.63288030687265
230,79.339,3505,3196,1834,3240,6586.0,74.29448940848539,29.63288030687265
231,87.81,3444,3136,1734,3140,6586.0,74.29557766150333,29.63288030687265
232,95.371,3460,3026,1750,3156,6586.0,74.29666591452128,29.63288030687265
233,90.071,3431,2944,1721,3127,6586.0,74.29775416753922,29.632880306872654
234,78.563,3518,2926,1777,3183,6586.0,74.29884242055718,29.632880306872654
235,122.601,3606,2838,1809,3215,6586.0,74.2999306735751,29.632880306872647
236,105.017,3640,2570,1818,3224,6586.0,74.30101892659304,29.63288030687265
237,85.038,3693,2463,1870,3276,6586.0,74.30210717961099,29.63288030687265
238,70.824,3765,2276,1942,3348,6586.0,74.30319543262893,29.63288030687265
239,80.027,3755,2287,1899,3315,6586.0,74.3042836856469,29.632880306872654
240,67.432,3899,2142,1993,3445,6586.0,74.30537193866485,29.63288030687265
241,76.634,4173,1978,1890,3485,6586.0,74.30646019168277,29.632880306872654
242,87.61,4153,1869,1782,3424,6586.0,74.30754844470071,29.63288030687265
243,75.747,4269,1753,1666,3540,6586.0,74.30863669771865,29.632880306872647
244,30.711,4458,1607,1519,3542,6586.0,74.3097249507366,29.63288030687265
245,27.496,4560,1462,1375,3601,6586.0,74.31081320375452,29.63288030687265
246,31.909,4792,1414,1327,3748,6586.0,74.31190145677249,29.632880306872647
247,11.264,4747,1369,1282,3703,6586.0,74.31298970979041,29.632880306872647
248,18.582,4930,1222,1135,3886,6586.0,74.31407796280838,29.632880306872654
249,34.436,5000,682,779,3969,6586.0,74.31734272186222,29.63288030687265
250,0.288,5000,682,779,3969,6586.0,74.31843097488014,29.63288030687265
251,49.67,2644,4620,2765,4189,6586.0,74.27450982207826,29.6320272035685
252,4.856,3126,3628,2568,2875,6586.0,74.28865703683087,29.632027203568494
253,46.898,3298,3450,2390,3047,6586.0,74.28974528411952,29.632027203568494
254,58.163,3248,3508,2272,2997,6586.0,74.29083353140817,29.632027203568498
255,75.237,3330,3434,2106,3079,6586.0,74.29192177869685,29.632027203568494
256,92.045,3339,3389,2001,3082,6586.0,74.29301002598551,29.63202720356849
257,74.106,3457,3270,1827,3193,6586.0,74.29409827327417,29.632027203568498
258,109.718,3376,3286,1737,3113,6586.0,74.29518652056282,29.632027203568498
