,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
90,505.761,2416,1221,829,1396,1378,207,1878.0,-0.783115661878632,35.75183012278878
91,479.326,2315,1162,727,1294,1276,178,1878.0,-0.7819798886199247,35.751830122788775
92,389.266,2155,1083,568,1135,1117,195,1878.0,-0.7808441153612175,35.75183012278878
93,364.257,1997,938,409,976,959,339,1878.0,-0.7797083421025104,35.751830122788775
94,361.924,1997,938,409,976,959,339,1878.0,-0.7785725688438031,35.75183012278878
95,175.196,2605,1313,1083,1499,1632,510,1878.0,-0.7853818185760195,35.75095464141387
96,284.434,2480,1188,958,1516,1507,502,1878.0,-0.7842460531117011,35.75095464141386
97,275.104,2377,1084,842,1404,1391,473,1878.0,-0.7831102876473829,35.75095464141386
98,428.27,2267,986,728,1289,1277,359,1878.0,-0.7819745221830648,35.75095464141387
99,417.126,2111,1028,523,1090,1072,374,1878.0,-0.7808387567187466,35.75095464141387
100,157.702,2081,1011,494,1061,1043,384,1878.0,-0.7797029912544284,35.75095464141387
101,368.403,1843,784,173,822,805,629,1878.0,-0.7785672257901104,35.75095464141387
102,336.915,1775,715,187,754,736,561,1878.0,-0.777431460325792,35.75095464141386
103,287.025,1723,731,384,770,685,660,1878.0,-0.776295694861474,35.75095464141387
104,126.084,1688,731,384,770,649,665,1878.0,-0.775159929397156,35.75095464141387
105,336.915,2342,1050,838,1378,1387,470,1878.0,-0.7831049136514882,35.75007916366159
106,415.442,2190,897,683,1226,1232,466,1878.0,-0.7819691559812175,35.75007916366158
107,72.307,2182,889,663,1218,1212,448,1878.0,-0.7808333983109472,35.75007916366159
108,278.214,1972,912,80,951,933,758,1878.0,-0.7796976406406767,35.75007916366159
109,251.779,1950,891,73,930,912,737,1878.0,-0.7785618829704065,35.750079163661596
110,109.627,1829,770,160,809,791,616,1878.0,-0.7774261253001359,35.75007916366159
111,293.116,1684,667,320,706,646,694,1878.0,-0.7762903676298653,35.750079163661596
112,441.358,1551,828,481,639,513,830,1878.0,-0.775154609959595,35.750079163661596
113,315.922,1551,850,502,639,513,801,1878.0,-0.7740188522893244,35.75007916366159
114,329.917,2235,943,876,1271,1346,651,1878.0,-0.7830995398909358,35.74920368953182
115,226.769,2054,761,791,1090,1165,576,1878.0,-0.7819637900143716,35.74920368953181
116,178.435,2018,959,55,997,980,804,1878.0,-0.7796922902612435,35.74920368953182
117,228.195,1962,903,0,942,924,749,1878.0,-0.7785565403846793,35.74920368953182
118,195.799,1612,553,349,592,574,724,1878.0,-0.7762850406315511,35.74920368953182
119,336.526,1526,467,436,505,488,810,1878.0,-0.775149290754987,35.74920368953182
120,454.316,1446,595,547,480,408,898,1878.0,-0.774013540878423,35.74920368953182
121,428.918,1319,675,706,407,281,1033,1878.0,-0.7728777910018589,35.74920368953182
122,271.994,1262,618,763,350,223,1091,1878.0,-0.7717420411252948,35.74920368953182
123,99.519,1246,704,691,436,310,1271,1878.0,-0.7706062912487309,35.74920368953182
124,590.508,2158,865,926,1194,1269,708,1878.0,-0.7830941663657143,35.748328219024394
125,414.275,2079,787,893,1115,1190,678,1878.0,-0.7819584242825153,35.748328219024394
126,356.222,1927,634,945,963,1038,790,1878.0,-0.7808226821993162,35.748328219024394
127,135.543,1804,511,822,840,915,913,1878.0,-0.7796869401161172,35.748328219024394
128,90.837,1744,451,762,780,855,973,1878.0,-0.7785511980329181,35.748328219024394
129,164.57,1635,342,653,671,746,1010,1878.0,-0.7774154559497194,35.748328219024394
130,475.309,1409,324,592,367,385,966,1878.0,-0.7740082297001223,35.748328219024394
131,392.376,1319,675,706,407,281,1033,1878.0,-0.7728724876169234,35.748328219024394
132,337.692,1238,595,759,327,200,1114,1878.0,-0.7717367455337242,35.748328219024394
133,405.723,1246,704,691,436,310,1271,1878.0,-0.7706010034505251,35.748328219024394
134,199.946,1110,776,555,508,382,1343,1878.0,-0.7694652613673262,35.748328219024394
135,0.0,1056,831,501,563,436,1397,1878.0,-0.7683295192841273,35.748328219024394
136,413.887,2180,887,1032,1149,1291,818,1878.0,-0.7830887930758121,35.747452752139175
137,657.372,2001,708,1019,1026,1112,862,1878.0,-0.781953058785637,35.747452752139175
138,698.32,1927,634,945,963,1038,824,1878.0,-0.7808173244954618,35.74745275213917
139,673.57,1767,483,794,812,887,971,1878.0,-0.7796815902052867,35.747452752139175
140,478.937,1748,455,766,784,859,1059,1878.0,-0.7785458559151114,35.747452752139175
141,457.167,1585,292,666,621,696,1031,1878.0,-0.7774101216249361,35.74745275213917
