,POP_2015,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
290,115.869,5000,1680,274,1924,6591.0,75.66017510489117,32.280858945878215
291,115.608,5000,1632,289,1876,6591.0,75.66128229185993,32.280858945878215
292,123.998,5000,1773,430,2017,6591.0,75.6623894788287,32.280858945878215
293,66.858,5000,2090,640,2334,6591.0,75.66349666579747,32.280858945878215
294,122.799,5000,2066,616,2310,6591.0,75.66460385276626,32.280858945878215
295,171.054,5000,2134,684,2378,6591.0,75.66571103973504,32.280858945878215
296,115.035,5000,2321,871,2565,6591.0,75.66681822670381,32.280858945878215
297,92.523,5000,2388,937,2631,6591.0,75.66792541367258,32.28085894587821
298,1.85,5000,2557,1107,2801,6591.0,75.66903260064136,32.2808589458782
299,5.472,5000,2557,1107,2801,6591.0,75.67013978761014,32.280858945878215
300,103.649,4260,2321,882,1836,6591.0,75.63204792987396,32.27999685532193
301,158.834,4388,2217,754,1816,6591.0,75.63315511029174,32.27999685532193
302,115.374,4447,2134,757,1649,6591.0,75.63426229070954,32.27999685532193
303,150.991,4637,1968,505,1566,6591.0,75.63536947112733,32.27999685532193
304,146.848,4709,1952,489,1645,6591.0,75.63647665154514,32.27999685532193
305,125.014,4831,1777,314,1720,6591.0,75.63758383196297,32.27999685532194
306,94.972,4918,1686,244,1754,6591.0,75.63869101238075,32.27999685532194
307,120.975,5000,1578,136,1756,6591.0,75.63979819279854,32.27999685532193
308,154.821,5000,1486,44,1799,6591.0,75.64090537321634,32.279996855321926
309,100.131,5000,1364,101,1742,6591.0,75.64201255363412,32.27999685532194
310,111.648,5000,1278,163,1656,6591.0,75.64311973405192,32.279996855321926
311,39.735,5000,1562,300,1940,6591.0,75.64422691446973,32.27999685532193
