,POP_2015,community_space,education,health_wellbeing,mobility,ID_HDC_G0,lng,lat
85,94.247,383,475,3010,976,12105.0,116.23643124197436,28.377466908307277
86,95.245,383,475,3010,976,12105.0,116.2375113104679,28.37746690830728
87,108.171,293,334,2870,764,12105.0,116.23859137896144,28.377466908307277
88,51.946,270,296,2818,726,12105.0,116.23967144745502,28.37746690830728
89,69.749,601,380,2403,392,12105.0,116.24291165293567,28.377466908307284
90,107.306,601,380,2403,392,12105.0,116.24399172142921,28.377466908307284
91,89.148,818,319,2145,458,12105.0,116.24507178992279,28.37746690830728
92,95.644,818,319,2145,458,12105.0,116.24615185841631,28.37746690830728
93,97.152,1034,534,1929,674,12105.0,116.24723192690989,28.377466908307277
94,96.775,1034,534,1929,674,12105.0,116.24831199540344,28.377466908307277
95,91.254,1231,731,1732,872,12105.0,116.24939206389698,28.37746690830728
96,86.244,1319,900,1563,960,12105.0,116.25047213239054,28.37746690830728
97,78.11,1319,900,1563,960,12105.0,116.2515522008841,28.377466908307277
98,28.318,1306,1020,1443,1070,12105.0,116.25263226937764,28.37746690830728
99,59.307,491,916,199,2152,12105.0,116.26343295431317,28.37746690830728
100,59.905,491,916,199,2152,12105.0,116.26451302280674,28.37746690830728
101,80.812,499,924,208,2446,12105.0,116.26559309130029,28.37746690830728
102,66.889,499,924,208,2446,12105.0,116.26667315979384,28.377466908307284
103,5.892,410,836,456,2694,12105.0,116.26883329678095,28.37746690830728
104,97.861,818,319,2145,458,12105.0,116.24449366299918,28.376617719790694
105,79.615,818,319,2145,458,12105.0,116.24557372612118,28.376617719790683
106,80.48,1034,534,1929,674,12105.0,116.24665378924314,28.376617719790687
107,93.228,1034,534,1929,674,12105.0,116.24773385236516,28.376617719790687
108,103.493,1194,775,1689,835,12105.0,116.24881391548716,28.376617719790683
109,107.173,1138,755,1715,779,12105.0,116.24989397860918,28.376617719790687
110,104.513,1319,900,1563,960,12105.0,116.2509740417312,28.376617719790687
111,47.268,1306,1020,1443,1070,12105.0,116.25205410485317,28.376617719790687
112,87.552,484,843,326,1960,12105.0,116.26177467295113,28.37661771979068
113,99.701,484,843,326,1960,12105.0,116.26285473607317,28.376617719790683
114,64.916,291,716,0,2287,12105.0,116.26501486231717,28.376617719790683
115,76.954,408,833,454,2692,12105.0,116.26825505168318,28.376617719790683
116,34.719,405,830,451,2689,12105.0,116.26933511480517,28.376617719790683
117,84.027,1080,813,1657,721,12105.0,116.24931585019547,28.3757685338494
118,104.934,1205,937,1533,845,12105.0,116.25039590794616,28.3757685338494
119,102.34,1275,938,1411,966,12105.0,116.25147596569684,28.375768533849403
120,63.563,1275,938,1411,966,12105.0,116.25255602344751,28.375768533849403
121,68.108,1073,871,1210,1167,12105.0,116.25363608119821,28.3757685338494
122,72.964,977,774,1114,1253,12105.0,116.25471613894891,28.375768533849403
123,79.637,960,758,1097,1270,12105.0,116.25579619669956,28.375768533849403
124,69.053,664,462,801,1485,12105.0,116.25795631220093,28.375768533849403
125,65.111,635,492,772,1515,12105.0,116.25903636995162,28.375768533849403
126,89.725,408,661,509,1778,12105.0,116.26119648545298,28.3757685338494
127,105.843,299,710,141,2145,12105.0,116.26335660095432,28.375768533849403
128,98.881,299,710,141,2145,12105.0,116.26443665870504,28.375768533849396
129,10.997,743,1168,789,3027,12105.0,116.27199706295978,28.3757685338494
130,63.585,30,648,2677,389,12105.0,116.23901727573212,28.374919350483324
131,69.948,13,647,2660,373,12105.0,116.24009732811173,28.37491935048332
132,101.298,359,773,2287,0,12105.0,116.24333748525052,28.374919350483324
133,96.287,359,773,2287,0,12105.0,116.24441753763013,28.374919350483324
134,43.787,517,619,2128,158,12105.0,116.24549759000973,28.374919350483317
135,99.325,936,958,1710,576,12105.0,116.24981779952815,28.374919350483324
136,86.216,1059,912,1586,700,12105.0,116.25089785190771,28.37491935048332
137,79.548,1179,792,1467,820,12105.0,116.25197790428732,28.374919350483324
138,92.851,1179,792,1467,820,12105.0,116.25305795666691,28.37491935048332
139,88.195,924,709,1185,1102,12105.0,116.25521806142609,28.37491935048332
140,98.238,608,394,870,1417,12105.0,116.2573781661853,28.37491935048332
141,113.004,608,394,870,1417,12105.0,116.25845821856491,28.374919350483324
142,90.922,378,630,540,1772,12105.0,116.26061832332408,28.37491935048332
143,88.66,378,630,540,1772,12105.0,116.26169837570372,28.374919350483324
144,96.93,299,710,141,2145,12105.0,116.2627784280833,28.374919350483324
145,106.175,299,710,141,2145,12105.0,116.26385848046289,28.37491935048332
