,POP_2015,active_living,education,mobility,ID_HDC_G0,lng,lat
47,117.696,2737,298,1617,12362.0,119.7175056826502,30.246976158260665
48,48.77,3427,751,836,12362.0,119.7251527458625,30.24697615826067
49,28.18,3618,679,644,12362.0,119.72624518346426,30.24697615826067
50,2.557,3692,769,571,12362.0,119.72733762106604,30.246976158260665
51,26.765,3698,775,569,12362.0,119.72843005866778,30.24697615826067
52,24.914,4259,1319,0,12362.0,119.7327998090748,30.246976158260665
53,16.076,4270,1333,0,12362.0,119.73389224667659,30.24697615826067
54,4.298,1317,3121,2898,12362.0,119.68954708008667,30.24612106042592
55,0.0,1186,2989,2766,12362.0,119.69063951177709,30.246121060425924
56,8.595,1186,2989,2766,12362.0,119.69173194346747,30.246121060425917
57,92.729,674,2361,2129,12362.0,119.70156382868115,30.24612106042592
58,94.527,678,2358,2133,12362.0,119.70265626037157,30.246121060425917
59,97.649,1595,1440,2146,12362.0,119.70811841882356,30.246121060425917
60,82.907,1595,1440,2146,12362.0,119.70921085051397,30.24612106042592
61,113.29,2031,1216,2293,12362.0,119.7113957138948,30.24612106042592
62,97.785,2031,1216,2293,12362.0,119.7124881455852,30.24612106042592
63,121.504,2168,1111,2203,12362.0,119.7135805772756,30.246121060425917
64,133.2,2256,991,2083,12362.0,119.71467300896599,30.24612106042592
65,111.984,2567,468,1788,12362.0,119.71576544065643,30.24612106042592
66,112.8,2881,451,1666,12362.0,119.7179503040372,30.246121060425917
67,96.262,2855,477,1640,12362.0,119.71904273572763,30.24612106042592
68,1.496,3453,780,859,12362.0,119.72450489417966,30.24612106042592
69,11.642,3458,785,854,12362.0,119.72559732587005,30.24612106042592
70,38.271,3568,895,964,12362.0,119.72668975756045,30.246121060425917
71,14.634,1317,3121,2898,12362.0,119.68889944571485,30.24526596540542
72,0.109,1186,2989,2766,12362.0,119.68999187149417,30.245265965405423
73,0.0,1186,2989,2766,12362.0,119.69108429727349,30.245265965405423
74,14.579,200,2003,1780,12362.0,119.69654642617006,30.24526596540542
75,89.081,200,2003,1780,12362.0,119.69763885194932,30.245265965405416
76,117.016,1131,1975,1946,12362.0,119.7031009808459,30.245265965405423
77,125.04,1131,1975,1946,12362.0,119.7041934066252,30.245265965405412
78,106.408,1229,1806,2044,12362.0,119.70528583240451,30.24526596540542
79,103.579,1377,1658,2192,12362.0,119.70637825818382,30.24526596540542
80,87.096,1377,1658,2192,12362.0,119.70747068396314,30.24526596540542
81,132.819,1740,1508,2000,12362.0,119.70965553552175,30.245265965405423
82,105.809,2150,1097,2188,12362.0,119.71293281285969,30.245265965405423
83,108.285,2256,991,2083,12362.0,119.714025238639,30.24526596540542
84,84.566,2377,870,1962,12362.0,119.71511766441832,30.24526596540542
85,105.429,2648,599,1856,12362.0,119.71621009019762,30.24526596540542
86,160.809,2855,477,1640,12362.0,119.71730251597694,30.245265965405423
87,114.486,2816,516,1601,12362.0,119.71839494175624,30.245265965405423
88,107.061,2777,555,1562,12362.0,119.71948736753555,30.24526596540542
89,33.402,3039,364,1223,12362.0,119.72167221909417,30.245265965405416
90,8.16,3557,885,973,12362.0,119.7249494964321,30.24526596540542
91,74.692,3568,895,964,12362.0,119.72604192221142,30.245265965405416
92,17.979,4547,1611,266,12362.0,119.73478132844589,30.245265965405416
93,4.842,4547,1611,266,12362.0,119.73587375422522,30.24526596540542
94,27.908,0,1803,1845,12362.0,119.69589877856896,30.24441087319905
95,71.156,192,1996,1695,12362.0,119.69699119843744,30.24441087319905
96,72.027,192,1996,1695,12362.0,119.69808361830593,30.24441087319905
97,103.878,1131,1975,1946,12362.0,119.70245329777981,30.244410873199055
98,114.622,1131,1975,1946,12362.0,119.70354571764827,30.24441087319905
99,107.795,1229,1806,2044,12362.0,119.70463813751675,30.244410873199048
100,52.932,1229,1806,2044,12362.0,119.70573055738524,30.244410873199055
101,92.753,1516,1736,2229,12362.0,119.70682297725371,30.24441087319905
102,118.512,1516,1736,2229,12362.0,119.70791539712218,30.244410873199055
103,82.363,1740,1508,2000,12362.0,119.70900781699065,30.24441087319905
104,108.91,2258,1185,2104,12362.0,119.71337749646453,30.24441087319905
105,101.267,2377,870,1962,12362.0,119.714469916333,30.24441087319905
106,101.675,2531,716,1808,12362.0,119.71556233620146,30.24441087319905
107,82.88,2531,716,1808,12362.0,119.71665475606993,30.24441087319905
108,84.974,2777,555,1562,12362.0,119.71774717593843,30.24441087319905
109,47.573,2775,626,1488,12362.0,119.7188395958069,30.244410873199055
110,15.287,2778,631,1489,12362.0,119.71993201567535,30.24441087319905
111,2.394,3042,370,1225,12362.0,119.72102443554382,30.244410873199055
112,14.77,4547,1611,278,12362.0,119.7341334739655,30.24441087319905
113,31.525,4558,1617,278,12362.0,119.735225893834,30.24441087319905
114,89.272,8,1811,1837,12362.0,119.69525115911523,30.243555783806706
115,98.03,16,1819,1829,12362.0,119.69634357307312,30.24355578380671
116,43.929,998,2045,1805,12362.0,119.70289805682049,30.24355578380671
117,96.67,1049,2002,1756,12362.0,119.70399047077836,30.243555783806706
118,108.91,1516,1736,2229,12362.0,119.70617529869415,30.243555783806706
119,131.269,1516,1736,2229,12362.0,119.70726771265203,30.243555783806706
120,79.18,1974,1580,1767,12362.0,119.71054495452567,30.24355578380671
121,80.295,2394,1049,1969,12362.0,119.71382219639938,30.243555783806713
122,77.684,2394,1049,1969,12362.0,119.71491461035727,30.243555783806713
123,58.399,2483,841,1775,12362.0,119.71600702431515,30.243555783806702
124,26.983,2487,854,1780,12362.0,119.71709943827304,30.24355578380671
125,34.327,2778,631,1489,12362.0,119.71819185223094,30.243555783806702
126,42.297,3351,683,1219,12362.0,119.7247463359783,30.24355578380671
127,97.785,3412,744,1223,12362.0,119.72583874993617,30.243555783806706
128,109.726,433,2011,1427,12362.0,119.69788079195033,30.242700697228262
129,109.264,433,2011,1427,12362.0,119.69897319999787,30.242700697228262
130,46.975,1035,2083,1742,12362.0,119.70225042414056,30.242700697228262
131,53.911,1049,2002,1756,12362.0,119.70334283218811,30.24270069722826
132,132.003,1974,1580,1767,12362.0,119.70989728047353,30.24270069722826
133,109.237,1974,1580,1767,12362.0,119.71098968852111,30.24270069722826
134,99.689,2394,1049,1969,12362.0,119.71317450461623,30.242700697228262
135,105.755,2314,1009,1856,12362.0,119.71426691266382,30.24270069722826
136,44.853,2318,1015,1850,12362.0,119.71535932071137,30.24270069722826
137,30.247,2506,874,1767,12362.0,119.71645172875894,30.242700697228262
138,6.882,2624,992,1656,12362.0,119.7175441368065,30.242700697228255
139,23.583,2895,811,1750,12362.0,119.71863654485408,30.24270069722826
140,87.068,2895,811,1750,12362.0,119.71972895290163,30.242700697228262
141,59.487,3038,518,1531,12362.0,119.72191376899674,30.242700697228255
142,121.939,3158,490,1412,12362.0,119.72300617704434,30.242700697228255
143,76.351,3351,683,1219,12362.0,119.7240985850919,30.242700697228262
144,79.724,3431,764,1203,12362.0,119.72519099313945,30.242700697228262
145,39.06,4569,1367,529,12362.0,119.73393025752,30.24270069722826
146,2.938,4573,1371,524,12362.0,119.73502266556756,30.242700697228255
147,117.968,376,1426,2022,12362.0,119.6928636025075,30.241845613463607
148,39.903,376,1426,2022,12362.0,119.693956004645,30.241845613463603
149,127.434,285,1896,1560,12362.0,119.6972332110575,30.241845613463607
150,88.075,433,2011,1427,12362.0,119.69832561319498,30.241845613463603
151,112.909,1985,1339,1526,12362.0,119.71143443884498,30.241845613463603
152,64.982,1985,1339,1526,12362.0,119.71252684098246,30.241845613463603
153,32.396,2321,1020,1845,12362.0,119.71361924311995,30.2418456134636
154,22.195,2321,1020,1845,12362.0,119.71471164525748,30.241845613463603
155,42.514,2612,974,1637,12362.0,119.71689644953248,30.2418456134636
156,41.1,2600,956,1618,12362.0,119.71798885166994,30.241845613463603
157,117.587,2778,778,1792,12362.0,119.71908125380747,30.2418456134636
158,96.833,2852,704,1718,12362.0,119.72017365594499,30.241845613463603
159,85.328,3075,481,1544,12362.0,119.72126605808245,30.241845613463603
160,104.64,3172,384,1507,12362.0,119.72235846021994,30.241845613463603
161,107.849,3210,346,1507,12362.0,119.72345086235747,30.2418456134636
162,82.363,3464,796,1106,12362.0,119.72454326449497,30.241845613463603
163,101.485,3464,796,1106,12362.0,119.72563566663246,30.241845613463603
164,77.031,4569,1367,529,12362.0,119.73328248159496,30.24184561346361
165,29.975,4508,1305,589,12362.0,119.73437488373244,30.241845613463607
166,123.68,376,1426,2022,12362.0,119.69221607339857,30.240990532512626
167,122.565,376,1426,2022,12362.0,119.69330846962625,30.24099053251262
168,120.28,556,1605,1842,12362.0,119.69440086585394,30.240990532512626
169,108.747,285,1896,1560,12362.0,119.69658565830932,30.24099053251262
170,59.079,569,1860,1276,12362.0,119.69877045076467,30.240990532512622
171,88.129,1985,1339,1526,12362.0,119.71078680926925,30.240990532512626
172,18.551,1989,1343,1522,12362.0,119.71187920549693,30.240990532512622
173,23.175,2285,1232,1415,12362.0,119.71406399795232,30.240990532512622
174,60.548,2424,1132,1555,12362.0,119.71515639418001,30.240990532512626
175,102.953,2434,1168,1565,12362.0,119.71624879040769,30.240990532512626
176,90.713,2595,1008,1566,12362.0,119.71734118663538,30.240990532512622
177,51.708,2778,778,1792,12362.0,119.71843358286309,30.240990532512626
178,67.457,3210,346,1507,12362.0,119.72171077154613,30.240990532512622
179,61.146,3478,110,1311,12362.0,119.72280316777383,30.240990532512626
180,62.153,3432,140,1321,12362.0,119.72389556400151,30.24099053251262
181,100.261,3443,113,1274,12362.0,119.72498796022919,30.240990532512622
182,49.369,4343,1141,755,12362.0,119.7337271300507,30.240990532512626
183,17.925,4355,1152,743,12362.0,119.7348195262784,30.24099053251262
184,132.683,556,1605,1842,12362.0,119.69375335306832,30.240135454375206
185,120.742,556,1605,1842,12362.0,119.69484574338651,30.240135454375206
186,142.72,458,1749,1387,12362.0,119.69703052402275,30.240135454375206
187,40.909,458,1749,1387,12362.0,119.69812291434089,30.240135454375206
188,73.713,1633,1416,1177,12362.0,119.70795442720407,30.240135454375203
189,37.999,1645,1404,1165,12362.0,119.70904681752222,30.240135454375206
190,36.312,2114,1270,1245,12362.0,119.7123239884766,30.240135454375206
191,85.926,2264,1186,1394,12362.0,119.71341637879473,30.240135454375206
192,129.093,2296,1194,1426,12362.0,119.71450876911288,30.240135454375206
193,147.181,2434,1168,1565,12362.0,119.71560115943102,30.24013545437521
194,156.756,2688,1053,1473,12362.0,119.71669354974914,30.240135454375206
195,58.508,2688,1053,1473,12362.0,119.71778594006727,30.240135454375203
196,32.423,3596,228,1429,12362.0,119.72106311102169,30.240135454375206
197,26.928,3596,228,1429,12362.0,119.72215550133983,30.240135454375206
198,68.436,3517,53,1254,12362.0,119.72324789165795,30.24013545437521
199,42.677,3500,56,1218,12362.0,119.72434028197608,30.240135454375206
200,79.887,3850,848,760,12362.0,119.72870984324864,30.240135454375206
201,66.668,3850,848,760,12362.0,119.72980223356674,30.240135454375213
202,59.65,4120,950,977,12362.0,119.73198701420301,30.240135454375206
203,21.978,4343,1141,755,12362.0,119.73307940452113,30.240135454375203
204,24.263,4349,1146,749,12362.0,119.73417179483931,30.24013545437521
205,0.299,4776,1573,857,12362.0,119.7352641851574,30.240135454375206
206,117.533,694,1513,1624,12362.0,119.69529063724227,30.239280379051255
207,87.232,694,1513,1624,12362.0,119.69638302165107,30.23928037905125
208,28.506,1644,1407,1162,12362.0,119.70730686573945,30.23928037905125
209,60.466,1685,1365,1127,12362.0,119.70839925014829,30.23928037905125
210,6.338,1815,1232,1003,12362.0,119.70949163455712,30.239280379051248
211,27.744,2146,1473,1372,12362.0,119.71058401896595,30.23928037905125
212,86.851,2073,1317,1216,12362.0,119.71167640337478,30.23928037905125
213,129.691,2142,1242,1273,12362.0,119.7127687877836,30.239280379051248
214,153.655,2243,1141,1374,12362.0,119.71386117219247,30.23928037905125
215,67.783,3506,73,1164,12362.0,119.72260024746316,30.239280379051248
216,139.511,3525,91,1182,12362.0,119.723692631872,30.239280379051248
217,20.999,3486,171,1103,12362.0,119.7247850162808,30.23928037905125
218,111.929,3555,586,697,12362.0,119.72696978509848,30.23928037905125
219,107.115,3850,848,760,12362.0,119.72806216950731,30.23928037905125
220,94.086,3850,848,760,12362.0,119.72915455391617,30.239280379051248
221,37.074,4776,1573,857,12362.0,119.73352409155152,30.239280379051248
222,8.079,4776,1573,857,12362.0,119.73461647596034,30.239280379051245
223,4.515,1989,1391,2274,12362.0,119.68699651942252,30.238425306540627
224,113.453,694,1513,1624,12362.0,119.6946431689211,30.238425306540627
225,98.493,694,1513,1624,12362.0,119.69573554742088,30.238425306540627
226,11.887,911,1717,934,12362.0,119.70010506142009,30.238425306540627
227,59.079,1281,1902,1305,12362.0,119.70338219691943,30.238425306540634
228,89.272,1281,1902,1305,12362.0,119.70447457541925,30.238425306540634
229,58.372,1484,1701,1455,12362.0,119.70556695391903,30.238425306540627
230,12.295,1485,1698,1452,12362.0,119.70665933241884,30.238425306540623
231,20.047,1905,1399,1152,12362.0,119.70884408941846,30.238425306540634
