,POP_2015,active_living,community_space,food_choices,health_wellbeing,ID_HDC_G0,lng,lat
79,190.251,365,2005,932,189,6306.0,69.0119981798033,25.53303267962029
80,205.1,469,1969,869,126,6306.0,69.0130614486816,25.533032679620295
81,174.209,575,2076,913,232,6306.0,69.01412471755988,25.533032679620298
82,145.13,759,2094,854,152,6306.0,69.01518798643816,25.533032679620295
83,195.598,828,2164,924,53,6306.0,69.01625125531645,25.533032679620295
84,167.094,930,2271,1030,158,6306.0,69.01731452419475,25.533032679620295
85,175.888,997,2333,1093,220,6306.0,69.01837779307304,25.533032679620295
86,147.03,1098,2432,1191,321,6306.0,69.01944106195133,25.533032679620295
87,151.14,2076,3900,2660,1694,6306.0,69.02050433082961,25.533032679620295
88,182.252,1431,2496,1256,290,6306.0,69.0215675997079,25.533032679620295
89,197.675,1431,2496,1256,290,6306.0,69.02263086858618,25.53303267962029
90,157.857,1622,2687,1447,139,6306.0,69.02369413746446,25.533032679620295
91,120.47,1657,2722,1482,109,6306.0,69.02475740634276,25.533032679620295
92,75.482,1445,2307,1987,565,6306.0,68.99787553949048,25.53219158440147
93,59.086,1113,2080,1760,942,6306.0,69.00212859650259,25.532191584401474
94,17.456,1113,2080,1760,942,6306.0,69.00319186075562,25.532191584401478
95,34.78,991,1866,1376,295,6306.0,69.00531838926166,25.532191584401474
96,131.43,888,1771,1273,192,6306.0,69.00638165351471,25.532191584401474
97,184.197,751,1698,1195,62,6306.0,69.00744491776771,25.53219158440147
98,143.274,676,1684,1073,141,6306.0,69.00850818202075,25.532191584401474
99,193.344,610,1759,980,224,6306.0,69.00957144627377,25.532191584401478
100,192.107,604,1714,910,167,6306.0,69.01063471052679,25.53219158440147
101,187.025,452,1897,845,102,6306.0,69.0116979747798,25.532191584401474
102,222.865,558,2058,926,215,6306.0,69.01276123903284,25.532191584401478
103,227.108,575,2076,913,232,6306.0,69.01382450328589,25.53219158440147
104,168.994,700,1981,740,131,6306.0,69.0148877675389,25.532191584401474
105,150.566,777,2112,872,0,6306.0,69.01595103179193,25.532191584401474
106,166.343,845,2181,940,68,6306.0,69.01701429604493,25.532191584401474
107,165.768,1016,2276,1036,180,6306.0,69.01807756029798,25.53219158440147
108,180.087,1084,2314,1074,249,6306.0,69.01914082455102,25.532191584401474
109,195.51,1179,2328,1088,281,6306.0,69.02020408880402,25.532191584401474
110,138.589,1346,2411,1171,352,6306.0,69.02126735305706,25.532191584401478
111,160.951,1477,2542,1302,245,6306.0,69.02233061731008,25.532191584401474
112,193.035,1590,2655,1415,150,6306.0,69.02339388156311,25.53219158440147
113,167.005,1687,2752,1511,49,6306.0,69.02445714581613,25.532191584401474
114,41.188,1569,2431,2111,411,6306.0,68.99651214851438,25.531350491421737
115,76.719,1569,2431,2111,411,6306.0,68.99757540814234,25.531350491421737
116,161.525,1210,2072,1753,769,6306.0,68.9997019273983,25.531350491421733
117,113.046,989,1851,1531,712,6306.0,69.00182844665423,25.53135049142174
118,61.472,989,1851,1531,712,6306.0,69.00289170628221,25.531350491421737
119,98.683,991,1866,1376,295,6306.0,69.00501822553817,25.531350491421737
120,194.14,991,1866,1376,295,6306.0,69.00608148516613,25.531350491421737
121,131.297,723,1670,1167,34,6306.0,69.00714474479409,25.53135049142173
122,185.522,732,1610,1102,37,6306.0,69.00820800442206,25.53135049142174
123,176.949,772,1566,965,132,6306.0,69.00927126405003,25.531350491421737
124,180.661,675,1643,951,166,6306.0,69.01033452367801,25.53135049142174
125,192.151,556,1771,822,119,6306.0,69.01139778330598,25.53135049142174
126,224.059,527,1882,743,0,6306.0,69.01246104293395,25.531350491421733
