,POP_2015,active_living,education,health_wellbeing,ID_HDC_G0,lng,lat
65,132.202,659,1292,0,7414.0,76.17288402268217,20.534252982568113
66,133.714,484,1117,7,7414.0,76.17392310987,20.534252982568113
67,112.418,476,1109,15,7414.0,76.17496219705787,20.534252982568113
68,159.13,280,879,0,7414.0,76.1760012842457,20.534252982568113
69,116.128,150,783,0,7414.0,76.17704037143355,20.534252982568113
70,115.441,145,779,0,7414.0,76.17807945862137,20.534252982568113
71,87.242,623,474,115,7414.0,76.18223580737273,20.534252982568113
72,63.096,739,543,0,7414.0,76.18327489456057,20.534252982568113
73,97.855,739,543,0,7414.0,76.18431398174843,20.534252982568113
74,116.574,866,527,0,7414.0,76.18535306893627,20.534252982568113
75,9.308,1131,729,309,7414.0,76.18743124331195,20.534252982568113
76,51.624,1131,729,309,7414.0,76.1884703304998,20.534252982568113
77,158.237,619,1252,4,7414.0,76.17366744042808,20.533423676821002
78,87.414,533,1167,53,7414.0,76.17470652412833,20.533423676821
79,52.86,362,754,216,7414.0,76.17886285892936,20.533423676821
80,36.855,441,674,295,7414.0,76.17990194262963,20.533423676821002
81,76.56,555,789,227,7414.0,76.18094102632989,20.533423676821002
82,70.24,555,789,227,7414.0,76.18198011003012,20.533423676821
83,83.67,775,626,0,7414.0,76.18301919373039,20.533423676821
84,135.259,775,626,0,7414.0,76.18405827743065,20.533423676821
85,137.423,930,666,139,7414.0,76.18509736113093,20.533423676821
86,103.248,1195,931,0,7414.0,76.18717552853144,20.533423676821002
87,60.657,1195,931,0,7414.0,76.18821461223169,20.533423676821
88,156.039,857,1491,137,7414.0,76.1713336232883,20.532594372786356
89,166.206,857,1491,137,7414.0,76.17237270350115,20.532594372786356
90,177.06,644,1278,0,7414.0,76.17341178371402,20.53259437278636
91,76.938,643,1276,43,7414.0,76.17445086392686,20.532594372786356
92,24.696,420,1053,253,7414.0,76.1754899441397,20.532594372786363
93,71.889,420,1053,253,7414.0,76.17652902435256,20.53259437278636
94,81.952,511,903,365,7414.0,76.17860718477826,20.532594372786363
95,157.447,555,789,227,7414.0,76.18068534520397,20.53259437278636
96,127.359,555,789,227,7414.0,76.18172442541682,20.532594372786356
97,127.668,775,626,0,7414.0,76.18276350562965,20.53259437278636
98,148.655,775,626,0,7414.0,76.18380258584249,20.532594372786356
99,93.047,930,666,139,7414.0,76.18484166605536,20.53259437278636
100,137.457,1195,931,0,7414.0,76.18691982648106,20.53259437278636
101,95.004,1195,931,0,7414.0,76.18795890669391,20.532594372786363
102,153.91,1081,1714,0,7414.0,76.16899983282504,20.53176507046412
103,140.068,1081,1714,0,7414.0,76.17003890955064,20.531765070464118
104,127.943,874,1507,74,7414.0,76.17107798627626,20.531765070464118
105,151.815,895,1528,37,7414.0,76.17211706300186,20.53176507046412
106,143.674,916,1550,0,7414.0,76.1731561397275,20.53176507046412
107,135.019,582,1215,257,7414.0,76.1741952164531,20.531765070464118
108,49.254,582,1215,257,7414.0,76.1752342931787,20.531765070464115
109,13.155,544,1121,377,7414.0,76.17627336990432,20.531765070464118
110,55.505,561,1104,394,7414.0,76.17731244662995,20.53176507046412
111,60.108,511,903,365,7414.0,76.17835152335554,20.531765070464115
112,141.476,982,833,206,7414.0,76.18354690698364,20.531765070464118
113,82.502,982,833,206,7414.0,76.18458598370924,20.531765070464118
114,116.712,1423,1021,601,7414.0,76.18770321388608,20.53176507046412
115,158.993,1423,1021,601,7414.0,76.1887422906117,20.531765070464118
116,33.935,916,1550,0,7414.0,76.17186143522959,20.53093576985418
117,144.842,1024,1658,0,7414.0,76.17290050846813,20.530935769854185
118,74.567,628,1262,210,7414.0,76.17393958170668,20.530935769854185
119,40.77,582,1215,257,7414.0,76.17497865494524,20.53093576985418
120,47.502,670,1125,460,7414.0,76.17705680142235,20.530935769854185
121,110.907,982,833,206,7414.0,76.18329124085366,20.530935769854185
122,49.082,982,833,206,7414.0,76.18433031409222,20.530935769854185
123,118.532,1423,1021,601,7414.0,76.18744753380787,20.53093576985418
124,191.382,1423,1021,601,7414.0,76.18848660704643,20.530935769854185
125,15.662,1024,1658,0,7414.0,76.17264488993561,20.530106470956483
126,98.851,1118,1403,320,7414.0,76.1788793084456,20.530106470956483
127,80.235,1036,1269,454,7414.0,76.17991837819726,20.53010647095648
128,144.739,921,1154,569,7414.0,76.18095744794893,20.53010647095648
129,49.013,1143,995,369,7414.0,76.18303558745227,20.53010647095648
130,35.068,1029,1484,400,7414.0,76.17446741665947,20.529277173770932
131,160.401,1114,1569,315,7414.0,76.17550648292443,20.52927717377093
132,98.164,1164,1619,308,7414.0,76.17654554918938,20.52927717377093
133,74.259,1140,1399,347,7414.0,76.17862368171926,20.52927717377093
134,125.539,1074,1308,464,7414.0,76.17966274798422,20.52927717377093
135,140.343,989,1223,534,7414.0,76.18070181424918,20.52927717377093
136,85.284,1213,1067,441,7414.0,76.18277994677906,20.529277173770932
137,9.48,1223,1856,582,7414.0,76.17005556549286,20.528447878297445
138,21.913,1029,1484,400,7414.0,76.1742118166065,20.52844787829745
139,132.34,1114,1569,315,7414.0,76.17525087938492,20.52844787829745
140,138.694,1164,1619,308,7414.0,76.1762899421633,20.528447878297445
141,133.061,964,1419,166,7414.0,76.17732900494173,20.528447878297445
142,125.539,1069,1485,271,7414.0,76.17836806772013,20.528447878297445
143,178.434,1134,1420,336,7414.0,76.17940713049853,20.528447878297445
144,140.48,1127,1360,396,7414.0,76.18044619327695,20.52844787829745
145,52.654,1213,1067,441,7414.0,76.18252431883376,20.528447878297445
146,49.288,1223,1856,582,7414.0,76.16979999211146,20.527618584535944
147,93.012,1233,1688,546,7414.0,76.17291716998758,20.52761858453594
148,107.198,1271,1726,158,7414.0,76.17499528857167,20.52761858453594
149,136.29,1271,1726,158,7414.0,76.1760343478637,20.52761858453594
150,167.923,1079,1534,51,7414.0,76.17707340715576,20.527618584535947
151,161.741,1074,1529,102,7414.0,76.1781124664478,20.527618584535944
152,174.793,1211,1576,238,7414.0,76.17915152573984,20.527618584535947
153,156.692,1244,1543,272,7414.0,76.18019058503188,20.527618584535944
154,65.157,1375,2009,735,7414.0,76.16954443145517,20.526789292486345
155,45.476,1360,1815,544,7414.0,76.17162254306685,20.526789292486345
156,113.93,1360,1815,544,7414.0,76.1726615988727,20.52678929248634
