,POP_2015,community_space,health_wellbeing,mobility,ID_HDC_G0,lng,lat
114,0.212,1176,635,1761,9135.0,85.51416772868146,24.434758998290576
115,40.571,1005,464,1590,9135.0,85.51522512356513,24.43475899829058
116,72.08,1002,376,1502,9135.0,85.51628251844876,24.434758998290576
117,51.659,908,281,1408,9135.0,85.51733991333242,24.434758998290583
118,74.336,843,217,1343,9135.0,85.5183973082161,24.43475899829058
119,44.717,943,9,1135,9135.0,85.51945470309975,24.434758998290576
120,50.136,1237,326,579,9135.0,85.52474167751807,24.43475899829058
121,41.073,2626,706,29,9135.0,85.52791386216902,24.43475899829058
122,46.993,2541,621,20,9135.0,85.52897125705267,24.434758998290576
123,60.105,2378,386,331,9135.0,85.53002865193635,24.43475899829058
124,83.688,2322,442,314,9135.0,85.53108604682001,24.43475899829058
125,75.666,2122,388,514,9135.0,85.53214344170367,24.434758998290576
126,72.369,2122,388,514,9135.0,85.53320083658734,24.434758998290583
127,7.0,822,437,1731,9135.0,85.51487266715965,24.433920751515757
128,16.391,822,437,1731,9135.0,85.5159300576852,24.43392075151576
129,26.456,843,217,1343,9135.0,85.51698744821074,24.43392075151576
130,75.531,829,230,1356,9135.0,85.51804483873626,24.433920751515757
131,29.387,797,136,1262,9135.0,85.5191022292618,24.433920751515764
132,69.361,1237,326,579,9135.0,85.52438918188952,24.433920751515757
133,65.427,1140,228,482,9135.0,85.52544657241506,24.433920751515764
134,65.311,1598,162,34,9135.0,85.52861874399167,24.433920751515764
135,35.712,1606,140,49,9135.0,85.5296761345172,24.433920751515764
136,41.034,1714,0,190,9135.0,85.53073352504273,24.433920751515757
137,74.297,1983,268,459,9135.0,85.53179091556828,24.433920751515764
138,85.096,1983,268,459,9135.0,85.53284830609383,24.433920751515764
139,8.793,822,437,1731,9135.0,85.51452022691599,24.433082506857925
140,53.973,822,437,1731,9135.0,85.51557761308362,24.43308250685793
141,54.841,703,239,1366,9135.0,85.51769238541884,24.433082506857925
142,27.825,727,207,1333,9135.0,85.51874977158646,24.433082506857925
143,75.396,911,0,710,9135.0,85.52192193008932,24.43308250685793
144,76.129,911,0,710,9135.0,85.52297931625692,24.43308250685793
145,77.672,1140,228,482,9135.0,85.52403670242454,24.43308250685792
146,60.896,1140,228,482,9135.0,85.52509408859217,24.433082506857925
147,55.94,1590,124,66,9135.0,85.52826624709502,24.43308250685793
148,71.096,1714,0,190,9135.0,85.52932363326263,24.433082506857925
149,69.515,1714,0,190,9135.0,85.53038101943027,24.433082506857925
150,40.514,757,357,1665,9135.0,85.51416780283355,24.43224426431698
151,66.179,697,312,1605,9135.0,85.51522518464347,24.432244264316985
152,49.982,614,229,1523,9135.0,85.51628256645337,24.43224426431699
153,58.447,565,180,1474,9135.0,85.51733994826327,24.43224426431698
154,38.797,662,271,1398,9135.0,85.51839733007317,24.432244264316985
155,68.127,549,279,1072,9135.0,85.51945471188306,24.43224426431699
156,64.521,911,0,710,9135.0,85.52156947550284,24.43224426431698
157,83.071,911,0,710,9135.0,85.52262685731274,24.43224426431699
158,68.802,2510,0,903,9135.0,85.53425805722163,24.43224426431699
159,13.999,3748,1064,2104,9135.0,85.54060234808102,24.432244264316985
160,19.206,3748,1064,2104,9135.0,85.54165972989092,24.432244264316978
161,0.174,1021,293,1930,9135.0,85.5127580174595,24.43140602389284
162,4.474,984,256,1893,9135.0,85.51381539491187,24.43140602389284
163,46.819,757,357,1665,9135.0,85.51487277236427,24.431406023892844
164,50.521,556,171,1465,9135.0,85.51593014981663,24.431406023892848
165,66.989,463,86,1372,9135.0,85.51698752726904,24.431406023892844
166,73.642,506,179,1313,9135.0,85.5180449047214,24.43140602389284
167,33.938,549,279,1072,9135.0,85.51910228217379,24.431406023892844
168,67.664,2510,0,903,9135.0,85.53390556650707,24.43140602389284
169,15.021,1021,293,1930,9135.0,85.51240563005534,24.430567785585414
170,25.897,951,224,1860,9135.0,85.51346300315039,24.43056778558541
171,55.824,865,137,1774,9135.0,85.51452037624546,24.430567785585403
172,35.674,575,0,1484,9135.0,85.51557774934051,24.43056778558541
173,89.203,436,21,1345,9135.0,85.51663512243557,24.43056778558541
174,16.005,265,178,1357,9135.0,85.51769249553062,24.43056778558541
175,23.564,221,221,1400,9135.0,85.51874986862568,24.430567785585406
176,43.888,0,443,1622,9135.0,85.51980724172073,24.430567785585406
177,50.078,0,443,1622,9135.0,85.5208646148158,24.43056778558541
178,8.928,898,170,1807,9135.0,85.51205325881065,24.42972954939458
179,82.3,863,116,1772,9135.0,85.51311062754858,24.42972954939458
180,44.37,786,103,1695,9135.0,85.51416799628653,24.429729549394583
181,57.02,617,41,1526,9135.0,85.51522536502445,24.429729549394583
182,60.857,512,97,1421,9135.0,85.5162827337624,24.429729549394583
183,21.848,221,221,1400,9135.0,85.51734010250034,24.429729549394583
184,58.524,167,276,1454,9135.0,85.51839747123827,24.42972954939458
185,68.281,0,443,1622,9135.0,85.5194548399762,24.429729549394583
186,77.903,84,444,1623,9135.0,85.52051220871414,24.429729549394576
187,17.22,968,119,1876,9135.0,85.5117009037249,24.42889131532028
188,60.684,894,59,1803,9135.0,85.51275826810593,24.428891315320275
189,72.099,804,152,1713,9135.0,85.51381563248695,24.428891315320275
190,69.747,765,189,1674,9135.0,85.51487299686795,24.428891315320275
