,POP_2015,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
49,109.507,0,30,148,510,12834.0,118.61343090915184,4.479492299927255
50,75.524,579,804,721,579,12834.0,118.6144305714535,4.479492299927255
51,27.114,131,370,287,131,12834.0,118.61543023375515,4.479492299927255
52,63.058,0,486,403,6,12834.0,118.6164298960568,4.479492299927254
53,43.601,49,558,475,56,12834.0,118.61742955835845,4.479492299927253
54,17.066,13,624,541,13,12834.0,118.6184292206601,4.479492299927253
55,80.623,758,644,576,1637,12834.0,118.60435294225333,4.478682583746577
56,15.237,664,549,482,1542,12834.0,118.60535260387219,4.478682583746578
57,28.524,467,594,285,1385,12834.0,118.6063522654911,4.4786825837465765
58,9.538,230,461,355,1234,12834.0,118.60735192710999,4.478682583746578
59,86.022,101,287,151,1081,12834.0,118.60835158872888,4.47868258374658
60,107.437,117,183,216,982,12834.0,118.60935125034776,4.4786825837465765
61,103.808,30,28,325,928,12834.0,118.61035091196665,4.47868258374658
62,30.353,138,308,389,717,12834.0,118.61135057358554,4.47868258374658
63,65.656,69,342,373,625,12834.0,118.6123502352044,4.478682583746577
64,82.932,0,61,89,451,12834.0,118.61334989682331,4.478682583746578
65,78.883,48,109,8,388,12834.0,118.6143495584422,4.478682583746577
66,36.142,197,260,177,219,12834.0,118.61534922006109,4.478682583746578
67,35.373,0,493,410,13,12834.0,118.61634888167997,4.478682583746579
68,58.435,6,624,541,6,12834.0,118.61734854329886,4.47868258374658
69,73.064,13,624,541,13,12834.0,118.6183482049178,4.478682583746578
70,6.329,794,680,612,1673,12834.0,118.60427195086821,4.477872867909227
71,2.549,355,749,440,1485,12834.0,118.60527161180445,4.477872867909228
72,23.035,355,749,440,1485,12834.0,118.60627127274073,4.477872867909227
73,67.006,216,446,340,1219,12834.0,118.60727093367694,4.477872867909228
74,115.235,105,403,302,1169,12834.0,118.60827059461322,4.477872867909226
75,74.264,27,280,225,1048,12834.0,118.60927025554946,4.477872867909228
76,45.89,168,227,395,947,12834.0,118.61026991648569,4.477872867909227
77,65.768,245,343,473,900,12834.0,118.61126957742198,4.477872867909227
78,85.925,254,409,326,577,12834.0,118.61226923835821,4.477872867909227
79,84.912,273,427,345,596,12834.0,118.61326889929448,4.477872867909228
80,76.604,133,194,111,362,12834.0,118.6142685602307,4.477872867909227
81,39.052,264,325,242,494,12834.0,118.61526822116696,4.477872867909225
82,11.518,185,581,609,1316,12834.0,118.60619029478907,4.4770631524151385
83,93.411,185,512,554,1247,12834.0,118.60718995504278,4.477063152415136
84,68.055,104,358,347,1093,12834.0,118.60818961529654,4.477063152415137
85,46.43,136,276,349,1011,12834.0,118.60918927555025,4.4770631524151385
86,73.19,174,233,400,920,12834.0,118.61018893580399,4.477063152415135
87,61.077,313,371,498,782,12834.0,118.61118859605773,4.4770631524151385
88,42.989,368,487,440,691,12834.0,118.61218825631144,4.477063152415137
89,6.719,433,566,505,756,12834.0,118.61318791656521,4.477063152415137
90,83.452,259,320,237,488,12834.0,118.61418757681892,4.4770631524151385
91,102.734,235,360,277,528,12834.0,118.61518723707266,4.477063152415137
92,135.031,163,409,326,577,12834.0,118.6161868973264,4.4770631524151385
93,38.572,84,495,536,1230,12834.0,118.60710899120734,4.476253437264246
94,29.601,83,424,466,1159,12834.0,118.60810865077872,4.476253437264248
95,111.029,293,394,467,1129,12834.0,118.60910831035007,4.476253437264244
