,POP_2015,community_space,education,mobility,ID_HDC_G0,lng,lat
33,86.947,2954,1657,636,10796.0,116.31111243069459,39.455527308353766
34,89.724,3084,1788,766,10796.0,116.31228410086952,39.455527308353766
35,97.174,3084,1788,766,10796.0,116.31345577104445,39.45552730835376
36,81.591,3302,2006,985,10796.0,116.31462744121939,39.455527308353766
37,123.82,3302,2006,985,10796.0,116.31579911139431,39.45552730835376
38,106.783,3385,2089,1067,10796.0,116.31697078156925,39.45552730835376
39,126.839,3476,2180,1159,10796.0,116.31814245174421,39.455527308353766
40,3.984,2167,777,1405,10796.0,116.28791878989057,39.45463530303621
41,2.139,2061,672,1299,10796.0,116.28909045067603,39.454635303036206
42,3.774,2054,664,1284,10796.0,116.29026211146156,39.454635303036206
43,6.492,1967,577,1205,10796.0,116.29143377224702,39.45463530303621
44,33.782,2245,855,321,10796.0,116.29963539774543,39.45463530303621
45,36.972,2245,855,321,10796.0,116.3008070585309,39.454635303036206
46,113.836,5000,5000,5000,10796.0,116.30900868402931,39.45463530303621
47,99.576,5000,5000,5000,10796.0,116.3101803448148,39.454635303036206
48,96.997,5000,5000,5000,10796.0,116.31135200560028,39.45463530303621
49,74.847,5000,5000,5000,10796.0,116.31252366638577,39.454635303036206
50,76.148,3302,2006,985,10796.0,116.31486698795675,39.45463530303621
51,96.777,3385,2089,1067,10796.0,116.31603864874222,39.45463530303621
52,111.037,3476,2180,1159,10796.0,116.31721030952772,39.45463530303621
53,2.516,2189,800,1367,10796.0,116.28698692452213,39.45374330199964
54,3.798,2175,785,1368,10796.0,116.28815857591859,39.453743301999644
55,4.48,1989,600,1228,10796.0,116.28933022731506,39.453743301999644
56,6.425,1893,503,1131,10796.0,116.2905018787115,39.453743301999644
57,2.611,1886,496,1124,10796.0,116.29167353010797,39.453743301999644
58,3.393,1763,373,1001,10796.0,116.29284518150445,39.453743301999644
59,2.828,1410,20,648,10796.0,116.29636013569382,39.453743301999644
60,74.34,5000,5000,5000,10796.0,116.30924830105491,39.453743301999644
61,44.961,5000,5000,5000,10796.0,116.31041995245135,39.453743301999644
62,66.384,5000,5000,5000,10796.0,116.31159160384783,39.453743301999644
63,11.973,1886,496,1124,10796.0,116.29074166929465,39.45285130524388
64,6.171,1741,352,1000,10796.0,116.2919133113025,39.452851305243875
65,3.816,1410,20,648,10796.0,116.2954282373261,39.452851305243875
66,4.007,1389,0,669,10796.0,116.29659987933395,39.45285130524388
