,POP_2015,community_space,education,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
336,172.516,2187,568,540,1492,4047.0,29.14878261787417,-3.3720949809184755
337,170.821,2187,568,540,1492,4047.0,29.149781462476852,-3.372094980918476
338,137.924,2368,749,705,1672,4047.0,29.150780307079543,-3.372094980918475
339,12.109,3517,541,1947,2821,4047.0,29.1378102895927,-3.372904286082871
340,103.817,3352,376,1782,2656,4047.0,29.138809134708296,-3.3729042860828713
341,148.54,3352,376,1782,2656,4047.0,29.13980797982389,-3.3729042860828704
342,178.49,1634,121,726,939,4047.0,29.14380336028627,-3.3729042860828704
343,130.376,1693,63,681,997,4047.0,29.14480220540187,-3.3729042860828717
344,110.113,1639,142,494,943,4047.0,29.145801050517463,-3.3729042860828704
345,183.294,1854,357,688,1158,4047.0,29.146799895633063,-3.372904286082871
346,202.87,1898,390,621,1203,4047.0,29.14779874074865,-3.3729042860828704
347,243.719,2255,649,833,1559,4047.0,29.149796430979844,-3.372904286082871
348,155.806,2283,675,801,1588,4047.0,29.150795276095437,-3.3729042860828717
349,2.059,3704,375,2134,3008,4047.0,29.136826409924154,-3.3737135915053638
350,10.818,3528,540,1958,2833,4047.0,29.137825255552784,-3.3737135915053638
351,80.97,3517,541,1947,2821,4047.0,29.13882410118141,-3.373713591505364
352,167.551,1683,493,1092,987,4047.0,29.141820638067305,-3.3737135915053638
353,159.438,1706,455,1054,1011,4047.0,29.142819483695927,-3.3737135915053638
354,132.556,1570,185,785,874,4047.0,29.14381832932456,-3.3737135915053647
355,156.953,1462,299,670,766,4047.0,29.14481717495319,-3.373713591505364
356,140.508,1523,238,609,827,4047.0,29.145816020581815,-3.3737135915053638
357,180.589,1810,414,745,1115,4047.0,29.14681486621045,-3.3737135915053647
358,215.1,1832,386,717,1136,4047.0,29.147813711839078,-3.373713591505364
