,POP_2015,food_choices,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
41,0.097,1913,596,796,1582.0,-7.397884898314036,32.066293586566665
42,25.241,2009,708,835,1582.0,-7.396779333807078,32.06629358656666
43,34.286,2037,612,612,1582.0,-7.395673769300117,32.06629358656666
44,118.762,2029,604,604,1582.0,-7.394568204793159,32.06629358656666
45,151.493,1986,536,536,1582.0,-7.3934626402862005,32.06629358656666
46,179.457,2043,433,433,1582.0,-7.392357075779242,32.06629358656666
47,194.63,2002,391,391,1582.0,-7.391251511272284,32.06629358656666
48,172.113,2104,493,493,1582.0,-7.390145946765325,32.06629358656666
49,184.66,2091,480,480,1582.0,-7.389040382258367,32.06629358656666
50,188.94,2195,597,597,1582.0,-7.387934817751408,32.06629358656666
51,206.594,2178,683,683,1582.0,-7.386829253244448,32.06629358656666
52,9.483,2094,767,767,1582.0,-7.38572368873749,32.06629358656666
53,189.232,2936,39,2858,1582.0,-7.416636019257167,32.065432262397806
54,166.617,2833,75,2755,1582.0,-7.415530461230894,32.065432262397806
55,125.863,2730,188,2636,1582.0,-7.414424903204622,32.065432262397806
56,141.523,2749,322,2455,1582.0,-7.413319345178346,32.065432262397806
57,7.733,2646,258,2341,1582.0,-7.412213787152073,32.065432262397806
58,135.006,2537,69,2177,1582.0,-7.411108229125799,32.065432262397806
59,116.817,2499,111,2180,1582.0,-7.410002671099525,32.065432262397806
60,115.942,2432,216,2027,1582.0,-7.408897113073251,32.065432262397806
61,141.377,2389,313,1961,1582.0,-7.407791555046978,32.065432262397806
62,85.692,2303,216,1786,1582.0,-7.4066859970207055,32.065432262397806
63,209.901,2229,171,1673,1582.0,-7.40558043899443,32.065432262397806
64,170.119,2169,247,1613,1582.0,-7.404474880968157,32.065432262397806
65,29.52,2157,237,1478,1582.0,-7.4033693229418835,32.065432262397806
66,1.654,1954,437,1250,1582.0,-7.40226376491561,32.065432262397806
67,0.0,1888,371,1193,1582.0,-7.401158206889336,32.065432262397806
68,1.216,1824,507,886,1582.0,-7.3989470908367885,32.065432262397806
69,0.0,1824,507,886,1582.0,-7.3978415328105145,32.065432262397806
70,8.559,1957,662,729,1582.0,-7.396735974784241,32.065432262397806
71,47.223,1966,572,572,1582.0,-7.3956304167579665,32.065432262397806
72,145.997,1926,517,517,1582.0,-7.394524858731693,32.06543226239781
73,177.365,1905,443,443,1582.0,-7.39341930070542,32.065432262397806
74,189.475,1969,380,380,1582.0,-7.392313742679147,32.065432262397806
75,125.522,1942,331,331,1582.0,-7.391208184652872,32.065432262397806
76,190.983,2017,406,406,1582.0,-7.390102626626599,32.0654322623978
77,202.947,2039,428,428,1582.0,-7.388997068600324,32.065432262397806
78,158.107,2106,526,526,1582.0,-7.387891510574051,32.065432262397806
79,200.953,2061,641,641,1582.0,-7.386785952547776,32.065432262397806
80,8.949,1989,681,681,1582.0,-7.385680394521502,32.065432262397806
81,64.731,2127,646,930,1582.0,-7.383469278468955,32.065432262397806
82,220.017,2869,242,2866,1582.0,-7.416592545465663,32.064570941291564
83,207.761,2763,166,2758,1582.0,-7.415486993919792,32.06457094129156
84,193.317,2667,231,2633,1582.0,-7.414381442373922,32.064570941291564
85,175.761,2626,256,2518,1582.0,-7.413275890828054,32.064570941291564
86,170.216,2646,258,2341,1582.0,-7.412170339282183,32.064570941291564
87,153.73,2584,196,2279,1582.0,-7.411064787736314,32.064570941291564
88,148.526,2415,212,2213,1582.0,-7.409959236190445,32.06457094129156
