,POP_2015,education,mobility,ID_HDC_G0,lng,lat
773,43.027,3318,139,12372.0,121.18646319267957,31.885482535487697
774,26.613,5000,586,12372.0,121.20965159651782,31.885482535487697
775,12.286,5000,586,12372.0,121.21075580622441,31.8854825354877
776,25.193,5000,596,12372.0,121.2129642256376,31.885482535487697
777,18.05,5000,596,12372.0,121.21406843534416,31.8854825354877
778,0.011,5000,687,12372.0,121.2659662915536,31.885482535487697
779,18.482,5000,1062,12372.0,121.27038313037994,31.885482535487697
780,4.823,5000,1070,12372.0,121.2714873400865,31.885482535487697
781,6.175,5000,448,12372.0,121.1184019827006,31.884621851805775
782,17.304,5000,452,12372.0,121.1195061859852,31.88462185180578
783,13.431,5000,811,12372.0,121.12944401554658,31.884621851805772
784,16.384,5000,863,12372.0,121.1305482188312,31.884621851805775
785,17.446,2903,275,12372.0,121.16146591079995,31.884621851805775
786,7.192,2903,275,12372.0,121.16257011408453,31.88462185180578
787,41.762,2313,300,12372.0,121.16919533379213,31.88462185180578
788,30.109,3068,204,12372.0,121.18134156992271,31.884621851805775
789,23.45,3742,467,12372.0,121.18907099291492,31.884621851805772
790,8.39,3746,463,12372.0,121.1901751961995,31.88462185180578
791,26.369,4203,0,12372.0,121.19459200933791,31.884621851805775
792,25.293,5000,746,12372.0,121.2100508553223,31.884621851805772
793,21.963,5000,746,12372.0,121.21115505860689,31.884621851805775
794,40.686,5000,1048,12372.0,121.21336346517612,31.884621851805775
795,34.783,5000,1048,12372.0,121.21446766846068,31.884621851805772
796,6.158,5000,563,12372.0,121.11880179220766,31.88376117116103
797,29.476,5000,563,12372.0,121.11990598907057,31.883761171161034
798,15.519,5000,863,12372.0,121.12873956397371,31.88376117116103
799,27.959,5000,863,12372.0,121.1298437608366,31.88376117116103
800,42.728,3828,1099,12372.0,121.15192769809444,31.883761171161034
801,54.558,3828,1099,12372.0,121.15303189495734,31.883761171161034
802,37.045,3298,670,12372.0,121.15744868240888,31.883761171161026
803,42.395,3293,665,12372.0,121.15855287927181,31.883761171161026
804,33.783,2903,275,12372.0,121.16076127299756,31.883761171161023
805,8.945,2903,275,12372.0,121.16186546986046,31.88376117116103
806,4.484,3071,205,12372.0,121.18063681652963,31.883761171161034
807,18.879,3075,205,12372.0,121.18174101339251,31.88376117116103
808,38.066,3529,350,12372.0,121.18505360398119,31.88376117116103
809,42.694,3529,350,12372.0,121.1861578008441,31.883761171161026
810,12.431,5000,563,12372.0,121.11920161939214,31.882900493553326
811,36.49,5000,1054,12372.0,121.13024352380678,31.882900493553322
812,20.588,4693,1173,12372.0,121.14238961866288,31.882900493553322
813,16.2,4689,1169,12372.0,121.14349380910436,31.88290049355332
814,35.048,4266,1535,12372.0,121.14680638042873,31.88290049355332
