,POP_2015,active_living,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
126,6.835,648,1284,848,648,5157.0,38.75680476545237,9.163356375523817
127,8.135,756,1392,956,756,5157.0,38.75781048223426,9.163356375523817
128,10.565,918,1555,1119,918,5157.0,38.75881619901617,9.163356375523817
129,60.723,950,1586,1150,950,5157.0,38.759821915798064,9.163356375523817
130,70.242,770,1134,974,770,5157.0,38.75172144743164,9.162543620451933
131,3.578,770,1134,974,770,5157.0,38.75272716279303,9.162543620451935
132,55.711,529,893,732,529,5157.0,38.75473859351582,9.162543620451935
133,32.421,623,1259,823,623,5157.0,38.75574430887721,9.162543620451935
134,32.353,931,1567,1131,931,5157.0,38.75675002423859,9.162543620451931
135,28.573,816,1453,1016,816,5157.0,38.757755739599986,9.162543620451935
136,73.179,890,1526,1090,890,5157.0,38.75876145496138,9.162543620451931
137,63.255,965,1601,1165,965,5157.0,38.75976717032277,9.162543620451931
138,24.877,770,1134,974,770,5157.0,38.75166671839129,9.161730866091723
139,0.709,770,1134,974,770,5157.0,38.75267243233232,9.161730866091723
140,6.278,529,893,732,529,5157.0,38.75468386021436,9.161730866091723
141,33.535,1031,1668,1231,1031,5157.0,38.756695288096395,9.161730866091723
142,48.707,1056,1693,1257,1056,5157.0,38.75770100203741,9.161730866091723
143,45.99,967,1603,1167,967,5157.0,38.758706715978434,9.161730866091723
144,84.469,1091,1727,1291,1091,5157.0,38.75971242991945,9.161730866091723
145,30.48,1106,1742,1306,1106,5157.0,38.75664055702569,9.160918112443118
146,43.273,1122,1759,1322,1122,5157.0,38.75764626954647,9.160918112443118
147,8.017,1038,1675,1239,1038,5157.0,38.758651982067256,9.16091811244312
148,51.103,1107,1743,1307,1107,5157.0,38.75965769458803,9.160918112443118
149,28.792,782,641,985,401,5157.0,38.75457440882508,9.160105359506051
150,4.169,786,636,989,397,5157.0,38.75451969073715,9.159292607280463
151,70.259,1290,585,1493,350,5157.0,38.755470685981116,9.15847985576628
152,7.156,1290,585,1493,350,5157.0,38.75647639424197,9.158479855766283
153,0.051,1463,722,1666,488,5157.0,38.75748210250282,9.15847985576628
154,25.4,1054,368,1258,129,5157.0,38.75441026977438,9.157667104963442
155,11.662,1190,485,1393,250,5157.0,38.75541597661552,9.157667104963442
156,61.635,1361,585,1565,350,5157.0,38.75642168345666,9.157667104963442
157,31.762,1463,673,1666,438,5157.0,38.757427390297785,9.157667104963442
158,34.142,1252,308,1455,68,5157.0,38.75435556689941,9.156854354871884
159,8.405,1311,362,1514,127,5157.0,38.75536127232096,9.156854354871884
160,41.517,1445,496,1649,261,5157.0,38.756366977742516,9.156854354871884
161,64.234,1535,631,1739,397,5157.0,38.75737268316407,9.156854354871884
162,74.9,1633,730,1836,495,5157.0,38.75837838858563,9.156854354871882
163,6.261,1183,239,1387,0,5157.0,38.7543008690953,9.156041605491538
164,6.751,1301,352,1504,117,5157.0,38.755306573097414,9.156041605491536
165,63.559,1445,456,1649,261,5157.0,38.75631227709951,9.156041605491538
