,POP_2015,active_living,community_space,education,health_wellbeing,mobility,ID_HDC_G0,lng,lat
81,97.266,1500,3181,3054,1301,2493,9505.0,88.12443754375218,25.6381872464148
82,30.869,1371,3262,3133,1172,2572,9505.0,88.12550139243471,25.638187246414805
83,19.083,1371,3262,3133,1172,2572,9505.0,88.12656524111728,25.6381872464148
84,45.967,1269,3332,3133,1172,2572,9505.0,88.12762908979981,25.6381872464148
85,97.715,1166,3350,3124,1072,2537,9505.0,88.12869293848237,25.638187246414805
86,163.663,489,3013,2787,735,2200,9505.0,88.13294833321261,25.638187246414805
87,178.424,480,3236,3010,958,2423,9505.0,88.13401218189516,25.638187246414805
88,71.953,535,3538,3312,1260,2726,9505.0,88.1350760305777,25.638187246414805
89,0.393,535,3538,3312,1260,2726,9505.0,88.13613987926027,25.638187246414805
90,67.8,662,3574,3348,1296,2761,9505.0,88.13826757662537,25.6381872464148
91,123.645,686,3646,3420,1368,2833,9505.0,88.13933142530792,25.6381872464148
92,129.988,806,3709,3483,1431,2896,9505.0,88.14039527399049,25.638187246414805
93,22.394,894,3772,3546,1451,2959,9505.0,88.14145912267304,25.6381872464148
94,8.307,1495,3138,3010,1296,2449,9505.0,88.1240522415131,25.63734587056204
95,24.808,1371,3262,3133,1172,2572,9505.0,88.12511608554425,25.63734587056204
96,48.156,1281,3336,3145,1184,2584,9505.0,88.12617992957537,25.63734587056204
97,78.352,1207,3270,3071,1110,2510,9505.0,88.12724377360652,25.63734587056204
98,67.912,1089,3273,3048,996,2461,9505.0,88.12830761763766,25.63734587056204
99,94.853,963,3147,2921,870,2335,9505.0,88.12937146166878,25.637345870562037
100,155.132,901,3085,2860,808,2273,9505.0,88.13043530569995,25.63734587056204
101,86.658,790,2974,2748,696,2161,9505.0,88.13149914973106,25.63734587056204
102,174.439,587,2915,2690,638,2103,9505.0,88.13256299376224,25.63734587056204
103,223.494,601,2901,2675,623,2089,9505.0,88.13362683779337,25.63734587056204
104,151.877,661,3079,2853,801,2266,9505.0,88.1346906818245,25.63734587056204
105,33.844,743,3493,3267,1215,2680,9505.0,88.13788221391793,25.63734587056204
106,100.971,751,3557,3332,1280,2745,9505.0,88.13894605794907,25.637345870562037
107,200.145,762,3665,3439,1388,2853,9505.0,88.1400099019802,25.637345870562033
108,98.669,852,3680,3454,1359,2867,9505.0,88.14107374601133,25.637345870562037
