,POP_2015,active_living,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
148,95.399,1232,1207,174,1011,1087,8157.0,80.19219028005939,21.810137922587156
149,104.61,1343,1318,235,1072,1179,8157.0,80.19323493208317,21.810137922587156
150,81.544,1469,1386,306,825,933,8157.0,80.19427958410695,21.810137922587156
151,79.486,1690,1512,66,822,1059,8157.0,80.19532423613074,21.810137922587156
152,67.311,1684,1490,196,446,1037,8157.0,80.19636888815454,21.810137922587156
153,83.884,1648,1453,160,409,1001,8157.0,80.19741354017832,21.810137922587153
154,87.244,1743,1549,255,505,1096,8157.0,80.1984581922021,21.810137922587156
155,37.261,1323,913,758,852,1553,8157.0,80.18249980373835,21.809305888896166
156,25.501,226,1056,350,1041,1103,8157.0,80.18667839679311,21.809305888896166
157,72.446,5000,5000,5000,5000,5000,8157.0,80.1887676933205,21.80930588889617
158,101.458,1111,1273,526,1354,1153,8157.0,80.18981234158419,21.809305888896166
159,93.379,1199,1241,397,1234,1122,8157.0,80.19085698984789,21.809305888896162
160,89.321,1289,1319,343,1158,1199,8157.0,80.19190163811157,21.80930588889617
161,79.732,1347,1377,358,1151,1257,8157.0,80.19294628637527,21.809305888896166
162,105.082,1474,1491,232,1025,1132,8157.0,80.19399093463896,21.809305888896166
163,92.756,1665,1503,33,812,1050,8157.0,80.19503558290265,21.809305888896166
164,70.464,1609,1551,58,861,1098,8157.0,80.19608023116633,21.80930588889617
165,86.886,1743,1549,255,505,1096,8157.0,80.19816952769372,21.809305888896162
166,65.877,1855,1660,366,424,1207,8157.0,80.19921417595742,21.80930588889617
167,50.569,1947,1753,459,331,1300,8157.0,80.2002588242211,21.809305888896166
168,35.128,0,1282,577,1267,1330,8157.0,80.18638978756559,21.808473857045396
169,32.297,400,1230,465,1214,1277,8157.0,80.18743443206935,21.80847385704539
170,74.333,837,1470,470,1545,1350,8157.0,80.18847907657312,21.808473857045385
171,99.929,918,1389,389,1515,1269,8157.0,80.1895237210769,21.808473857045392
172,93.473,1217,1336,459,1296,1216,8157.0,80.19056836558067,21.808473857045392
173,74.163,1190,1372,418,1255,1252,8157.0,80.19161301008447,21.808473857045392
174,97.173,1305,1478,466,1259,1358,8157.0,80.19265765458823,21.80847385704539
175,59.61,1562,1581,278,1071,1178,8157.0,80.19370229909201,21.808473857045392
176,81.015,1607,1591,98,901,1138,8157.0,80.19474694359579,21.80847385704539
177,64.839,1700,1673,374,629,1220,8157.0,80.19579158809955,21.808473857045392
178,52.966,1642,1730,317,686,1277,8157.0,80.19683623260333,21.808473857045392
179,69.388,1950,1796,502,559,1343,8157.0,80.19892552161089,21.80847385704539
180,76.277,1947,1753,459,331,1300,8157.0,80.19997016611465,21.808473857045392
181,73.578,563,1335,302,1274,1440,8157.0,80.18714583300144,21.80764182703474
182,61.913,690,1459,340,1398,1497,8157.0,80.18819047374546,21.80764182703474
183,99.778,761,1529,394,1468,1427,8157.0,80.1892351144895,21.80764182703474
184,101.59,1013,1347,399,1439,1227,8157.0,80.19027975523358,21.807641827034736
185,77.24,1123,1450,469,1341,1330,8157.0,80.19132439597762,21.807641827034736
186,84.13,1279,1567,560,1353,1447,8157.0,80.19236903672164,21.80764182703474
187,70.03,1272,1592,586,1378,1472,8157.0,80.19341367746568,21.80764182703474
188,79.713,1429,1731,237,899,1278,8157.0,80.19445831820973,21.80764182703474
189,74.767,1642,1730,317,686,1277,8157.0,80.19550295895377,21.807641827034736
190,90.397,1649,1790,324,746,1337,8157.0,80.1965475996978,21.80764182703474
191,80.581,1689,1817,363,773,1364,8157.0,80.19759224044185,21.807641827034736
192,86.64,1877,1868,552,631,1415,8157.0,80.1986368811859,21.80764182703474
