,POP_2015,community_space,food_choices,mobility,ID_HDC_G0,lng,lat
118,23.916,1003,1805,673,12356.0,121.0228619843128,31.993091953743434
119,26.808,916,1059,410,12356.0,121.02838705756255,31.99309195374343
120,21.057,916,1059,410,12356.0,121.0294920722125,31.99309195374343
121,19.411,812,700,0,12356.0,121.03059708686244,31.993091953743434
122,26.088,812,700,0,12356.0,121.03170210151241,31.99309195374343
123,25.828,749,547,0,12356.0,121.03391213081231,31.993091953743427
124,28.247,749,547,0,12356.0,121.03501714546225,31.99309195374343
125,15.933,1296,0,331,12356.0,121.03722717476215,31.99309195374343
126,15.626,1288,29,302,12356.0,121.0383321894121,31.993091953743434
127,32.825,1279,58,273,12356.0,121.03943720406205,31.99309195374343
128,16.219,923,414,64,12356.0,121.04164723336194,31.993091953743434
129,3.912,982,399,67,12356.0,121.04275224801187,31.993091953743434
130,16.033,887,2693,1057,12356.0,121.01441976182329,31.992230889463052
131,25.515,830,2636,1000,12356.0,121.01552477001638,31.992230889463052
132,20.057,812,700,0,12356.0,121.0309948847196,31.99223088946306
133,11.627,876,586,113,12356.0,121.0320998929127,31.992230889463055
134,11.372,903,393,0,12356.0,121.03320490110578,31.992230889463052
135,17.937,1296,0,331,12356.0,121.03651992568507,31.992230889463055
136,15.996,1279,58,273,12356.0,121.03762493387812,31.992230889463052
137,19.429,1279,58,273,12356.0,121.03872994207121,31.992230889463052
138,22.363,1006,331,0,12356.0,121.04093995845739,31.992230889463052
139,4.071,1012,413,81,12356.0,121.0420449666505,31.992230889463055
140,5.384,997,2804,1046,12356.0,121.01371267252101,31.99136982823497
141,22.668,718,744,210,12356.0,121.0302876985686,31.99136982823497
142,20.691,876,586,113,12356.0,121.03139270030509,31.99136982823497
143,12.534,1043,427,95,12356.0,121.04133771593364,31.99136982823497
144,9.502,1073,2879,1121,12356.0,121.01190061857478,31.990508770059062
145,3.898,999,2805,1047,12356.0,121.01300561385501,31.99050877005906
146,24.195,496,2302,666,12356.0,121.0174255949758,31.99050877005906
147,15.373,496,2302,666,12356.0,121.018530590256,31.99050877005906
148,20.684,508,954,0,12356.0,121.02847554777786,31.99050877005906
149,16.418,718,744,210,12356.0,121.02958054305806,31.990508770059066
150,20.422,718,744,210,12356.0,121.03068553833823,31.990508770059062
151,25.208,1271,655,0,12356.0,121.0417354911403,31.99050877005906
152,27.68,1271,655,0,12356.0,121.04284048642049,31.99050877005906
153,17.932,1058,1714,997,12356.0,121.04947045810171,31.99050877005906
154,13.94,1058,1714,997,12356.0,121.05057545338191,31.990508770059066
155,28.433,340,2432,1641,12356.0,121.05720542506313,31.990508770059062
156,7.377,340,2432,1641,12356.0,121.05831042034333,31.990508770059062
157,9.169,1073,2879,1121,12356.0,121.01229858582393,31.989647714935206
158,18.045,496,2302,666,12356.0,121.01671854112067,31.98964771493521
159,22.703,496,2302,666,12356.0,121.01782352994483,31.989647714935206
160,32.212,508,954,0,12356.0,121.02776842936245,31.98964771493521
161,16.747,508,954,0,12356.0,121.02887341818663,31.989647714935202
162,28.78,1271,655,0,12356.0,121.04102829525262,31.98964771493521
163,16.159,1271,655,0,12356.0,121.04213328407683,31.989647714935206
164,3.392,340,2432,1641,12356.0,121.05649813879117,31.98964771493521
165,8.076,340,2432,1641,12356.0,121.05760312761534,31.98964771493521
166,25.681,308,1154,21,12356.0,121.0270613415846,31.988786662863276
167,0.733,656,2473,702,12356.0,121.01419954940025,31.987925613843156
168,0.273,632,2459,676,12356.0,121.01530452531323,31.987925613843164
169,23.789,286,1176,43,12356.0,121.026354284443,31.987925613843156
170,20.692,1118,681,326,12356.0,121.04071897131168,31.987925613843156
171,12.379,1118,681,326,12356.0,121.04182394722466,31.98792561384316
172,24.649,1032,767,239,12356.0,121.04292892313762,31.98792561384316
173,18.938,1154,1226,571,12356.0,121.04734882678954,31.987925613843156
174,5.151,1154,1226,571,12356.0,121.04845380270251,31.98792561384316
175,25.428,1318,1391,736,12356.0,121.0495587786155,31.987925613843156
176,8.903,442,1938,1283,12356.0,121.0539786822674,31.98792561384316
177,8.823,19,2361,1320,12356.0,121.05839858591932,31.98792561384316
178,5.144,632,2459,676,12356.0,121.01349259390054,31.987064567874718
179,1.273,632,2459,676,12356.0,121.01459756335832,31.987064567874718
180,6.584,36,1843,206,12356.0,121.02012241064729,31.987064567874718
181,8.809,36,1843,206,12356.0,121.02122738010509,31.98706456787472
182,5.324,0,1462,330,12356.0,121.02896216630964,31.98706456787472
183,8.205,217,1262,435,12356.0,121.03117210522524,31.98706456787472
184,1.633,399,1080,616,12356.0,121.03338204414082,31.987064567874718
185,4.119,1118,681,326,12356.0,121.04111683034536,31.987064567874718
186,7.643,915,884,356,12356.0,121.04222179980316,31.987064567874718
187,4.853,896,903,375,12356.0,121.04332676926096,31.987064567874718
188,1.526,1069,1316,788,12356.0,121.04664167763434,31.987064567874725
189,4.265,1051,1329,674,12356.0,121.04774664709213,31.98706456787472
190,10.195,927,1453,798,12356.0,121.04885161654991,31.987064567874718
191,0.147,1318,1391,736,12356.0,121.04995658600772,31.987064567874718
192,0.44,434,1949,1357,12356.0,121.0532714943811,31.987064567874718
193,0.127,426,1960,1432,12356.0,121.05437646383888,31.987064567874718
194,1.546,9,2371,1310,12356.0,121.05769137221228,31.98706456787472
195,1.393,0,2380,1300,12356.0,121.05879634167006,31.987064567874725
196,4.185,0,1826,170,12356.0,121.02052041005153,31.986203524957848
197,6.704,0,1826,170,12356.0,121.0216253730544,31.986203524957848
198,2.046,227,1599,153,12356.0,121.02273033605732,31.986203524957855
199,6.917,246,1580,172,12356.0,121.02383529906021,31.98620352495785
200,4.445,13,1476,343,12356.0,121.02825515107176,31.98620352495785
201,1.686,27,1489,357,12356.0,121.02936011407465,31.986203524957848
202,3.316,228,1273,446,12356.0,121.03046507707754,31.98620352495785
203,3.664,239,1285,457,12356.0,121.03157004008042,31.986203524957848
204,4.878,410,1092,628,12356.0,121.03267500308333,31.986203524957848
205,6.737,896,903,375,12356.0,121.04151470710644,31.98620352495785
206,6.99,896,903,375,12356.0,121.04261967010936,31.98620352495785
207,2.585,1069,1316,788,12356.0,121.04593455911801,31.986203524957848
208,21.377,1069,1316,788,12356.0,121.04703952212091,31.98620352495785
209,16.239,1271,1517,906,12356.0,121.04814448512379,31.98620352495785
210,15.16,1271,1517,906,12356.0,121.04924944812667,31.98620352495785
211,22.583,1692,3275,887,12356.0,121.01097381824299,31.985342485092428
212,22.223,170,1752,0,12356.0,121.02202338372568,31.985342485092424
213,24.729,1271,1517,906,12356.0,121.04854234088407,31.985342485092435
214,28.567,1692,3275,887,12356.0,121.0102669610852,31.984481448278324
215,16.599,422,2005,252,12356.0,121.02021151193048,31.98448144827833
216,20.244,1927,3510,639,12356.0,121.00845519091376,31.983620414515425
217,17.607,422,2005,252,12356.0,121.01950462731236,31.98362041451543
218,37.596,422,2005,252,12356.0,121.02060957095219,31.98362041451543
219,17.065,1927,3510,639,12356.0,121.00774840146092,31.98275938380361
220,20.777,740,2322,0,12356.0,121.01769283613558,31.98275938380361
221,23.1,804,1452,804,12356.0,121.03537183111274,31.982759383803607
222,19.111,804,1452,804,12356.0,121.03647676829883,31.98275938380361
223,18.951,399,1400,0,12356.0,121.04310639141528,31.98275938380361
224,15.213,2313,3895,1024,12356.0,121.00483178116627,31.981898356142754
225,19.431,2289,3872,1001,12356.0,121.00593671189881,31.981898356142754
226,35.643,1702,3284,413,12356.0,121.00925150409654,31.98189835614276
227,28.6,1702,3284,413,12356.0,121.01035643482912,31.981898356142754
228,7.97,752,2335,12,12356.0,121.0169860192245,31.981898356142754
229,13.605,740,2322,0,12356.0,121.0180909499571,31.98189835614276
230,23.136,663,2246,493,12356.0,121.02472053435248,31.981898356142754
231,13.014,663,2246,493,12356.0,121.02582546508506,31.981898356142757
232,16.054,880,1925,1097,12356.0,121.03466491094564,31.98189835614276
233,18.099,804,1452,804,12356.0,121.03576984167816,31.981898356142754
234,16.91,399,1400,0,12356.0,121.0423994260736,31.981898356142757
235,14.362,399,1400,0,12356.0,121.04350435680615,31.981898356142757
236,22.15,2313,3895,1024,12356.0,121.00412506586522,31.981037331532736
237,1.966,2301,3884,1013,12356.0,121.00522999014456,31.981037331532736
238,20.444,927,2509,187,12356.0,121.01517430865866,31.981037331532736
239,25.282,927,2509,187,12356.0,121.016279232938,31.981037331532733
240,8.07,663,2246,493,12356.0,121.02511862717274,31.981037331532736
241,10.189,880,1925,1097,12356.0,121.03395802140749,31.981037331532733
242,18.428,880,1925,1097,12356.0,121.03506294568683,31.981037331532736
243,14.605,912,1912,512,12356.0,121.04721711275961,31.98103733153274
244,16.099,912,1912,512,12356.0,121.04832203703893,31.98103733153273
245,20.55,2102,3684,401,12356.0,121.00673313466349,31.980176309973423
246,25.468,2102,3684,401,12356.0,121.0078380524899,31.98017630997343
247,18.905,1047,2629,241,12356.0,121.0144675594483,31.98017630997343
248,22.05,1092,2674,352,12356.0,121.0166773951011,31.98017630997343
249,4.618,1092,2674,352,12356.0,121.01778231292748,31.980176309973437
250,24.269,912,2494,742,12356.0,121.02220198423308,31.98017630997343
251,15.326,912,2494,742,12356.0,121.02330690205949,31.980176309973434
252,27.067,828,2166,1159,12356.0,121.03214624467066,31.98017630997343
253,23.796,828,2166,1159,12356.0,121.03325116249705,31.98017630997343
254,24.529,2102,3684,401,12356.0,121.00602646124344,31.979315291464726
255,27.98,2102,3684,401,12356.0,121.00713137261715,31.979315291464726
256,21.943,1288,2870,0,12356.0,121.0126559294858,31.979315291464722
257,25.775,1288,2870,0,12356.0,121.01376084085955,31.97931529146473
