,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,ID_HDC_G0,lng,lat
74,28.18,2158,1281,443,1013,1546,12705.0,114.38038023583235,-2.995794994288286
75,21.88,1779,1072,350,1366,1002,12705.0,114.383376094349,-2.9957949942882864
76,46.47,1691,983,394,1278,914,12705.0,114.38437471385454,-2.995794994288286
77,7.808,1777,1069,492,1364,1000,12705.0,114.38537333336008,-2.995794994288287
78,5.726,1578,870,691,1165,801,12705.0,114.38637195286563,-2.9957949942882838
79,7.772,1742,1035,856,1329,966,12705.0,114.38737057237118,-2.995794994288287
80,11.505,1619,912,1026,1206,843,12705.0,114.38836919187673,-2.995794994288287
81,1.31,1619,912,1026,1206,843,12705.0,114.38936781138227,-2.995794994288287
82,38.375,1792,707,1785,972,776,12705.0,114.39436090890997,-2.995794994288286
83,43.796,1780,725,1774,895,794,12705.0,114.39535952841553,-2.995794994288286
84,0.0,2160,1196,2155,949,1265,12705.0,114.39735676742663,-2.995794994288285
85,0.0,2160,1196,2155,949,1265,12705.0,114.39835538693215,-2.995794994288287
86,10.213,2392,1437,2272,1180,1506,12705.0,114.39935400643772,-2.995794994288286
87,8.849,2428,1474,2309,1217,1543,12705.0,114.40035262594328,-2.9957949942882864
88,18.416,2111,1395,498,899,1611,12705.0,114.37943377590732,-2.99660418617396
89,62.66,2111,1395,498,899,1611,12705.0,114.38043239586825,-2.996604186173957
90,25.2,1618,911,479,1205,841,12705.0,114.38442687571202,-2.996604186173959
91,15.831,1549,842,496,1137,773,12705.0,114.38542549567296,-2.996604186173958
92,38.447,1578,870,691,1165,801,12705.0,114.38642411563389,-2.9966041861739603
93,12.151,1433,725,836,1020,656,12705.0,114.38742273559482,-2.996604186173958
94,23.711,1681,596,1674,861,665,12705.0,114.39341445536046,-2.99660418617396
95,60.111,1714,660,1709,829,729,12705.0,114.3944130753214,-2.9966041861739594
96,43.652,1780,725,1774,895,794,12705.0,114.39541169528232,-2.996604186173958
97,2.459,2392,1437,2272,1180,1506,12705.0,114.39940617512607,-2.9966041861739576
98,0.0,2392,1437,2272,1180,1506,12705.0,114.40040479508704,-2.9966041861739603
99,21.305,2452,851,2181,1073,2594,12705.0,114.36850112506016,-2.9974133782888237
100,7.736,2028,1478,581,816,1694,12705.0,114.37948594964115,-2.9974133782888215
101,71.437,1785,1276,70,1178,1207,12705.0,114.38248181089052,-2.9974133782888233
102,24.644,1806,1098,575,1393,1029,12705.0,114.38348043130696,-2.9974133782888237
