,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
405,15.265,2659,3254,2435,3788,3762,2846,3569.0,28.759814283911847,41.20690215145531
406,51.995,2717,3312,2493,3846,3820,2905,3569.0,28.761005141835447,41.20690215145531
407,15.139,2691,3275,2456,3820,3794,2878,3569.0,28.76219599975904,41.2069021514553
408,25.476,2715,3207,2388,3843,3818,2902,3569.0,28.763386857682644,41.2069021514553
409,6.056,2755,3194,2375,3884,3858,2943,3569.0,28.764577715606244,41.2069021514553
410,35.436,2764,3194,2375,3893,3867,2951,3569.0,28.765768573529847,41.2069021514553
411,43.664,2848,3134,2315,3941,3949,3036,3569.0,28.766959431453444,41.2069021514553
412,37.441,2953,3226,2407,4033,4052,3141,3569.0,28.768150289377047,41.2069021514553
413,15.995,2908,3181,2362,3988,4006,3095,3569.0,28.769341147300644,41.20690215145531
414,14.93,3046,3292,2500,4127,4145,3234,3569.0,28.77053200522425,41.20690215145531
415,0.021,1527,1774,1384,4015,4093,3763,3569.0,28.711932455207855,41.20600144158148
416,0.668,1467,1841,1324,3955,4033,3704,3569.0,28.713123302865736,41.206001441581485
417,11.255,1416,1923,1274,3904,3982,3653,3569.0,28.71431415052361,41.206001441581485
418,7.288,1411,1986,1242,3872,3950,3621,3569.0,28.715504998181483,41.20600144158148
419,49.782,1510,1945,951,3689,3767,3438,3569.0,28.717886693497235,41.20600144158147
420,69.64,1598,1900,906,3644,3722,3393,3569.0,28.719077541155116,41.20600144158148
421,62.562,1773,1682,688,3426,3504,3175,3569.0,28.720268388812986,41.206001441581485
422,55.545,1839,1748,754,3492,3570,3128,3569.0,28.721459236470867,41.206001441581485
423,71.269,1701,1611,617,3355,3433,3103,3569.0,28.722650084128738,41.20600144158148
424,75.592,2046,1639,674,3401,3479,2938,3569.0,28.72384093178662,41.206001441581485
425,21.508,2108,1561,595,3323,3401,2859,3569.0,28.725031779444492,41.206001441581485
426,4.97,2366,1007,733,3256,3334,2744,3569.0,28.726222627102363,41.20600144158148
427,44.77,2293,1051,660,3170,3248,2658,3569.0,28.72741347476025,41.206001441581485
428,22.678,2297,1019,664,3135,3213,2623,3569.0,28.728604322418118,41.206001441581485
429,2.255,2345,970,712,3184,3262,2671,3569.0,28.729795170075988,41.20600144158147
430,30.425,2494,1077,860,3223,3301,2519,3569.0,28.73098601773387,41.206001441581485
431,9.251,2508,1140,913,3230,3308,2474,3569.0,28.732176865391747,41.206001441581485
432,12.905,2566,1075,1025,3342,3420,2542,3569.0,28.73336771304962,41.206001441581485
433,16.288,2479,1108,1082,3317,3395,2464,3569.0,28.734558560707494,41.20600144158147
434,0.0,2253,1373,1023,3185,3263,2239,3569.0,28.736940256023246,41.20600144158148
435,38.381,2204,1422,974,3136,3214,2190,3569.0,28.738131103681127,41.206001441581485
436,20.84,2078,1565,909,3009,3087,2063,3569.0,28.739321951338994,41.206001441581485
437,58.009,2025,1663,894,2957,3035,2011,3569.0,28.740512798996868,41.20600144158148
438,34.747,2001,1793,907,2933,3011,1987,3569.0,28.74170364665475,41.206001441581485
439,34.455,1943,1845,874,2874,2952,1928,3569.0,28.74289449431263,41.206001441581485
440,35.165,2063,2011,995,2995,3073,2049,3569.0,28.744085341970496,41.206001441581485
441,13.949,2084,2112,1015,3016,3094,2070,3569.0,28.745276189628374,41.206001441581485
442,2.276,2088,2192,1058,3019,3097,2073,3569.0,28.746467037286248,41.206001441581485
443,23.951,2088,2192,1058,3019,3097,2073,3569.0,28.747657884944125,41.206001441581485
444,14.784,2138,3009,1758,3273,3247,2325,3569.0,28.751230427917754,41.20600144158148
445,16.309,2190,3039,1810,3325,3299,2377,3569.0,28.75242127557562,41.20600144158147
446,16.643,2280,3002,1900,3415,3390,2468,3569.0,28.753612123233513,41.206001441581485
447,21.174,2577,3156,2382,3705,3680,2764,3569.0,28.75718466620713,41.206001441581485
448,36.543,2572,3196,2377,3700,3675,2759,3569.0,28.75837551386501,41.206001441581485
449,31.239,2579,3195,2376,3707,3682,2766,3569.0,28.75956636152288,41.20600144158148
450,0.104,2589,3174,2355,3718,3692,2776,3569.0,28.760757209180756,41.206001441581485
451,30.299,2622,3207,2388,3751,3725,2810,3569.0,28.761948056838634,41.206001441581485
452,26.958,2589,3081,2262,3718,3692,2777,3569.0,28.763138904496504,41.20600144158148
453,71.019,2621,3069,2250,3750,3724,2808,3569.0,28.76432975215438,41.20600144158148
454,50.304,2759,3119,2300,3888,3862,2946,3569.0,28.765520599812255,41.206001441581485
455,68.784,2787,3060,2241,3867,3886,2975,3569.0,28.766711447470126,41.20600144158148
456,79.852,2817,3090,2271,3897,3916,3005,3569.0,28.767902295128017,41.206001441581485
457,40.97,2846,3091,2300,3926,3944,3033,3569.0,28.76909314278589,41.20600144158147
458,14.116,2924,3170,2378,4005,4023,3112,3569.0,28.770283990443755,41.20600144158147
459,0.439,1363,1938,1220,3850,3928,3599,3569.0,28.712875792268036,41.20510073634149
460,2.485,1360,2005,1191,3821,3899,3570,3569.0,28.714066629660664,41.2051007363415
461,7.267,1360,2005,1191,3821,3899,3570,3569.0,28.715257467053288,41.20510073634149
462,43.935,1240,1957,1070,3701,3779,3450,3569.0,28.716448304445915,41.20510073634149
463,45.355,1389,1850,856,3594,3672,3343,3569.0,28.717639141838536,41.20510073634149
464,33.432,1536,1837,843,3582,3660,3330,3569.0,28.718829979231163,41.2051007363415
465,44.666,1661,1620,626,3364,3442,3113,3569.0,28.720020816623787,41.20510073634149
466,40.49,1711,1620,626,3364,3442,3113,3569.0,28.721211654016408,41.20510073634149
467,26.729,1701,1611,617,3355,3433,3103,3569.0,28.722402491409035,41.20510073634149
468,62.06,2056,1684,719,3446,3524,2983,3569.0,28.723593328801652,41.205100736341485
469,66.32,1815,1406,260,3150,3228,2799,3569.0,28.724784166194283,41.20510073634149
470,27.167,2037,1448,482,3210,3288,2746,3569.0,28.725975003586907,41.20510073634149
471,8.332,1975,1340,385,3102,3180,2638,3569.0,28.727165840979538,41.20510073634149
472,56.255,2144,1172,511,3008,3086,2523,3569.0,28.728356678372155,41.205100736341485
473,24.724,2375,1125,742,3160,3238,2490,3569.0,28.729547515764775,41.20510073634149
474,37.671,2401,1182,769,3104,3182,2445,3569.0,28.73073835315741,41.205100736341485
475,25.434,2425,1205,886,3134,3212,2390,3569.0,28.731929190550026,41.20510073634149
476,18.334,2412,1239,970,3186,3264,2377,3569.0,28.733120027942658,41.20510073634149
477,5.638,2406,1182,1019,3243,3321,2391,3569.0,28.73431086533528,41.20510073634151
478,18.167,2323,1265,936,3175,3253,2307,3569.0,28.735501702727905,41.20510073634149
479,1.378,2293,1295,906,3159,3237,2278,3569.0,28.736692540120533,41.20510073634149
480,18.981,2181,1406,795,3048,3126,2166,3569.0,28.737883377513153,41.20510073634149
