,POP_2015,community_space,education,food_choices,nightlife,ID_HDC_G0,lng,lat
286,53.828,4365,2728,882,5000,4733.0,36.112263413589034,-0.24546134757228813
287,59.654,4285,2674,828,5000,4733.0,36.11326119664943,-0.24546134757228816
288,33.112,4617,2721,875,5000,4733.0,36.11425897970983,-0.2454613475722886
289,9.421,4617,2721,875,5000,4733.0,36.11525676277024,-0.24546134757228816
290,25.318,4665,2817,971,5000,4733.0,36.11725232889104,-0.24546134757228816
291,27.301,4681,2786,940,5000,4733.0,36.119247895011846,-0.24546134757228863
292,27.898,4710,4034,2263,5000,4733.0,36.10029136573868,-0.2462701183327407
293,49.922,4913,3520,1673,5000,4733.0,36.105280281227095,-0.2462701183327402
294,13.643,4833,3440,1594,5000,4733.0,36.106278064324776,-0.24627011833274073
295,3.814,4777,3384,1538,5000,4733.0,36.10727584742246,-0.2462701183327402
296,41.888,4385,3349,1503,5000,4733.0,36.10827363052014,-0.2462701183327402
297,60.731,4377,2966,1119,5000,4733.0,36.110269196715514,-0.24627011833274073
298,62.706,4243,2957,1110,5000,4733.0,36.1112669798132,-0.2462701183327402
299,35.994,4268,2691,845,5000,4733.0,36.11226476291088,-0.24627011833274073
300,37.357,4285,2674,828,5000,4733.0,36.113262546008556,-0.2462701183327402
301,34.258,4617,2721,875,5000,4733.0,36.114260329106244,-0.24627011833274073
302,31.222,4579,2759,913,5000,4733.0,36.11525811220393,-0.24627011833274065
303,31.067,4435,2921,1187,5000,4733.0,36.118251461496975,-0.24627011833274118
304,35.607,4435,2921,1187,5000,4733.0,36.11924924459466,-0.2462701183327398
305,42.846,4706,4030,2267,5000,4733.0,36.10029271905038,-0.24707888911199408
306,0.0,4650,4005,2289,5000,4733.0,36.10129050218548,-0.24707888911199408
307,44.029,4622,3976,2261,5000,4733.0,36.10228828532056,-0.24707888911199363
308,3.487,4557,3912,2307,5000,4733.0,36.10328606845565,-0.24707888911199455
309,0.918,4385,3349,1503,5000,4733.0,36.108274984131086,-0.24707888911199408
310,9.483,4237,3201,1355,5000,4733.0,36.10927276726617,-0.24707888911199363
311,7.019,4237,3201,1355,5000,4733.0,36.11027055040127,-0.24707888911199455
312,17.214,4213,2926,1080,5000,4733.0,36.11126833353635,-0.2470788891119936
313,33.236,4123,2836,990,5000,4733.0,36.112266116671435,-0.24707888911199408
314,26.542,4542,2796,950,5000,4733.0,36.1152594660767,-0.24707888911199458
315,11.187,4435,2921,1187,5000,4733.0,36.11825281548196,-0.24707888911199363
316,32.91,4435,2921,1187,5000,4733.0,36.11925059861706,-0.24707888911199458
317,0.082,4622,3976,2261,5000,4733.0,36.10129185997194,-0.2478876599101105
318,9.666,4598,3952,2267,5000,4733.0,36.10228964314455,-0.2478876599101105
319,9.707,4557,3912,2307,5000,4733.0,36.10328742631717,-0.2478876599101105
320,21.057,4056,2903,1057,5000,4733.0,36.1112696916981,-0.24788765991011144
321,15.014,4123,2836,990,5000,4733.0,36.1122674748707,-0.24788765991011
322,9.746,4318,2804,1304,5000,4733.0,36.11925195707901,-0.2478876599101105
323,16.009,4431,3756,2542,5000,4733.0,36.10029543898552,-0.2486964307271517
324,2.182,4417,3771,2466,5000,4733.0,36.10129322219577,-0.2486964307271517
325,8.912,4377,3731,2488,5000,4733.0,36.10229100540603,-0.24869643072715172
326,2.875,4377,3731,2488,5000,4733.0,36.10328878861631,-0.24869643072715178
327,13.356,3960,2998,1152,5000,4733.0,36.11127105429842,-0.24869643072715125
328,37.14,4105,3183,1336,5000,4733.0,36.115262187139486,-0.24869643072715272
329,14.178,4105,3183,1336,5000,4733.0,36.11625997034975,-0.24869643072715128
330,4.915,4431,3756,2542,5000,4733.0,36.10029680560894,-0.24950520156318012
331,2.773,4417,3771,2466,5000,4733.0,36.10129458885697,-0.24950520156318012
332,13.113,4354,3709,2510,5000,4733.0,36.102292372105005,-0.24950520156318012
333,7.647,4377,3731,2488,5000,4733.0,36.10329015535305,-0.2495052015631801
334,28.014,3858,3101,1255,5000,4733.0,36.11027463808931,-0.2495052015631801
335,29.285,3882,3077,1231,5000,4733.0,36.11127242133735,-0.24950520156317965
336,43.245,3940,3158,1312,5000,4733.0,36.112270204585386,-0.24950520156317962
337,9.793,4105,3183,1336,5000,4733.0,36.1152635543295,-0.24950520156317915
338,22.452,4105,3183,1336,5000,4733.0,36.116261337577534,-0.24950520156318104
339,4.54,3959,2955,1546,5000,4733.0,36.119254687321636,-0.24950520156318062
340,8.28,4291,3615,2682,5000,4733.0,36.10029817666962,-0.2503139724182567
341,9.177,4213,3568,2651,5000,4733.0,36.10129595995555,-0.25031397241825576
342,6.811,4213,3568,2651,5000,4733.0,36.102293743241475,-0.25031397241825626
343,75.428,3940,3158,1312,5000,4733.0,36.11127379281487,-0.2503139724182567
344,61.56,4014,3232,1386,5000,4733.0,36.1122715761008,-0.2503139724182562
345,18.439,3918,3340,1494,5000,4733.0,36.11426714267266,-0.2503139724182567
346,15.696,3864,3394,1548,5000,4733.0,36.11526492595859,-0.2503139724182567
347,18.144,3798,3217,1644,5000,4733.0,36.11726049253046,-0.2503139724182562
348,7.809,3798,3217,1644,5000,4733.0,36.118258275816395,-0.2503139724182567
349,33.825,3966,2949,1552,5000,4733.0,36.11925605910233,-0.25031397241825576
350,0.0,4236,3561,2737,5000,4733.0,36.10029955216754,-0.2511227432924419
