,POP_2015,community_space,food_choices,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
35,73.663,444,185,319,185,5168.0,39.04494391852251,12.038116509125826
36,97.524,523,0,170,209,5168.0,39.0459554848766,12.038116509125826
37,202.634,561,38,208,247,5168.0,39.046967051230695,12.038116509125825
38,124.566,652,129,300,338,5168.0,39.04797861758479,12.038116509125826
39,161.316,781,438,367,498,5168.0,39.05000175029298,12.038116509125826
40,158.909,1019,676,129,736,5168.0,39.05202488300117,12.038116509125826
41,110.005,1102,772,110,832,5168.0,39.05303644935527,12.038116509125825
42,188.889,1167,837,167,897,5168.0,39.05404801570935,12.038116509125826
43,0.0,578,449,407,705,5168.0,39.041836016948,12.037300828648524
44,153.852,411,245,259,345,5168.0,39.04385914586287,12.03730082864852
45,156.707,363,204,218,335,5168.0,39.0448707103203,12.037300828648522
46,139.862,486,0,134,0,5168.0,39.045882274777746,12.037300828648519
47,161.805,400,57,47,86,5168.0,39.046893839235175,12.037300828648522
48,169.963,568,225,215,285,5168.0,39.04790540369262,12.037300828648522
49,74.846,605,262,252,322,5168.0,39.048916968150046,12.037300828648522
50,53.432,781,438,367,498,5168.0,39.049928532607474,12.037300828648522
51,0.041,895,583,310,658,5168.0,39.05094009706492,12.037300828648522
52,81.78,926,613,279,688,5168.0,39.05195166152235,12.037300828648522
53,135.293,1050,737,207,812,5168.0,39.05296322597979,12.037300828648522
54,53.269,578,449,407,705,5168.0,39.041762819779606,12.036485149118061
55,117.265,391,262,220,518,5168.0,39.04277438234052,12.036485149118063
56,135.049,295,117,131,373,5168.0,39.04378594490144,12.036485149118064
57,165.966,285,162,152,257,5168.0,39.04479750746235,12.036485149118061
58,153.566,270,92,82,152,5168.0,39.045809070023275,12.036485149118064
59,148.509,356,9,0,69,5168.0,39.046820632584186,12.036485149118063
60,137.985,597,254,244,314,5168.0,39.0478321951451,12.036485149118061
61,129.787,597,254,244,314,5168.0,39.04884375770601,12.036485149118061
62,169.963,895,583,310,658,5168.0,39.05086688282783,12.036485149118063
63,106.66,940,627,326,702,5168.0,39.05187844538875,12.036485149118063
64,171.758,932,619,333,694,5168.0,39.05289000794967,12.036485149118063
65,73.255,324,340,154,641,5168.0,39.041689627954966,12.035669470534376
66,181.914,313,314,142,596,5168.0,39.04270118861949,12.035669470534376
67,139.29,193,14,0,381,5168.0,39.04371274928402,12.035669470534376
68,162.091,193,61,75,343,5168.0,39.04472430994855,12.035669470534376
69,174.572,157,101,116,265,5168.0,39.0457358706131,12.035669470534376
70,133.539,278,0,46,46,5168.0,39.04674743127762,12.035669470534376
71,119.427,307,0,84,70,5168.0,39.04775899194215,12.035669470534376
72,217.481,797,484,469,559,5168.0,39.05079367393575,12.035669470534375
73,99.767,854,541,413,616,5168.0,39.05180523460028,12.035669470534376
74,45.438,397,371,313,801,5168.0,39.040604882705686,12.034853792897398
75,166.781,397,371,294,782,5168.0,39.04161644147398,12.034853792897396
76,170.412,170,186,0,547,5168.0,39.04262800024226,12.034853792897396
77,155.239,141,214,28,518,5168.0,39.04363955901054,12.034853792897394
78,191.377,193,14,0,381,5168.0,39.04465111777884,12.034853792897396
79,199.983,137,0,173,187,5168.0,39.04566267654713,12.034853792897396
80,95.444,137,0,173,187,5168.0,39.046674235315415,12.034853792897396
81,64.526,455,143,231,217,5168.0,39.047685794083705,12.034853792897396
82,156.258,463,151,239,225,5168.0,39.04869735285199,12.034853792897396
83,119.549,373,347,349,866,5168.0,39.040531703464374,12.03403811620705
84,112.289,269,243,211,758,5168.0,39.04154326033656,12.03403811620705
85,60.576,127,56,292,720,5168.0,39.04255481720874,12.034038116207048
86,102.616,72,251,119,554,5168.0,39.04356637408093,12.03403811620705
87,174.368,0,137,193,324,5168.0,39.04457793095311,12.034038116207052
88,103.805,247,23,283,297,5168.0,39.0455894878253,12.034038116207052
89,14.684,137,0,173,187,5168.0,39.046601044697475,12.03403811620705
90,1.795,466,162,242,228,5168.0,39.04761260156966,12.03403811620705
91,97.524,493,189,269,255,5168.0,39.04862415844184,12.03403811620705
92,46.417,495,488,490,1037,5168.0,39.03843541961399,12.033222440463275
93,88.306,475,468,470,1017,5168.0,39.039446974590206,12.033222440463275
94,148.59,292,267,268,815,5168.0,39.040458529566415,12.033222440463275
95,68.075,166,140,314,775,5168.0,39.041470084542624,12.033222440463273
96,24.432,3,126,225,653,5168.0,39.04248163951885,12.033222440463275
97,89.283,28,201,206,634,5168.0,39.04349319449506,12.033222440463275
98,130.562,220,166,265,440,5168.0,39.04450474947129,12.033222440463277
99,67.014,230,137,265,410,5168.0,39.0455163044475,12.033222440463275
100,0.122,501,250,330,315,5168.0,39.047539414399935,12.033222440463275
101,5.058,501,250,330,315,5168.0,39.048550969376144,12.033222440463275
102,141.085,429,559,561,1108,5168.0,39.038362254850945,12.032406765666002
103,87.49,386,516,518,1065,5168.0,39.039373807931334,12.032406765666
104,111.228,258,392,483,1030,5168.0,39.04038536101172,12.032406765666002
105,16.234,245,251,383,907,5168.0,39.041396914092104,12.032406765666002
106,17.131,194,168,342,843,5168.0,39.0424084671725,12.032406765666003
107,0.0,136,217,322,714,5168.0,39.04342002025288,12.032406765666002
108,8.892,69,297,406,571,5168.0,39.04443157333328,12.032406765666003
109,23.453,108,284,467,558,5168.0,39.04544312641365,12.032406765666002
110,0.571,154,256,438,530,5168.0,39.04645467949405,12.032406765666002
111,0.0,369,379,634,725,5168.0,39.047466232574436,12.032406765666002
112,59.428,460,288,725,816,5168.0,39.04847778565482,12.032406765666
113,27.654,524,324,789,881,5168.0,39.0494893387352,12.032406765666003
114,39.034,429,559,561,1108,5168.0,39.038289095430805,12.031591091815162
115,6.526,236,414,505,1052,5168.0,39.0403121978002,12.03159109181516
116,16.845,15,418,592,1093,5168.0,39.04132374898488,12.03159109181516
117,0.0,234,331,436,678,5168.0,39.042335300169576,12.03159109181516
118,1.02,215,312,417,659,5168.0,39.04334685135428,12.031591091815162
119,22.488,18,356,466,630,5168.0,39.04435840253898,12.03159109181516
120,62.666,17,399,559,673,5168.0,39.045369953723686,12.03159109181516
121,2.447,180,327,509,601,5168.0,39.046381504908375,12.03159109181516
122,0.245,297,285,625,716,5168.0,39.04739305609307,12.03159109181516
123,115.593,380,214,713,805,5168.0,39.04840460727777,12.03159109181516
124,144.511,524,324,789,881,5168.0,39.04941615846247,12.031591091815159
125,34.996,643,335,834,820,5168.0,39.05042770964717,12.031591091815162
126,82.759,768,335,708,694,5168.0,39.05143926083186,12.03159109181516
127,0.0,123,428,610,1111,5168.0,39.04023903993175,12.030775418910682
128,0.0,113,418,600,1101,5168.0,39.0412505892209,12.030775418910682
129,10.326,118,356,561,725,5168.0,39.04428523708834,12.030775418910684
130,4.65,25,427,609,701,5168.0,39.04529678637748,12.030775418910682
131,2.855,87,463,645,737,5168.0,39.04630833566662,12.030775418910682
132,78.965,324,242,679,771,5168.0,39.04731988495577,12.030775418910682
133,56.614,393,173,726,817,5168.0,39.048331434244915,12.030775418910682
134,48.456,737,236,807,793,5168.0,39.050354532823214,12.030775418910684
135,52.739,874,441,814,800,5168.0,39.05136608211235,12.030775418910682
136,20.679,428,266,630,872,5168.0,39.0432005295875,12.029959746952507
137,14.561,531,415,892,984,5168.0,39.04623517176871,12.029959746952507
138,72.562,571,415,926,1017,5168.0,39.047246719162445,12.029959746952507
139,50.006,481,86,813,905,5168.0,39.048258266556175,12.029959746952507
140,56.369,567,0,899,991,5168.0,39.0492698139499,12.029959746952507
141,133.376,767,200,843,829,5168.0,39.050281361343636,12.029959746952507
142,57.144,874,441,814,800,5168.0,39.051292908737366,12.029959746952507
143,109.556,424,44,852,1034,5168.0,39.04312737671915,12.029144075940556
144,90.59,320,148,753,930,5168.0,39.04413892221761,12.029144075940556
145,126.402,497,348,943,1107,5168.0,39.045150467716084,12.029144075940556
146,119.468,564,415,956,1100,5168.0,39.046162013214534,12.029144075940556
147,162.336,641,485,996,1087,5168.0,39.04717355871299,12.029144075940556
148,100.134,681,525,1036,1128,5168.0,39.04818510421144,12.029144075940554
149,102.174,567,0,899,991,5168.0,39.049196649709906,12.029144075940556
150,74.846,1134,396,1074,1060,5168.0,39.05223128620528,12.029144075940556
151,0.0,1134,396,1074,1060,5168.0,39.053242831703734,12.029144075940556
152,131.092,548,146,962,1204,5168.0,39.0410311419874,12.028328405874767
153,134.804,472,59,874,1116,5168.0,39.04204268559074,12.028328405874767
154,139.698,447,44,875,1057,5168.0,39.04305422919405,12.028328405874767
155,131.133,436,179,864,1045,5168.0,39.04406577279737,12.028328405874765
156,136.639,541,285,970,1151,5168.0,39.0450773164007,12.028328405874767
157,106.415,574,317,1002,1183,5168.0,39.046088860004005,12.028328405874767
158,35.118,858,502,1213,1304,5168.0,39.049123490813976,12.028328405874767
159,89.937,1017,449,1092,1078,5168.0,39.050135034417295,12.028328405874767
160,127.87,1130,415,1205,1191,5168.0,39.051146578020614,12.028328405874767
161,42.215,1134,396,1074,1060,5168.0,39.05215812162393,12.028328405874767
162,17.212,1205,381,1144,1130,5168.0,39.053169665227266,12.028328405874767
163,115.919,861,0,1274,1516,5168.0,39.038934920178804,12.027512736755073
164,198.147,765,98,1179,1421,5168.0,39.03994646188712,12.027512736755073
165,124.729,643,210,1057,1299,5168.0,39.040958003595435,12.027512736755073
166,103.043,534,132,948,1190,5168.0,39.041969545303765,12.027512736755073
167,3.263,955,388,1288,1380,5168.0,39.04702725384537,12.027512736755071
168,118.448,918,351,1251,1342,5168.0,39.04803879555371,12.027512736755073
169,15.336,785,218,1118,1209,5168.0,39.04905033726203,12.027512736755073
170,128.359,1031,402,1224,1210,5168.0,39.05006187897035,12.027512736755071
171,129.257,1273,231,1351,1337,5168.0,39.05107342067868,12.027512736755073
172,69.176,1250,296,1259,1245,5168.0,39.052084962387006,12.027512736755071
173,110.657,1288,242,1227,1213,5168.0,39.05309650409533,12.027512736755071
174,64.975,1097,236,1510,1752,5168.0,39.03582717147894,12.026697068581399
175,66.566,1097,236,1510,1752,5168.0,39.03683871129241,12.026697068581399
176,135.334,861,0,1274,1516,5168.0,39.03886179091934,12.026697068581399
177,140.392,850,179,1263,1506,5168.0,39.0398733307328,12.0266970685814
178,148.998,667,234,1080,1323,5168.0,39.040884870546265,12.026697068581399
179,179.711,624,222,1038,1280,5168.0,39.04189641035973,12.026697068581402
180,85.328,924,356,1256,1348,5168.0,39.04796564924052,12.026697068581402
181,14.113,865,298,1198,1289,5168.0,39.04897718905398,12.026697068581399
182,57.633,992,363,1255,1250,5168.0,39.04998872886745,12.026697068581399
183,101.521,1218,188,1405,1391,5168.0,39.05100026868091,12.0266970685814
184,174.042,1273,231,1351,1337,5168.0,39.05201180849437,12.026697068581402
185,208.63,1382,148,1322,1308,5168.0,39.05302334830783,12.026697068581399
186,165.925,850,179,1263,1506,5168.0,39.03980020492106,12.025881401353686
187,186.197,792,195,1205,1448,5168.0,39.04081174283979,12.025881401353686
188,126.932,825,227,1238,1480,5168.0,39.041823280758535,12.025881401353685
189,115.674,1101,512,1433,1490,5168.0,39.04789250827099,12.025881401353688
190,56.573,1146,536,1479,1501,5168.0,39.04890404618974,12.025881401353686
191,67.3,953,324,1286,1289,5168.0,39.04991558410848,12.025881401353685
192,96.015,1119,167,1440,1435,5168.0,39.05092712202722,12.025881401353686
193,148.59,1313,36,1434,1420,5168.0,39.05193865994597,12.025881401353685
194,193.946,1351,73,1396,1382,5168.0,39.05295019786471,12.025881401353688
195,138.148,922,0,1335,1578,5168.0,39.03972708445178,12.02506573507186
196,170.289,910,313,1324,1566,5168.0,39.04073862047594,12.025065735071859
197,29.123,910,313,1324,1566,5168.0,39.0417501565001,12.025065735071859
198,77.782,1146,536,1479,1501,5168.0,39.04781937264505,12.025065735071859
199,38.137,1146,536,1479,1501,5168.0,39.048830908669224,12.025065735071859
200,23.616,1081,195,1414,1417,5168.0,39.05085398071755,12.02506573507186
201,58.612,1205,71,1538,1528,5168.0,39.05186551674171,12.025065735071859
202,100.338,922,0,1335,1578,5168.0,39.039653969324895,12.024250069735857
203,98.707,1860,726,2143,2129,5168.0,39.052365186706375,12.019356097578259
204,21.577,1860,726,2143,2129,5168.0,39.05229208435862,12.018540438861098
