,POP_2015,community_space,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
244,47.364,950,654,2070,270,2075,944,4507.0,33.43413120894948,-3.656986791659845
245,47.01,983,686,2102,303,2107,977,4507.0,33.43513024174972,-3.656986791659843
246,58.872,1119,822,2153,439,2170,1113,4507.0,33.43612927454995,-3.656986791659845
247,55.315,1214,918,2056,547,2150,1208,4507.0,33.43712830735018,-3.6569867916598437
248,32.977,0,1059,1745,895,2127,1353,4507.0,33.4081749668069,-3.6577961915202652
249,49.981,167,985,1578,728,1960,1185,4507.0,33.40917400016366,-3.6577961915202657
250,58.362,205,947,1540,690,1922,1148,4507.0,33.41017303352042,-3.657796191520265
251,42.453,666,949,1394,545,1628,804,4507.0,33.41217110023395,-3.6577961915202657
252,17.882,636,831,1139,757,1085,463,4507.0,33.41616723366099,-3.6577961915202657
253,36.172,681,760,1068,686,1015,392,4507.0,33.417166267017755,-3.657796191520265
254,50.988,532,969,1277,895,1074,601,4507.0,33.41816530037451,-3.6577961915202657
255,48.259,450,1050,1358,976,1013,682,4507.0,33.41916433373128,-3.6577961915202657
256,49.253,404,1007,1315,933,937,639,4507.0,33.420163367088044,-3.6577961915202652
257,32.183,291,953,1261,879,879,585,4507.0,33.4211624004448,-3.657796191520265
258,38.649,103,907,1241,1068,760,519,4507.0,33.42216143380157,-3.6577961915202666
259,56.312,180,987,1320,1208,840,599,4507.0,33.423160467158326,-3.6577961915202652
260,48.926,180,962,1296,1222,815,574,4507.0,33.424159500515096,-3.6577961915202666
261,50.291,73,907,1302,1059,822,581,4507.0,33.42515853387186,-3.6577961915202657
262,48.541,198,776,1430,928,949,708,4507.0,33.426157567228614,-3.6577961915202652
263,72.285,333,647,1562,793,1082,647,4507.0,33.42715660058538,-3.6577961915202652
264,56.876,458,554,1628,668,1147,554,4507.0,33.42815563394213,-3.6577961915202657
265,59.338,589,476,1617,537,1273,476,4507.0,33.42915466729889,-3.6577961915202657
266,48.916,658,404,1545,502,1301,404,4507.0,33.430153700655666,-3.6577961915202652
267,18.814,1106,872,2061,305,1817,920,4507.0,33.43115273401242,-3.6577961915202652
