,POP_2015,active_living,education,food_choices,health_wellbeing,ID_HDC_G0,lng,lat
70,9.009,1815,1711,2206,1391,11462.0,103.40610284110791,1.0105755764858053
71,27.779,1873,1781,2303,1294,11462.0,103.40710071426625,1.0105755764858064
72,51.83,1973,1698,2321,1191,11462.0,103.40809858742456,1.0105755764858055
73,61.536,2007,1654,2278,1005,11462.0,103.4090964605829,1.0105755764858055
74,94.544,2032,1625,2303,963,11462.0,103.4100943337412,1.0105755764858046
75,57.675,2040,1633,2311,971,11462.0,103.41109220689954,1.0105755764858055
76,21.182,3261,917,1509,1419,11462.0,103.41608157269117,1.0105755764858053
77,50.597,3192,848,1440,1350,11462.0,103.41707944584948,1.0105755764858055
78,29.709,3052,708,1299,1209,11462.0,103.41807731900784,1.0105755764858055
79,19.44,3224,555,1146,1381,11462.0,103.41907519216613,1.0105755764858055
