,POP_2015,education,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
50,104.255,914,0,0,524,7845.0,78.9527777333879,22.058166323520215
51,59.816,914,0,0,524,7845.0,78.9538235140232,22.05816632352022
52,164.873,1022,0,508,154,7845.0,78.93471155553578,22.05733373766606
53,104.144,868,0,354,0,7845.0,78.93575733235673,22.057333737666056
54,67.431,634,202,120,234,7845.0,78.93784888599859,22.05733373766606
55,88.654,700,269,186,300,7845.0,78.93889466281952,22.057333737666063
56,8.229,824,372,1060,535,7845.0,78.94621510056605,22.057333737666063
57,176.787,1022,0,508,154,7845.0,78.93442366229172,22.056501153677427
58,115.165,1022,0,508,154,7845.0,78.93546943529847,22.056501153677427
59,52.388,700,269,186,300,7845.0,78.93756098131195,22.056501153677427
60,133.521,700,269,186,300,7845.0,78.93860675431868,22.056501153677427
61,122.091,824,372,1060,535,7845.0,78.94592716536586,22.056501153677424
62,182.819,824,372,1060,535,7845.0,78.94697293837261,22.056501153677427
63,127.787,920,316,1237,713,7845.0,78.94668501316787,22.055668571554243
64,172.357,1283,0,769,415,7845.0,78.93384791722545,22.054835991296414
65,116.692,1283,0,769,415,7845.0,78.93489368260434,22.054835991296414
66,139.256,978,89,464,578,7845.0,78.93803097874107,22.054835991296414
67,148.341,978,89,464,578,7845.0,78.93907674411999,22.054835991296414
68,210.447,822,0,1009,1029,7845.0,78.9432598056356,22.054835991296414
69,170.756,713,109,1119,920,7845.0,78.94430557101451,22.054835991296414
70,135.123,713,109,1119,920,7845.0,78.94535133639341,22.054835991296414
71,122.388,920,316,1237,713,7845.0,78.94639710177232,22.054835991296414
72,199.724,1570,286,1056,701,7845.0,78.9314685422719,22.054003412903857
73,162.601,1570,286,1056,701,7845.0,78.93251430383715,22.054003412903853
74,83.888,1283,0,769,415,7845.0,78.9335600654024,22.05400341290385
75,76.479,1283,0,769,415,7845.0,78.93460582696767,22.054003412903853
76,128.681,1155,0,641,755,7845.0,78.93565158853295,22.054003412903857
77,55.367,1155,0,641,755,7845.0,78.93669735009821,22.054003412903853
78,121.346,1022,44,508,622,7845.0,78.93774311166347,22.054003412903857
79,153.181,1067,0,553,667,7845.0,78.93878887322875,22.054003412903853
80,159.101,822,0,1009,1029,7845.0,78.9429719194898,22.054003412903857
81,183.825,713,109,1119,920,7845.0,78.94401768105506,22.054003412903853
82,184.681,713,109,1119,920,7845.0,78.94506344262034,22.054003412903857
83,168.037,1745,459,1231,877,7845.0,78.9301349541302,22.05317083637649
84,175.894,1617,326,1103,749,7845.0,78.931180711882,22.053170836376495
85,140.819,1664,279,1150,796,7845.0,78.93222646963379,22.05317083637649
86,63.596,1438,150,924,586,7845.0,78.9343179851374,22.05317083637649
87,83.33,1155,0,641,755,7845.0,78.93536374288921,22.053170836376488
88,116.58,1155,0,641,755,7845.0,78.93640950064102,22.05317083637649
89,178.314,1067,0,553,667,7845.0,78.93745525839283,22.05317083637649
90,134.341,1067,0,553,667,7845.0,78.93850101614461,22.05317083637649
91,172.729,971,149,1036,1150,7845.0,78.94268404715184,22.05317083637649
92,180.25,1170,566,1487,963,7845.0,78.94686707815906,22.05317083637649
93,130.506,1170,566,1487,963,7845.0,78.94791283591087,22.05317083637649
94,150.314,1741,356,1227,873,7845.0,78.93089289529752,22.05233826171423
95,113.787,1651,172,1137,904,7845.0,78.93193864923605,22.052338261714226
96,124.027,1479,0,965,736,7845.0,78.93298440317457,22.052338261714223
97,51.42,1384,95,869,641,7845.0,78.9340301571131,22.052338261714226
98,158.654,1170,566,1487,963,7845.0,78.94657920437547,22.052338261714226
99,195.665,1170,566,1487,963,7845.0,78.94762495831398,22.05233826171423
100,64.341,1644,1192,1835,1311,7845.0,78.95285372800662,22.05233826171423
101,22.489,1629,1178,1821,1296,7845.0,78.95389948194514,22.052338261714226
102,142.942,1763,284,1249,1016,7845.0,78.93060509251808,22.051505688916972
103,89.027,1651,172,1137,904,7845.0,78.9316508426435,22.051505688916976
104,52.202,1479,0,965,736,7845.0,78.93269659276892,22.051505688916972
105,26.66,1479,0,965,736,7845.0,78.93374234289438,22.051505688916976
106,25.729,1586,1134,1777,1253,7845.0,78.95361159527762,22.051505688916976
107,190.155,2180,700,1666,1433,7845.0,78.92718006460565,22.050673117984662
108,138.176,2139,659,1625,1392,7845.0,78.92822581091819,22.050673117984662
109,88.729,2098,619,1584,1351,7845.0,78.92927155723072,22.050673117984662
110,40.325,1763,284,1249,1016,7845.0,78.93031730354325,22.05067311798466
111,84.335,1869,389,1355,1121,7845.0,78.93136304985575,22.050673117984662
112,50.192,1660,205,1146,1025,7845.0,78.93345454248082,22.05067311798466
