,POP_2015,education,health_wellbeing,mobility,ID_HDC_G0,lng,lat
155,192.925,444,405,701,7299.0,75.78484901541738,21.051246647382353
156,66.742,554,515,485,7299.0,75.78589030931218,21.051246647382353
157,53.413,679,641,360,7299.0,75.78693160320698,21.051246647382353
158,31.558,810,516,408,7299.0,75.78797289710174,21.051246647382357
159,58.902,887,437,419,7299.0,75.78901419099653,21.05124664738235
160,50.522,997,328,310,7299.0,75.79005548489131,21.051246647382353
161,61.107,1081,251,385,7299.0,75.79109677878608,21.051246647382357
162,30.627,1163,162,473,7299.0,75.79213807268088,21.051246647382353
163,73.455,1320,4,607,7299.0,75.79317936657567,21.051246647382353
164,27.589,1391,75,677,7299.0,75.79422066047046,21.051246647382353
165,47.239,1506,189,800,7299.0,75.79526195436523,21.051246647382353
166,61.303,1583,266,870,7299.0,75.79630324826002,21.051246647382353
167,75.661,1810,493,1097,7299.0,75.79734454215479,21.051246647382353
168,67.624,1835,518,1097,7299.0,75.79838583604959,21.05124664738235
169,56.549,1934,617,1025,7299.0,75.79942712994436,21.05124664738235
170,125.203,872,330,1171,7299.0,75.77729821809581,21.050416258806973
171,58.265,817,307,1130,7299.0,75.7783395083939,21.05041625880698
172,125.497,740,209,1033,7299.0,75.77938079869199,21.050416258806976
173,138.139,659,81,940,7299.0,75.7804220889901,21.050416258806973
174,176.999,488,0,826,7299.0,75.78146337928818,21.050416258806976
175,86.98,442,136,754,7299.0,75.78250466958629,21.050416258806973
176,69.878,469,104,690,7299.0,75.78354595988438,21.050416258806973
177,185.28,520,481,776,7299.0,75.78458725018247,21.050416258806973
178,132.014,933,824,318,7299.0,75.78562854048056,21.050416258806976
179,71.544,889,780,283,7299.0,75.78666983077865,21.050416258806973
180,43.172,832,716,208,7299.0,75.78771112107675,21.050416258806973
181,51.747,1465,150,462,7299.0,75.79291757256722,21.050416258806973
182,189.298,1465,150,462,7299.0,75.7939588628653,21.050416258806973
183,41.702,1810,493,1097,7299.0,75.79708273375961,21.050416258806976
184,55.961,1810,493,1097,7299.0,75.79812402405769,21.050416258806973
185,107.807,876,335,1166,7299.0,75.77703649089351,21.049585871995326
186,172.294,886,394,1073,7299.0,75.77807777759509,21.049585871995326
187,203.852,851,314,993,7299.0,75.77911906429667,21.049585871995326
188,200.912,783,224,914,7299.0,75.78016035099826,21.049585871995326
189,189.249,743,167,823,7299.0,75.78120163769985,21.04958587199533
190,128.584,533,44,648,7299.0,75.78224292440144,21.04958587199533
191,76.641,560,104,599,7299.0,75.78328421110301,21.04958587199533
192,194.248,842,727,197,7299.0,75.78640807120775,21.049585871995326
193,62.969,842,727,197,7299.0,75.78744935790932,21.04958587199533
194,86.931,1202,533,102,7299.0,75.7895319313125,21.049585871995326
195,55.961,1202,533,102,7299.0,75.79057321801409,21.049585871995326
196,13.721,1541,226,386,7299.0,75.79265579141725,21.049585871995326
197,126.82,1551,236,376,7299.0,75.79369707811881,21.049585871995326
