,POP_2015,active_living,community_space,education,food_choices,mobility,nightlife,ID_HDC_G0,lng,lat
34,42.028,1112,1255,658,1184,2172,1294,11825.0,110.24126346087913,21.386868842899865
35,146.63,1112,1255,658,1184,2172,1294,11825.0,110.24230622234413,21.386868842899865
36,22.616,683,721,213,393,1742,865,11825.0,110.24752002966915,21.386868842899865
37,39.063,683,721,213,393,1742,865,11825.0,110.24856279113415,21.386868842899865
38,52.933,1139,388,0,981,1160,1516,11825.0,110.25481935992414,21.386868842899865
39,123.446,1139,388,0,981,1160,1516,11825.0,110.25586212138919,21.38686884289986
40,91.17,1010,555,166,1148,1032,1682,11825.0,110.25690488285417,21.386868842899865
41,79.495,874,889,452,1479,896,2014,11825.0,110.26003316724918,21.38686884289986
42,80.677,927,1070,473,999,1987,1109,11825.0,110.24191838624046,21.386037734973524
43,103.97,828,970,373,900,1887,1010,11825.0,110.24296114403703,21.386037734973527
44,84.302,833,975,378,904,1892,1015,11825.0,110.24400390183354,21.386037734973524
45,86.006,591,629,305,301,1650,773,11825.0,110.24713217522316,21.386037734973527
46,66.107,563,611,333,273,1622,745,11825.0,110.24817493301968,21.386037734973524
47,85.758,1023,44,410,670,1220,1205,11825.0,110.25338872200236,21.386037734973527
48,93.065,1023,44,410,670,1220,1205,11825.0,110.2544314797989,21.386037734973527
49,133.527,1139,388,0,981,1160,1516,11825.0,110.25547423759541,21.386037734973524
50,125.039,1010,555,166,1148,1032,1682,11825.0,110.25651699539195,21.38603773497352
51,68.892,666,681,643,1271,688,1806,11825.0,110.25964526878153,21.386037734973524
52,124.325,614,729,691,1319,663,1854,11825.0,110.26068802657808,21.386037734973527
53,13.652,927,1070,473,999,1987,1109,11825.0,110.24153056902877,21.38520662884457
54,30.271,800,943,346,872,1859,982,11825.0,110.24257332315699,21.385206628844568
55,90.648,746,888,291,817,1805,928,11825.0,110.24361607728525,21.38520662884457
56,146.877,544,733,409,400,1603,726,11825.0,110.24674433966999,21.38520662884457
57,104.547,551,726,402,396,1610,733,11825.0,110.24778709379822,21.385206628844568
58,98.861,979,0,388,626,1198,1161,11825.0,110.25300086443944,21.385206628844568
59,88.67,956,28,384,603,1176,1138,11825.0,110.25404361856769,21.38520662884457
60,85.786,964,213,175,806,985,1341,11825.0,110.25508637269593,21.385206628844564
61,112.403,962,219,181,800,978,1334,11825.0,110.25612912682415,21.38520662884457
62,51.01,802,375,337,966,824,1501,11825.0,110.25717188095241,21.38520662884457
63,77.298,728,448,410,1038,750,1573,11825.0,110.25821463508065,21.38520662884457
64,48.071,619,681,643,1271,663,1806,11825.0,110.25925738920891,21.385206628844568
65,130.56,562,678,640,1268,612,1802,11825.0,110.26030014333712,21.38520662884457
66,77.49,436,1508,1470,2085,725,2413,11825.0,110.2665566681066,21.38520662884457
67,43.099,1779,1632,1421,933,2394,1779,11825.0,110.23175801656731,21.384375524512905
68,24.502,1810,1663,1452,927,2388,1810,11825.0,110.23280076702746,21.3843755245129
69,124.627,481,800,476,424,1540,663,11825.0,110.24635652300913,21.3843755245129
70,126.055,422,741,474,132,1482,604,11825.0,110.24739927346926,21.3843755245129
71,120.644,381,626,606,0,1441,563,11825.0,110.24844202392939,21.384375524512905
72,157.919,381,626,606,0,1441,563,11825.0,110.24948477438954,21.38437552451291
73,120.671,653,325,680,301,1465,835,11825.0,110.25157027530979,21.384375524512905
74,109.986,880,99,454,527,1239,1062,11825.0,110.25365577623003,21.3843755245129
75,132.758,960,225,187,793,972,1328,11825.0,110.25469852669019,21.384375524512905
76,109.959,960,225,187,793,972,1328,11825.0,110.2557412771503,21.38437552451291
77,100.811,799,386,348,954,812,1489,11825.0,110.25678402761042,21.384375524512905
78,55.048,728,453,415,1032,745,1567,11825.0,110.25782677807057,21.3843755245129
79,85.484,627,559,521,1127,639,1662,11825.0,110.2588695285307,21.3843755245129
80,42.137,540,658,620,1231,560,1765,11825.0,110.25991227899084,21.384375524512905
81,118.309,471,705,667,1282,553,1817,11825.0,110.26095502945097,21.384375524512905
82,78.699,188,989,950,1566,489,1966,11825.0,110.26304053037121,21.384375524512905
