,POP_2015,active_living,community_space,education,food_choices,mobility,nightlife,ID_HDC_G0,lng,lat
332,92.598,736,3075,208,2534,2218,2980,11825.0,110.24241656470504,21.36027428034018
333,90.181,626,3185,311,2423,2328,3090,11825.0,110.23994400792311,21.35944322988836
334,116.331,626,3185,311,2423,2328,3090,11825.0,110.24098664842295,21.359443229888363
335,108.475,769,3043,228,2566,2186,2948,11825.0,110.24202928892278,21.35944322988836
336,73.013,801,3011,249,2598,2153,2915,11825.0,110.2430719294226,21.359443229888363
337,111.936,853,3413,538,2651,2555,3317,11825.0,110.2402121608133,21.357781134368718
338,76.117,964,3313,493,2762,2456,3218,11825.0,110.24125479398813,21.357781134368725
339,9.724,992,3285,493,2789,2428,3190,11825.0,110.24229742716298,21.35778113436872
340,88.588,992,3551,677,2789,2694,3456,11825.0,110.23982494532207,21.356950089300742
341,127.127,1054,3497,636,2851,2640,3402,11825.0,110.24086757483467,21.35695008930074
342,74.166,992,3285,493,2789,2428,3190,11825.0,110.24191020434733,21.35695008930074
343,45.791,992,3551,677,2789,2694,3456,11825.0,110.23943774870585,21.35611904602721
344,83.149,1077,3473,619,2874,2616,3378,11825.0,110.24048037455644,21.356119046027217
345,75.375,1138,3431,639,2935,2574,3336,11825.0,110.24152300040706,21.356119046027214
346,46.395,1817,4507,1807,0,4378,4434,11825.0,110.22448530654357,21.348639737301795
347,42.412,1817,4507,1807,0,4378,4434,11825.0,110.22552789944383,21.34863973730179
348,36.487,2098,4788,2088,281,4659,4716,11825.0,110.22722610663072,21.34780871196815
349,54.052,2098,4788,2088,281,4659,4716,11825.0,110.22683914688469,21.34697768842803
350,22.937,2367,5000,2357,550,4928,4985,11825.0,110.22853736984587,21.346146666681353
351,60.267,2367,5000,2357,550,4928,4985,11825.0,110.22957995176593,21.346146666681356
352,21.804,2657,5000,2647,840,5000,5000,11825.0,110.23127817529509,21.345315646728043
353,17.607,2657,5000,2647,840,5000,5000,11825.0,110.23232075355543,21.345315646728043
354,41.989,2657,5000,2647,840,5000,5000,11825.0,110.2308912538511,21.34448462856801
355,7.581,2657,5000,2647,840,5000,5000,11825.0,110.23193382845189,21.344484628568008
