,POP_2015,active_living,community_space,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
47,4.217,774,1572,1323,1572,1563,9494.0,87.06028575409682,23.24987950926959
48,60.173,877,2047,1545,2617,1971,9494.0,87.06133717507751,23.249879509269594
49,261.908,776,1946,1444,2516,1870,9494.0,87.0623885960582,23.249879509269594
50,149.687,609,1779,1277,2349,1703,9494.0,87.06344001703893,23.249879509269597
51,145.471,594,1765,1262,2335,1689,9494.0,87.0644914380196,23.249879509269594
52,44.932,614,1785,1282,2355,1709,9494.0,87.0655428590003,23.249879509269594
53,5.315,645,1769,1306,2385,1739,9494.0,87.066594279981,23.249879509269594
54,1.449,936,1893,1430,2676,2012,9494.0,87.0676457009617,23.249879509269586
55,17.701,594,702,13,1209,2929,9494.0,87.03261095789344,23.249044169424216
56,136.335,502,584,131,1117,2810,9494.0,87.03366237479266,23.249044169424213
57,145.119,416,462,253,1032,2689,9494.0,87.03471379169186,23.249044169424216
58,119.205,418,432,450,1033,2659,9494.0,87.03576520859107,23.249044169424213
59,158.296,501,461,533,1116,2687,9494.0,87.0368166254903,23.249044169424216
60,161.985,473,334,659,1019,2561,9494.0,87.0378680423895,23.249044169424216
61,150.346,571,432,772,1117,2659,9494.0,87.03891945928872,23.249044169424216
62,147.579,646,508,863,1193,2734,9494.0,87.03997087618794,23.249044169424216
63,151.751,751,342,697,1158,2569,9494.0,87.04102229308715,23.249044169424213
64,68.475,1231,665,937,665,2076,9494.0,87.04207370998637,23.249044169424216
65,131.459,1163,597,870,597,2008,9494.0,87.04312512688558,23.249044169424213
66,181.838,1234,668,940,668,2078,9494.0,87.04417654378481,23.249044169424216
67,183.068,1111,544,817,544,1955,9494.0,87.04522796068403,23.249044169424216
68,151.356,1209,642,915,642,2053,9494.0,87.04627937758323,23.249044169424216
69,113.539,1247,680,953,680,2091,9494.0,87.04733079448246,23.249044169424216
70,158.779,1333,767,1039,767,2091,9494.0,87.04838221138166,23.249044169424216
71,130.273,1459,808,979,808,1858,9494.0,87.04943362828088,23.24904416942422
72,165.631,1368,718,889,718,1768,9494.0,87.05048504518011,23.249044169424216
73,60.13,1343,692,797,692,1633,9494.0,87.05153646207931,23.249044169424216
74,31.404,1314,793,898,793,1630,9494.0,87.05258787897854,23.249044169424216
75,79.104,1198,883,989,883,1715,9494.0,87.05363929587773,23.249044169424216
76,70.934,1160,921,973,921,1696,9494.0,87.05469071277696,23.249044169424213
77,49.456,1011,1070,1122,1070,1547,9494.0,87.05574212967618,23.249044169424216
78,136.423,952,1129,1181,1129,1523,9494.0,87.05679354657538,23.249044169424213
79,178.983,900,1382,1319,1382,1531,9494.0,87.05784496347461,23.249044169424216
80,197.562,771,1511,1321,1511,1561,9494.0,87.05889638037382,23.249044169424213
81,156.759,757,1550,1307,1550,1547,9494.0,87.05994779727303,23.249044169424213
82,149.16,706,1651,1255,1651,1495,9494.0,87.06099921417224,23.249044169424213
83,87.449,731,1901,1399,2471,1825,9494.0,87.06205063107147,23.249044169424213
84,106.643,718,1889,1387,2459,1813,9494.0,87.06310204797069,23.249044169424216
85,180.828,537,1707,1205,2277,1631,9494.0,87.0641534648699,23.249044169424216
86,215.307,555,1725,1223,2295,1649,9494.0,87.06520488176912,23.249044169424216
87,161.985,616,1743,1280,2357,1711,9494.0,87.06625629866832,23.249044169424216
88,231.69,638,1656,1193,2378,1732,9494.0,87.06730771556754,23.249044169424213
89,55.386,417,627,190,1032,2895,9494.0,87.0333245358185,23.248208831568387
90,65.268,393,521,245,1008,2784,9494.0,87.03437594863641,23.248208831568387
91,102.558,315,361,355,930,2587,9494.0,87.03542736145431,23.248208831568387
