,POP_2015,active_living,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
257,142.431,2295,2024,3274,2984,3088,3049,10975.0,118.19076668088918,39.84217021557961
258,4.638,1468,423,1524,1913,671,2863,10975.0,118.13571889279197,39.84127634029758
259,4.628,1374,358,1437,1825,578,2776,10975.0,118.13689465921156,39.841276340297576
260,15.481,910,173,1609,1383,113,2333,10975.0,118.14042195847037,39.841276340297576
261,19.266,1023,286,1496,1269,0,2220,10975.0,118.14159772488998,39.84127634029757
262,9.87,1023,286,1496,1269,0,2220,10975.0,118.14277349130958,39.841276340297576
263,0.0,764,870,2155,2080,810,2621,10975.0,118.14630079056836,39.84127634029757
264,0.0,764,870,2155,2080,810,2621,10975.0,118.14747655698798,39.841276340297576
265,41.447,2065,1795,3045,2755,2859,2819,10975.0,118.18745261525446,39.841276340297576
266,85.316,2010,1739,2989,2700,2803,2874,10975.0,118.18862838167408,39.84127634029757
267,153.469,2295,2024,3274,2984,3088,3049,10975.0,118.18980414809367,39.841276340297576
268,159.63,2295,2024,3274,2984,3088,3049,10975.0,118.1909799145133,39.841276340297576
269,13.381,2198,1151,1923,2439,1401,3433,10975.0,118.12770230306351,39.84038246937189
270,19.78,2198,1151,1923,2439,1401,3433,10975.0,118.12887805990816,39.84038246937188
271,15.904,1969,922,1694,2211,1172,3204,10975.0,118.1312295735975,39.84038246937189
272,3.529,1377,360,1433,1822,580,2772,10975.0,118.13593260097606,39.84038246937189
273,6.573,1288,271,1350,1739,491,2689,10975.0,118.1371083578207,39.84038246937188
274,13.51,1023,286,1496,1269,0,2220,10975.0,118.14063562835463,39.84038246937188
275,19.589,1023,286,1496,1269,0,2220,10975.0,118.14181138519928,39.84038246937189
276,0.527,1303,1408,2694,2618,1349,3160,10975.0,118.15239319680106,39.84038246937189
277,6.801,1319,1425,2710,2635,1365,3176,10975.0,118.1535689536457,39.84038246937188
278,151.779,578,580,758,1060,1657,1223,10975.0,118.15709622417964,39.84038246937188
279,182.012,468,689,648,1164,1766,1175,10975.0,118.15827198102428,39.840382469371875
280,205.97,468,689,648,1164,1766,1175,10975.0,118.15944773786896,39.84038246937189
281,193.07,321,733,789,1305,1915,1132,10975.0,118.16062349471359,39.84038246937188
282,190.963,389,801,857,1373,1983,1200,10975.0,118.16179925155824,39.84038246937189
283,194.825,428,625,1031,1548,2167,1095,10975.0,118.16297500840285,39.84038246937188
284,274.222,506,547,1109,1507,2157,1095,10975.0,118.16415076524753,39.84038246937188
285,359.103,614,439,1218,1616,2188,1203,10975.0,118.16532652209217,39.84038246937189
286,316.701,614,439,1218,1616,2188,1203,10975.0,118.1665022789368,39.84038246937188
287,117.684,518,0,1657,1537,1749,1643,10975.0,118.17002954947077,39.840382469371896
288,119.678,518,0,1657,1537,1749,1643,10975.0,118.1712053063154,39.840382469371875
289,117.933,394,123,1703,1413,1625,1598,10975.0,118.17238106316006,39.840382469371896
290,96.07,2010,1739,2989,2700,2803,2874,10975.0,118.18649014529576,39.84038246937188
291,54.872,2010,1739,2989,2700,2803,2874,10975.0,118.18766590214042,39.84038246937189
292,12.37,2198,1151,1923,2439,1401,3433,10975.0,118.12674035551456,39.83948860280236
