,POP_2015,community_space,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
136,140.708,3962,1499,82,739,8195.0,77.4815847851967,10.017154554882223
137,148.591,3861,1613,196,853,8195.0,77.48259206644819,10.017154554882227
138,141.307,3782,1745,235,984,8195.0,77.48359934769964,10.017154554882227
139,47.202,3746,1844,160,1084,8195.0,77.48460662895111,10.017154554882227
140,46.37,3845,2623,104,1227,8195.0,77.48662119145408,10.017154554882223
141,142.371,3880,1417,0,657,8195.0,77.48045753690923,10.016341016387129
142,153.248,3880,1417,0,657,8195.0,77.48146481660105,10.01634101638713
143,138.745,3764,1616,202,856,8195.0,77.48247209629291,10.016341016387129
144,148.558,3721,1709,169,949,8195.0,77.48347937598477,10.016341016387129
145,103.552,3665,1821,111,1061,8195.0,77.4844866556766,10.016341016387129
146,124.575,3742,2519,35,1123,8195.0,77.48549393536845,10.01634101638713
147,147.86,3786,2563,289,1167,8195.0,77.4865012150603,10.016341016387127
148,45.439,3699,2477,202,1081,8195.0,77.48750849475215,10.016341016387127
149,76.974,3536,1059,8,297,8195.0,77.47832302387094,10.015527478672661
150,53.589,3533,1062,4,301,8195.0,77.4793303020033,10.015527478672658
151,128.666,3705,1242,0,481,8195.0,77.48033758013568,10.015527478672661
152,124.808,3705,1242,0,481,8195.0,77.48134485826802,10.015527478672658
153,160.201,3563,1552,109,791,8195.0,77.4823521364004,10.015527478672661
154,84.258,3606,1594,110,834,8195.0,77.48335941453274,10.015527478672661
155,170.646,3608,1727,12,967,8195.0,77.48436669266509,10.015527478672661
156,151.319,3542,1875,159,1088,8195.0,77.48537397079745,10.015527478672658
157,178.23,3601,2379,139,983,8195.0,77.48638124892982,10.01552747867266
158,102.254,3658,2436,161,1040,8195.0,77.4873885270622,10.01552747867266
159,0.067,3523,2845,570,905,8195.0,77.48940308332689,10.01552747867266
160,58.878,3472,2845,649,854,8195.0,77.49041036145925,10.01552747867266
161,111.003,3389,2791,730,770,8195.0,77.4914176395916,10.01552747867266
162,180.924,3265,2667,704,647,8195.0,77.49242491772398,10.01552747867266
163,40.549,3536,1059,8,297,8195.0,77.47820308047844,10.014713941738746
164,100.857,3529,1065,0,305,8195.0,77.47921035705143,10.014713941738748
165,163.693,3705,1242,0,481,8195.0,77.48021763362443,10.014713941738746
166,76.84,3644,1332,82,571,8195.0,77.48122491019745,10.014713941738748
167,104.749,3567,1409,5,648,8195.0,77.48223218677046,10.014713941738748
168,104.949,3493,1482,67,722,8195.0,77.48323946334345,10.014713941738746
