,POP_2015,community_space,education,food_choices,ID_HDC_G0,lng,lat
27,40.676,384,2407,2213,11822.0,105.78623246078071,-5.554312653790378
28,12.342,458,2484,2289,11822.0,105.78723313932963,-5.554312653790379
29,8.781,197,1627,1432,11822.0,105.78131882963868,-5.555122881257398
30,20.469,197,1627,1432,11822.0,105.78231950903674,-5.555122881257396
31,10.918,156,1586,1392,11822.0,105.78140860454698,-5.555933109151202
32,5.626,189,1619,1424,11822.0,105.78240928479431,-5.555933109151205
33,38.045,0,524,330,11822.0,105.77349294398739,-5.556743337471856
34,12.517,0,1255,1061,11822.0,105.77949703056767,-5.556743337471856
35,23.754,0,1255,1061,11822.0,105.78049771166435,-5.556743337471856
36,16.049,0,1430,1235,11822.0,105.78149839276108,-5.556743337471854
37,45.459,812,2573,2046,11822.0,105.78650179824464,-5.556743337471856
38,6.367,812,2573,2046,11822.0,105.78750247934136,-5.556743337471854
39,14.407,0,1255,1061,11822.0,105.77958683038867,-5.557553566219422
40,20.207,26,1282,1088,11822.0,105.78058751233488,-5.557553566219421
41,27.33,0,1430,1235,11822.0,105.78158819428111,-5.557553566219424
42,37.507,0,1549,1354,11822.0,105.78258887622731,-5.557553566219423
43,24.001,95,1644,1449,11822.0,105.78358955817355,-5.557553566219423
44,5.728,402,1952,1757,11822.0,105.785590922066,-5.557553566219424
45,31.023,402,1952,1757,11822.0,105.78659160401223,-5.557553566219422
46,6.847,812,2573,2046,11822.0,105.78759228595847,-5.557553566219425
47,16.166,206,731,123,11822.0,105.77367254674026,-5.558363795393963
48,10.147,402,1952,1757,11822.0,105.78568074029062,-5.558363795393963
49,43.569,402,1952,1757,11822.0,105.78668142308646,-5.558363795393965
50,16.689,206,731,123,11822.0,105.7737623680743,-5.559174024995544
51,5.219,223,1660,1324,11822.0,105.78076715359366,-5.559174024995542
52,8.141,240,1789,1461,11822.0,105.78176783723929,-5.559174024995542
53,20.963,240,1789,1461,11822.0,105.78276852088493,-5.559174024995543
54,7.589,326,1876,1602,11822.0,105.78376920453056,-5.559174024995544
55,43.133,330,855,0,11822.0,105.77385220271354,-5.559984255024225
56,33.175,223,1660,1324,11822.0,105.78085699418216,-5.559984255024226
57,0.494,240,1789,1461,11822.0,105.78185767867764,-5.559984255024225
58,1.774,240,1789,1461,11822.0,105.78285836317318,-5.559984255024224
59,1.032,326,1876,1602,11822.0,105.7838590476687,-5.559984255024225
60,3.067,637,2186,1659,11822.0,105.78586041665972,-5.559984255024225
61,42.304,661,2210,1683,11822.0,105.78686110115522,-5.559984255024227
62,29.686,424,949,0,11822.0,105.77394205065808,-5.56079448548007
63,13.215,0,1883,1101,11822.0,105.77994616273128,-5.56079448548007
64,22.766,0,1883,1101,11822.0,105.78094684807682,-5.56079448548007
65,1.846,521,1046,97,11822.0,105.77303122571239,-5.561604716363142
66,1.817,513,1038,88,11822.0,105.77403191190803,-5.561604716363143
67,37.1,0,1883,1101,11822.0,105.78003602908208,-5.561604716363143
68,8.65,0,1883,1101,11822.0,105.78103671527779,-5.561604716363142
69,0.334,488,1172,223,11822.0,105.7731210994176,-5.562414947673505
70,5.757,488,1172,223,11822.0,105.77412178646357,-5.562414947673504
71,10.932,509,1540,591,11822.0,105.77712384760133,-5.562414947673504
72,44.238,211,1815,889,11822.0,105.78012590873917,-5.562414947673504
73,3.46,488,1172,223,11822.0,105.7732109864283,-5.563225179411219
